"","Ontology","Term","Description","CP_count","CP_p","CP_p_BH","DAVID_count","DAVID_p","DAVID_p_BH","rppa_count_DAVID","rna_count_DAVID","rppa_count_CP","rna_count_CP"
"22","CC","GO:0044420","extracellular matrix component",9,3.84265449482276e-06,0.000328546959307346,17,4.34368161322362e-07,3.38077577375362e-05,0,17,0,9
"23","MF","GO:0004866","endopeptidase inhibitor activity",13,0.000162732891793289,0.00786023832688912,17,1.18948406913732e-05,0.00208181848719424,0,17,0,13
"24","MF","GO:0061135","endopeptidase regulator activity",13,0.000213469231559826,0.00786023832688912,17,1.86431211635192e-05,0.0027182199941348,0,17,0,13
"25","MF","GO:0030414","peptidase inhibitor activity",13,0.000277199047194122,0.00925844817628369,17,2.15505917287341e-05,0.00269329822926612,0,17,0,13
"26","BP","GO:0043583","ear development",19,4.43048261932671e-06,0.00147051745846926,17,0.000184737764826231,0.0148840547056307,0,17,0,19
"27","MF","GO:0005201","extracellular matrix structural constituent",23,2.81019170491263e-11,1.40790604416123e-08,16,2.48441888743041e-09,2.1763485845705e-06,0,16,0,23
"28","BP","GO:0022617","extracellular matrix disassembly",10,3.38758886055783e-05,0.00438394814204717,15,8.38066211371927e-08,2.72088472857979e-05,0,15,0,10
"29","BP","GO:0072006","nephron development",15,6.81739691660826e-06,0.00207419301187806,15,2.96502833842749e-05,0.00379276346670143,0,15,0,15
"30","BP","GO:0050954","sensory perception of mechanical stimulus",15,2.17956724841037e-05,0.00345982609736793,15,0.000100863115186164,0.00940221524044638,0,15,0,15
"31","BP","GO:0060173","limb development",15,7.43830551508103e-05,0.00662372035013679,15,0.000240272438772934,0.0178430076991961,0,15,0,15
"32","BP","GO:0048736","appendage development",15,7.43830551508103e-05,0.00662372035013679,15,0.000240272438772934,0.0178430076991961,0,15,0,15
"33","BP","GO:0042445","hormone metabolic process",17,5.18318713822773e-05,0.00511454493018093,15,0.000439070594311275,0.0273936846522859,0,15,0,17
"34","BP","GO:0048839","inner ear development",17,9.54827550034548e-06,0.00235445668693697,15,0.000439070594311275,0.0273936846522859,0,15,0,17
"35","BP","GO:0001649","osteoblast differentiation",15,0.000813385816457774,0.0412454391095463,15,0.00104252964055388,0.0485818749639936,0,15,0,15
"36","BP","GO:0032963","collagen metabolic process",9,0.000703983453268532,0.0373810863579175,14,6.24461060646404e-06,0.00112571215487245,0,14,0,9
"37","BP","GO:0007605","sensory perception of sound",14,1.99401984952133e-05,0.00345982609736793,14,0.000131317401619247,0.0115609748903616,0,14,0,14
"38","BP","GO:0035108","limb morphogenesis",14,3.830362459455e-05,0.00438394814204717,14,0.000231812812502384,0.0174868499457423,0,14,0,14
"39","BP","GO:0035107","appendage morphogenesis",14,3.830362459455e-05,0.00438394814204717,14,0.000231812812502384,0.0174868499457423,0,14,0,14
"40","MF","GO:0008201","heparin binding",12,0.00049551262295256,0.0146030484764255,14,0.000241466248146317,0.0161413838601744,0,14,0,12
"41","MF","GO:0004867","serine-type endopeptidase inhibitor activity",8,0.000597439521903987,0.0157535368670472,13,7.41284521754827e-06,0.00162210208770319,0,13,0,8
"42","BP","GO:0061326","renal tubule development",13,1.75712484731496e-06,0.000670432699102179,13,1.25910194006905e-05,0.0019760659900393,0,13,0,13
"43","BP","GO:0030326","embryonic limb morphogenesis",13,2.67052652050293e-05,0.003750035510137,13,0.000211960129420778,0.016253061338375,0,13,0,13
"44","BP","GO:0035113","embryonic appendage morphogenesis",13,2.67052652050293e-05,0.003750035510137,13,0.000211960129420778,0.016253061338375,0,13,0,13
"45","BP","GO:0061333","renal tubule morphogenesis",12,1.59171593035655e-06,0.000670432699102179,12,9.72344638958988e-06,0.00168976410037325,0,12,0,12
"46","BP","GO:0002062","chondrocyte differentiation",10,0.000218851956910172,0.0159805698935808,12,2.83687702575048e-05,0.00372703381335182,0,12,0,10
"47","BP","GO:0072080","nephron tubule development",12,8.16164115039431e-06,0.00229216552616074,12,4.83812691316332e-05,0.00522237088147925,0,12,0,12
"48","MF","GO:0004497","monooxygenase activity",11,1.81612520816603e-05,0.00303292909763727,12,8.0493475380317e-05,0.00780439989432713,0,12,0,11
"49","CC","GO:0005581","collagen trimer",12,3.23376993813581e-06,0.000328546959307346,12,0.000115601187892225,0.00672588869960644,0,12,0,12
"50","BP","GO:0072009","nephron epithelium development",12,3.84240867010434e-05,0.00438394814204717,12,0.000249469679238844,0.0174555497568635,0,12,0,12
"51","BP","GO:0042471","ear morphogenesis",13,1.39373476654504e-05,0.00274823352313093,12,0.000369033692102248,0.0239982395663607,0,12,0,13
"52","BP","GO:0048706","embryonic skeletal system development",12,7.83994076421667e-05,0.00681514850717977,12,0.000614441989117071,0.0354207462227125,0,12,0,12
"53","MF","GO:0004222","metalloendopeptidase activity",10,9.93373949671679e-05,0.00654709236056677,11,0.000916520198392528,0.0436434122237932,0,11,0,10
"54","BP","GO:0030574","collagen catabolic process",6,0.000348576975729189,0.0230718666862815,10,7.12868700593121e-05,0.00706025300847823,0,10,0,6
"55","BP","GO:0072078","nephron tubule morphogenesis",10,3.81406605636137e-05,0.00438394814204717,10,0.000201031353135084,0.0156682318172521,0,10,0,10
"56","BP","GO:0072088","nephron epithelium morphogenesis",10,4.80595753500835e-05,0.00511454493018093,10,0.000273897944586612,0.018614232536051,0,10,0,10
"57","BP","GO:0072028","nephron morphogenesis",10,6.00978682647122e-05,0.00562608505216575,10,0.000333681299245199,0.0223207214052795,0,10,0,10
"58","CC","GO:0005604","basement membrane",9,0.000659993169176211,0.037619610643044,10,0.00113187957780812,0.0325150851640169,0,10,0,9
"59","BP","GO:0009954","proximal/distal pattern formation",8,1.83629881978137e-06,0.000670432699102179,8,3.02226521082845e-05,0.00376690120548295,0,8,0,8
"60","MF","GO:0005044","scavenger receptor activity",7,0.000331438776115438,0.0103781766771147,8,0.000229584739826886,0.0166219159868288,0,8,0,7
"61","BP","GO:0035136","forelimb morphogenesis",7,9.76450714818123e-05,0.00810232172682038,7,0.00071273033533446,0.0370383358747611,0,7,0,7
"62","MF","GO:0016709","oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, NAD(P)H as one donor, and incorporation of one atom of oxygen",5,0.00182389518434565,0.0287966658012078,7,0.00103598945707013,0.0466653907300137,0,7,0,5
