Enrichment analysis report,,,,,,,,,
Enrichment by Pathway Maps,,,,,up_genes_070120_genelist,,,,
#,Maps,Total,pValue,Min FDR,p-value,FDR,In Data,"Network Objects from
Active Data",
29,Neurophysiological process_Regulation of intrinsic membrane properties and excitability of cortical pyramidal neurons,74,5.040E-03,1.917E-01,5.040E-03,1.917E-01,7,"MaxiK alpha subunit, SK2, Alpha-2A adrenergic receptor, NAV1.9, Kir2.2, Adenylate cyclase, CACNA1D",
30,Nociception_Nociceptin receptor signaling,76,5.835E-03,2.059E-01,5.835E-03,2.059E-01,7,"STAT3, TY3H, Adenylate cyclase type II, Kir3.1, AP-2, p38 MAPK, Adenylate cyclase",
31,Development_Regulation of lung epithelial progenitor cell differentiation,41,5.901E-03,2.059E-01,5.901E-03,2.059E-01,5,"STAT3, TITF1, p38alpha (MAPK14), SP-A, FGF10",
32,Putative role of Estrogen receptor and Androgen receptor signaling in progression of lung cancer,58,5.973E-03,2.059E-01,5.973E-03,2.059E-01,6,"Androgen receptor, ESR1 (membrane), ESR1 (nuclear), p38 MAPK, Bcl-2, Kallikrein 3 (PSA)",
33,PXR-mediated direct regulation of xenobiotic metabolizing enzymes / Human version,42,6.545E-03,2.101E-01,6.545E-03,2.101E-01,5,"OATP-C, CYP2A6, OATP-A, S14 protein, PXR",
34,Glomerular filtration and renal reabsorption of bile acids / Rodent version,27,6.780E-03,2.101E-01,6.780E-03,2.101E-01,4,"ABCC11, OATP-C, SLC22A8, OATP-A",
35,Th2-cytokines-induced expression of mucins in asthma ,43,7.238E-03,2.101E-01,7.238E-03,2.101E-01,5,"STAT3, p38alpha (MAPK14), IL13RA2, Mucin 2, Mucin 5AC",
36,Development_WNT/Beta-catenin signaling in embryogenesis,43,7.238E-03,2.101E-01,7.238E-03,2.101E-01,5,"Mesogenin 1, PAX3, LHX8, SOX2, LRH1",
37,Signal transduction_Modulation of calcium and potassium channels by Adenosine A1 receptor,43,7.238E-03,2.101E-01,7.238E-03,2.101E-01,5,"MaxiK alpha subunit, SK2, SUR1, Kir6.2, Adenylate cyclase",
38,FGF signaling in Prostate Cancer,43,7.238E-03,2.101E-01,7.238E-03,2.101E-01,5,"STAT3, Androgen receptor, FGFR4, FGF10, FGFR1",
39,Neurophysiological process_Bitter taste signaling,28,7.736E-03,2.188E-01,7.736E-03,2.188E-01,4,"T2R taste receptors, T2R47, P2X2, Gustducin",
40,Tinnitus-associated changes in auditory pathway ,82,8.784E-03,2.422E-01,8.784E-03,2.422E-01,7,"mGluR4A, GRIK4, GABA-A receptor gamma-2 subunit, GluR5, GluR3, GLRA, GABA-A receptor delta subunit",
41,Development_Role of BMP signaling in embryonic stem cell neural differentiation,30,9.903E-03,2.540E-01,9.903E-03,2.540E-01,4,"Chordin, BMP7, SOX2, SOX3",
42,Development_G-CSF-induced myeloid differentiation,30,9.903E-03,2.540E-01,9.903E-03,2.540E-01,4,"STAT3, Rb protein, G-CSF, C/EBPalpha",
43,Regulation of IGF family activity in colorectal cancer,30,9.903E-03,2.540E-01,9.903E-03,2.540E-01,4,"CEACAM5, IBP2, IBP5, IBP",
44,Neurophysiological process_Dopamine D2 receptor signaling in CNS,47,1.052E-02,2.637E-01,1.052E-02,2.637E-01,5,"TY3H, Adenylate cyclase type IV, Adenylate cyclase type V, Adenylate cyclase type II, Kir3.1",
45,Regulation of lipid metabolism_FXR-dependent negative-feedback regulation of bile acids concentration,31,1.112E-02,2.677E-01,1.112E-02,2.677E-01,4,"LRH1, HNF3-alpha, PXR, UGT2B4",
46,Signal transduction_Adenosine A3 receptor signaling pathway,48,1.147E-02,2.677E-01,1.147E-02,2.677E-01,5,"STAT3, Rho GTPase, p38 MAPK, Adenylate cyclase, Bcl-2",
47,Development_FGF10 in development of subcutaneous white adipose tissue in embryogenesis,17,1.160E-02,2.677E-01,1.160E-02,2.677E-01,3,"A-FABP, FGF10, C/EBPalpha",
48,Ligand-independent activation of Androgen receptor in Prostate Cancer,67,1.191E-02,2.677E-01,1.191E-02,2.677E-01,6,"STAT3, Androgen receptor, PP2A regulatory, FGFR1, Kallikrein 3 (PSA), Prolactin receptor",
49,Putative pathways for stimulation of fat cell differentiation by Bisphenol A,32,1.243E-02,2.677E-01,1.243E-02,2.677E-01,4,"Androgen receptor, A-FABP, ESR1 (nuclear), C/EBPalpha",
50,Androstenedione and testosterone biosynthesis and metabolism p.2,32,1.243E-02,2.677E-01,1.243E-02,2.677E-01,4,"UGT2B28, AKR1C4, UGT2B17, UGT2B15",
51,Neutrophil-derived granule proteins and cytokines in asthma,49,1.249E-02,2.677E-01,1.249E-02,2.677E-01,5,"Hck, CCL17, Tryptase, IL8RA, IL8RB",
52,Androgen receptor activation and downstream signaling in Prostate cancer,110,1.328E-02,2.677E-01,1.328E-02,2.677E-01,8,"STAT3, Androgen receptor, Rb protein, PSCA, HNF3-alpha, FGFR1, Kallikrein 3 (PSA), Clusterin",
53,Neurophysiological process_Leptin signaling in neurons,50,1.356E-02,2.677E-01,1.356E-02,2.677E-01,5,"STAT3, TY3H, IRS-4, MaxiK alpha subunit, Kir6.2",
54,Protein folding and maturation_Posttranslational processing of neuroendocrine peptides,50,1.356E-02,2.677E-01,1.356E-02,2.677E-01,5,"CCK8, PC2, CCK8-Gly, Pro-CCK, CCK8-GlyArgArg",
55,Signal transduction_CXCR4 signaling via second messengers and JAK/STAT,50,1.356E-02,2.677E-01,1.356E-02,2.677E-01,5,"STAT3, MaxiK alpha subunit, Adenylate cyclase, MLCK, Bcl-2",
56,Development_BMP signaling,33,1.383E-02,2.677E-01,1.383E-02,2.677E-01,4,"Chordin, BMP7, p38 MAPK, Tob1",
57,LRRK2 in neurons in Parkinson's disease,33,1.383E-02,2.677E-01,1.383E-02,2.677E-01,4,"Tau (MAPT), LRRK2, eEF1A2, eEF1A",
58,Immune response_IL-11 signaling via JAK/STAT,34,1.533E-02,2.873E-01,1.533E-02,2.873E-01,4,"STAT3, A-FABP, Bcl-2, MYOD",
59,Anti-apoptotic pathways in endoplasmic reticulum stress response in multiple myeloma,19,1.586E-02,2.873E-01,1.586E-02,2.873E-01,3,"XBP1, p38 MAPK, Bcl-2",
60,Development_FGF-family signaling,52,1.589E-02,2.873E-01,1.589E-02,2.873E-01,5,"FGF4, FGFR4, p38 MAPK, FGF10, FGFR1",
61,Signal transduction_Adenosine A2A receptor signaling pathway,52,1.589E-02,2.873E-01,1.589E-02,2.873E-01,5,"Kir6.2, ENPP1, SFK, p38 MAPK, Adenylate cyclase",
62,"Immune response_IL-3 signaling via JAK/STAT, p38, JNK and NF-kB",93,1.682E-02,2.874E-01,1.682E-02,2.874E-01,7,"STAT3, TCR gamma locus, MHC class II, CISH, XBP1, p38 MAPK, Bcl-2",
63,Pro-oncogenic action of Androgen receptor in breast cancer,35,1.693E-02,2.874E-01,1.693E-02,2.874E-01,4,"Androgen receptor, PIP, HNF3-alpha, Kallikrein 3 (PSA)",
64,Development_Extraembryonic differentiation of embryonic stem cells,35,1.693E-02,2.874E-01,1.693E-02,2.874E-01,4,"GATA-3, BMP7, SOX2, HNF3-alpha",
65,Neurophysiological process_Thyroliberin in cell hyperpolarization and excitability,35,1.693E-02,2.874E-01,1.693E-02,2.874E-01,4,"MaxiK alpha subunit, Thyroliberin, KCNH7, Kir3.1",
66,Regulation of AKT(PKB)/ GSK3 beta cascade in bipolar disorder,54,1.847E-02,2.895E-01,1.847E-02,2.895E-01,5,"ESR1 (membrane), RET, Epo, GFRalpha1, FGFR1",
67,Development_Differentiation of white adipocytes ,54,1.847E-02,2.895E-01,1.847E-02,2.895E-01,5,"p38alpha (MAPK14), A-FABP, Rb protein, Perilipin, C/EBPalpha",
68,Th17 cytokines in COPD,36,1.863E-02,2.895E-01,1.863E-02,2.895E-01,4,"STAT3, MHC class II, p38 MAPK, Mucin 5AC",
69,Immune response_IL-22 signaling pathway,36,1.863E-02,2.895E-01,1.863E-02,2.895E-01,4,"STAT3, MHC class II, p38 MAPK, Bcl-2",
70,Nitrogen metabolism,36,1.863E-02,2.895E-01,1.863E-02,2.895E-01,4,"Carbonic anhydrase XII, CPSM, Carbonic anhydrase IV, DHE4",
71,Development_EPO-induced Jak-STAT pathway,36,1.863E-02,2.895E-01,1.863E-02,2.895E-01,4,"STAT3, CISH, Epo, Bcl-2",
72,Noise-induced hair cell death and spiral ganglion neuron degeneration,96,1.970E-02,3.018E-01,1.970E-02,3.018E-01,7,"STAT3, p38alpha (MAPK14), Rb protein, CACNA1I, RET, GFRalpha1, CACNA1D",
73,Role of ZNF202 in regulation of expression of genes involved in atherosclerosis,21,2.087E-02,3.154E-01,2.087E-02,3.154E-01,3,"ABCG1, IA-1, HDL proteins",
74,Development_WNT/Beta-catenin and NOTCH in induction of osteogenesis,40,2.647E-02,3.722E-01,2.647E-02,3.722E-01,4,"A-FABP, Adiponectin, Bone sialoprotein, C/EBPalpha",
75,Cell adhesion_IL-8 family-dependent cell migration and adhesion,40,2.647E-02,3.722E-01,2.647E-02,3.722E-01,4,"EBP50, IL8RA, p38 MAPK, IL8RB",
76,Androstenedione and testosterone biosynthesis and metabolism p.3,40,2.647E-02,3.722E-01,2.647E-02,3.722E-01,4,"UGT2B28, AKR1C4, UGT2B17, UGT2B4",
77,Inhibition of Vitamin D pathway in Prostate Cancer,40,2.647E-02,3.722E-01,2.647E-02,3.722E-01,4,"Androgen receptor, p38alpha (MAPK14), Rb protein, Bcl-2",
78,Cytoskeleton remodeling_ESR1 action on cytoskeleton remodeling and cell migration,23,2.666E-02,3.722E-01,2.666E-02,3.722E-01,3,"ESR1 (membrane), EBP50, ESR1 (nuclear)",
79,Development_Thrombopoietin signaling via JAK-STAT pathway,23,2.666E-02,3.722E-01,2.666E-02,3.722E-01,3,"STAT3, CISH, ERG",
80,Maturation and migration of dendritic cells in skin sensitization,41,2.869E-02,3.956E-01,2.869E-02,3.956E-01,4,"MHC class II alpha chain, MHC class II, MHC class II beta chain, p38 MAPK",
81,Immune response_IL-9 signaling pathway,61,2.961E-02,4.012E-01,2.961E-02,4.012E-01,5,"STAT3, CISH, Mucin 2, Mucin 5AC, Bcl-2",
82,Prolactin/ JAK2 signaling in breast cancer,24,2.984E-02,4.012E-01,2.984E-02,4.012E-01,3,"STAT3, CISH, Prolactin receptor",
83,Estradiol metabolism,42,3.103E-02,4.012E-01,3.103E-02,4.012E-01,4,"UGT2B28, SULT1A1, UGT2B11, UGT2B17",
84,Signal transduction_Adenosine A1 receptor signaling pathway,62,3.148E-02,4.012E-01,3.148E-02,4.012E-01,5,"STAT3, GLRA3, SFK, p38 MAPK, Adenylate cyclase",
85,"Immune response_IL-4-induced regulators of cell growth, survival, differentiation and metabolism",62,3.148E-02,4.012E-01,3.148E-02,4.012E-01,5,"STAT3, GATA-3, A-FABP, CISH, Bcl-2",
86,Immune response_IL-10 signaling pathway,62,3.148E-02,4.012E-01,3.148E-02,4.012E-01,5,"STAT3, Fc gamma RII beta, MHC class II, G-CSF, Bcl-2",
87,Role of Nicotine-induced Leptin resistance in hypothalamus in development of obesity,25,3.321E-02,4.012E-01,3.321E-02,4.012E-01,3,"STAT3, Thyroliberin, CART",
88,Defective macrophage-mediated bacterial phagocytosis in COPD,25,3.321E-02,4.012E-01,3.321E-02,4.012E-01,3,"Tubulin alpha, RhoB, SP-D",
89,Apoptosis and survival_CXCR3-B signaling,63,3.343E-02,4.012E-01,3.343E-02,4.012E-01,5,"STAT3, GATA-3, p38 MAPK, Adenylate cyclase, Bcl-2",
90,Neuroprotective action of lithium,63,3.343E-02,4.012E-01,3.343E-02,4.012E-01,5,"p38alpha (MAPK14), Tau (MAPT), P2X2, p38 MAPK, Bcl-2",
91,"POMC, alpha-MSH and AGRP in regulation of food intake and energy expenditure in obesity in hypothalamus",43,3.347E-02,4.012E-01,3.347E-02,4.012E-01,4,"Adenylate cyclase type IV, Adenylate cyclase type II, Thyroliberin, PC2",
92,Regulation of proinflammatory cytokine production by Th2 cells in asthma,43,3.347E-02,4.012E-01,3.347E-02,4.012E-01,4,"p38alpha (MAPK14), IL-19, GATA-3, MHC class II",
93,Immune response_IL-13 signaling via JAK-STAT,44,3.601E-02,4.225E-01,3.601E-02,4.225E-01,4,"STAT3, IL13RA2, CCL17, IGHG4",
94,Neurophysiological process_Melatonin signaling,44,3.601E-02,4.225E-01,3.601E-02,4.225E-01,4,"MaxiK alpha subunit, Kir3.1, HSD17B1, Adenylate cyclase",
95,Role of fibroblasts and keratinocytes in the elicitation phase of allergic contact dermatitis,26,3.677E-02,4.225E-01,3.677E-02,4.225E-01,3,"CCR5, IL8RA, IL8RB",
96,Pioglitazone and Rosiglitazone in treatment of type 2 diabetes and metabolic syndrome X,26,3.677E-02,4.225E-01,3.677E-02,4.225E-01,3,"A-FABP, Adiponectin, ABCG1",
97,Dysregulation of germinal center response in SLE,65,3.754E-02,4.232E-01,3.754E-02,4.232E-01,5,"STAT3, Fc gamma RII beta, AID, ESR1 (nuclear), RGS16",
98,"Mechanism of Pioglitazone/Glimepiride and Rosiglitazone/Glimepiride cooperative action in Diabetes mellitus, Type 2",11,3.760E-02,4.232E-01,3.760E-02,4.232E-01,2,"SUR1, Kir6.2",
99,Nociception_Expression and role of Nociceptin in immune system,46,4.144E-02,4.617E-01,4.144E-02,4.617E-01,4,"STAT3, ESR1 (nuclear), CaMK II beta, p38 MAPK",
100,Inflammatory mechanisms of pancreatic cancerogenesis,67,4.195E-02,4.627E-01,4.195E-02,4.627E-01,5,"STAT3, C/EBP, IL8RA, Bcl-2, IL8RB",
101,Neurophysiological process_PGE2-induced pain processing,47,4.432E-02,4.715E-01,4.432E-02,4.715E-01,4,"GLRA3, PGE2R3, GLRA, Adenylate cyclase",
102,Role of Diethylhexyl Phthalate and Tributyltin in fat cell differentiation ,28,4.446E-02,4.715E-01,4.446E-02,4.715E-01,3,"A-FABP, Adiponectin, C/EBPalpha",
103,IL-17 and IL-17F-induced inflammatory signaling in normal and asthmatic airway epithelium,28,4.446E-02,4.715E-01,4.446E-02,4.715E-01,3,"IL-19, G-CSF, p38 MAPK",
104,Th1 and Th17 cells in an autoimmune mechanism of emphysema formation in smokers,28,4.446E-02,4.715E-01,4.446E-02,4.715E-01,3,"MHC class II, CCR5, Alpha 1-antitrypsin",
105,Oxidative stress_Role of IL-8 signaling pathway in respiratory burst,48,4.730E-02,4.940E-01,4.730E-02,4.940E-01,4,"IL8RA, p38 MAPK, PREX1, IL8RB",
106,"Development_The role of GDNF ligand family/ RET receptor in cell survival, growth and proliferation",92,4.748E-02,4.940E-01,4.748E-02,4.940E-01,6,"STAT3, p38alpha (MAPK14), RET, GFRalpha2, GFRalpha1, Bcl-2",
107,Histone deacetylases in Prostate Cancer,29,4.857E-02,4.961E-01,4.857E-02,4.961E-01,3,"Androgen receptor, Tubulin alpha, Kallikrein 3 (PSA)",
108,Neurophysiological process _Visual perception,29,4.857E-02,4.961E-01,4.857E-02,4.961E-01,3,"SLC24A2, Rhodopsin, Guanylate cyclase 2D (RETGC1)",
109,Mechanisms of drug resistance in multiple myeloma,49,5.040E-02,5.010E-01,5.040E-02,5.010E-01,4,"STAT3, IL8RA, Bcl-2, IL8RB",
110,Development_Role of nicotinamide in G-CSF-induced granulopoiesis,13,5.137E-02,5.010E-01,5.137E-02,5.010E-01,2,"G-CSF, C/EBPalpha",
111,Development_EGFR signaling pathway,71,5.167E-02,5.010E-01,5.167E-02,5.010E-01,5,"STAT3, p38alpha (MAPK14), MKP-2, Amphiregulin, p38 MAPK",
112,Inhibition of neutrophil migration by proresolving lipid mediators in COPD,71,5.167E-02,5.010E-01,5.167E-02,5.010E-01,5,"CCR5, IL8RA, p38 MAPK, PREX1, IL8RB",
113,Immune response_Antigen presentation by MHC class II,118,5.177E-02,5.010E-01,5.177E-02,5.010E-01,7,"MHC class II alpha chain, Fc gamma RII beta, MHC class II, MHC class II beta chain, RhoB, p38 MAPK, Bcl-2",
114,Development_WNT/Beta-catenin signaling in organogenesis,30,5.287E-02,5.010E-01,5.287E-02,5.010E-01,3,"FoxN1, MEPE, FGF10",
115,Retinoic acid maintains mucocilliary differentiation and mucins expression in normal and asthmatic airway epithelium,30,5.287E-02,5.010E-01,5.287E-02,5.010E-01,3,"SPRR1A, Mucin 2, Mucin 5AC",
116,Neurophysiological process_Mu-type opioid receptor-mediated analgesia,30,5.287E-02,5.010E-01,5.287E-02,5.010E-01,3,"Adenylate cyclase type IV, Adenylate cyclase type V, Adenylate cyclase type II",
117,Development_GM-CSF signaling,50,5.360E-02,5.010E-01,5.360E-02,5.010E-01,4,"STAT3, Hck, CISH, Bcl-2",
118,Apoptosis and survival_HTR1A signaling,50,5.360E-02,5.010E-01,5.360E-02,5.010E-01,4,"STAT3, PP2A regulatory, Adenylate cyclase, Bcl-2",
119,Role of epigenetic alterations in proliferation and differentiation of SCLC cells,72,5.429E-02,5.032E-01,5.429E-02,5.032E-01,5,"PAX3, Rb protein, CCDC140, YAP1 (YAp65), C/EBPalpha",
120,Inflammatory factors-induced expression of mucins in normal and asthmatic epithelium,51,5.691E-02,5.184E-01,5.691E-02,5.184E-01,4,"IL8RA, Mucin 2, Mucin 5AC, IL8RB",
121,Signal transduction_PKA signaling,51,5.691E-02,5.184E-01,5.691E-02,5.184E-01,4,"Androgen receptor, PP2A regulatory, PKI, Adenylate cyclase",
122,Development_Embryonal epaxial myogenesis,31,5.734E-02,5.184E-01,5.734E-02,5.184E-01,3,"PAX3, MYOG, MYOD",
123,Macrophage-induced immunosuppression in the tumor microenvironment,97,5.862E-02,5.257E-01,5.862E-02,5.257E-01,6,"STAT3, ALOX15B, CCL17, CCR8, p38 MAPK, CAT-2",
124,Development_Transcription regulation of granulocyte development,32,6.199E-02,5.394E-01,6.199E-02,5.394E-01,3,"STAT3, G-CSF, C/EBPalpha",
125,Role of IL-6 in obesity and type 2 diabetes in adipocytes,32,6.199E-02,5.394E-01,6.199E-02,5.394E-01,3,"STAT3, Adiponectin, Perilipin",
126,"Development_NCAM1-mediated neurite outgrowth, synapse assembly and neuronal survival",75,6.260E-02,5.394E-01,6.260E-02,5.394E-01,5,"Tau (MAPT), CACNA1H, DNAI1, GFRalpha1, FGFR1",
127,"Development_Insulin, IGF-1 and TNF-alpha in brown adipocyte differentiation",53,6.385E-02,5.394E-01,6.385E-02,5.394E-01,4,"A-FABP, Adiponectin, Perilipin, C/EBPalpha",
128,IL-6 signaling in breast cancer cells,53,6.385E-02,5.394E-01,6.385E-02,5.394E-01,4,"STAT3, ESR1 (nuclear), HSD17B1, Bcl-2",
129,Immune response_Alternative complement pathway,53,6.385E-02,5.394E-01,6.385E-02,5.394E-01,4,"CRIg, C5L2, FHR-5, Clusterin",
130,Cell cycle_Influence of Ras and Rho proteins on G1/S Transition,53,6.385E-02,5.394E-01,6.385E-02,5.394E-01,4,"STAT3, Rb protein, Tob1, MLCK",
131,Deficient alpha-MSH signaling in melanoma,33,6.680E-02,5.394E-01,6.680E-02,5.394E-01,3,"p38alpha (MAPK14), Rb protein, p38 MAPK",
132,Role of GSK3 beta in cardioprotection against myocardial infarction,33,6.680E-02,5.394E-01,6.680E-02,5.394E-01,3,"Kir6.1, Kir6.2, Epo",
133,Prolactin signaling in Prostate Cancer,33,6.680E-02,5.394E-01,6.680E-02,5.394E-01,3,"Androgen receptor, PIP, Prolactin receptor",
134,Cytoskeleton remodeling_Thyroliberin in cytoskeleton remodeling,33,6.680E-02,5.394E-01,6.680E-02,5.394E-01,3,"Tau (MAPT), Thyroliberin, Adenylate cyclase",
135,Development_Self-renewal and pluripotency maintenance of human embryonic stem cells,33,6.680E-02,5.394E-01,6.680E-02,5.394E-01,3,"Albumin, SOX2, CG alpha",
136,Muscle contraction_Role of kappa-type opioid receptor in heart,33,6.680E-02,5.394E-01,6.680E-02,5.394E-01,3,"Kir6.1, Kir6.2, Adenylate cyclase",
137,Dysregulation of indirect glucose-induced inhibition of Glucagon secretion from alpha-cells in type 2 diabetes ,54,6.748E-02,5.394E-01,6.748E-02,5.394E-01,4,"SUR1, ZnT-8, Kir6.2, PC2",
138,Th17 cells in CF,54,6.748E-02,5.394E-01,6.748E-02,5.394E-01,4,"STAT3, MHC class II, G-CSF, p38 MAPK",
139,Cell adhesion_Integrin inside-out signaling in neutrophils,77,6.852E-02,5.437E-01,6.852E-02,5.437E-01,5,"Hck, IL8RA, p38 MAPK, PREX1, IL8RB",
140,Cytoskeleton remodeling_Substance P mediated membrane blebbing,16,7.476E-02,5.812E-01,7.476E-02,5.812E-01,2,"Tubulin alpha, MLCK",
141,MAPK-mediated proliferation of normal and asthmatic smooth muscle cells,56,7.506E-02,5.812E-01,7.506E-02,5.812E-01,4,"p38alpha (MAPK14), Amphiregulin, Rb protein, FGFR1",
142,Development_YAP/TAZ-mediated co-regulation of transcription,56,7.506E-02,5.812E-01,7.506E-02,5.812E-01,4,"GATA-3, PAX3, SOX2, YAP1 (YAp65)",
143,Interleukins-induced inflammatory response in asthmatic airway fibroblasts,35,7.693E-02,5.812E-01,7.693E-02,5.812E-01,3,"p38alpha (MAPK14), G-CSF, p38 MAPK",
144,Cell adhesion_Plasmin signaling,35,7.693E-02,5.812E-01,7.693E-02,5.812E-01,3,"LEKTI, p38 MAPK, FGFR1",
145,Transcription_Role of the non-genomic action of Retinoic acid and phosphorylation of Retinoic acid receptors in the initiation of transcription,35,7.693E-02,5.812E-01,7.693E-02,5.812E-01,3,"p38alpha (MAPK14), Transthyretin, p38 MAPK",
146,Development_Schema: Adult neuron differentiation in the Subventricular and Subgranular Zones,35,7.693E-02,5.812E-01,7.693E-02,5.812E-01,3,"TY3H, Doublecortin, SOX2",
147,Skeletal muscle atrophy in COPD,57,7.900E-02,5.928E-01,7.900E-02,5.928E-01,4,"p38alpha (MAPK14), p38 MAPK, MYOG, MYOD",
