Enrichment analysis report,,,,,,,,,,,,,
Enrichment by Pathway Maps,,,,,transformed_FC,,,,rna_all_FC,,,,
#,Maps,Total,min(pValue),Min FDR,p-value,FDR,In Data,"Network Objects from
Active Data",p-value,FDR,In Data,"Network Objects from
Active Data",
11,Ubiquinone metabolism,74,2.686E-07,5.019E-05,1.634E-06,2.713E-04,31,"NDUFB9, COQ6, NDUFS1, NDUFS3, NDUFS7, NDUFAB1, NDUFC1, TAT, NDUFS4, NDUFA2, NDUFA3, NDUFB4, NDUFA10, NDUFB6, NDUFB10, NDUFA8, NDUFS8, NDUFV1, DAP13, NDUFB1, NDUFB5, NDUFC2, NDUFV3, NDUFA7, NDUFA9, NDUFA13, NDUFA5, NDUFS2, NDUFA1, NDUFA4, NDUFB8",2.686E-07,5.019E-05,37,"NDUFB9, NDUFS1, NDUFS3, NDUFAB1, NDUFC1, TAT, NDUFA2, NDUFA3, NDUFB4, NDUFB6, NDUFA8, NDUFS8, NDUFV1, DAP13, NDUFB1, NDUFB5, NDUFC2, NDUFA7, NDUFA9, COQ3, NDUFA13, NDUFA5, NDUFA4, NDUFB8, NDUFB7, COQ6, NDUFS7, NDUFA6, NDUFS4, NDUFB2, NDUFV2, NDUFA10, NDUFB10, NDUFB3, NDUFV3, NDUFS2, NDUFA1",
12,Cytoskeleton remodeling_Regulation of actin cytoskeleton organization by the kinase effectors of Rho GTPases,58,3.711E-07,5.548E-05,2.957E-04,4.649E-03,22,"Spectrin, SLC9A1, Myosin II, Alpha-actinin, PAK1, RhoB, PIP5KI, MyHC, LIMK, Rac3, MRCK, GIT1, DMPK, PAK, Rac1-related, Cdc42 subfamily, ERM proteins, Rhov, MRLC, RhoA-related, Cortactin, MLCK",3.711E-07,5.548E-05,31,"WRCH-1, Spectrin, SLC9A1, RhoC, Rac1, GIT1, Cdc42 subfamily, ERM proteins, RhoA-related, Cortactin, MLCK, BETA-PIX, Destrin, Myosin II, PAK1, RhoB, PIP5KI, MyHC, LIMK, Rac3, Paxillin, MRCK, DMPK, Actomyosin, MRCKalpha, PAK, Cofilin, non-muscle, Rac1-related, Rhov, MRLC, Cofilin",
13,LRRK2 in neurons in Parkinson's disease,33,5.940E-07,8.073E-05,1.412E-05,7.815E-04,17,"MARK2, LRRK2, ERK1/2, AP2A1, PAK1, eEF1A2, VIL2 (ezrin), Ubiquitin, AP-2 alpha subunits, MEK1/2, Tau (MAPT), RAB-5B, HSP90, CHIP, Clathrin heavy chain, eEF1A, Tubulin (in microtubules)",5.940E-07,8.073E-05,21,"NSF, ERK1/2, 14-3-3, PKC-zeta, eEF1A2, Rac1, VIL2 (ezrin), Ubiquitin, AP-2 alpha subunits, Tau (MAPT), HSP90, Clathrin heavy chain, Tubulin (in microtubules), MARK2, LRRK2, MARKK, PAK1, AP2A2, RAB-5B, CHIP, eEF1A",
14,IL-6 signaling in Prostate Cancer,40,9.204E-07,2.077E-04,9.204E-07,2.077E-04,21,"MEK1(MAP2K1), gp130, MCP, GRB2, GAB1, H-Ras, c-Raf-1, p21, IL6RA, Kallikrein 3 (PSA), STAT3, Androgen receptor, AP-1, ErbB2, PI3K reg class IA, PTEN, Cyclin D1, AKT(PKB), PDK (PDPK1), p27KIP1, IL-6 receptor",1.500E-04,3.296E-03,20,"gp130, GRB2, GAB1, IRS-1, H-Ras, p21, Kallikrein 3 (PSA), Androgen receptor, ErbB2, PI3K reg class IA, AKT(PKB), PDK (PDPK1), p27KIP1, MCP, IL6RA, AP-1, PTEN, SHP-2, Cyclin D1, IL-6 receptor",
15,G protein-coupled receptors signaling in lung cancer,76,9.733E-07,2.077E-04,9.733E-07,2.077E-04,32,"EGF, G-protein alpha-12 family, SSTR2, c-Fos, G-protein alpha-i family, ERK1/2, PKA-reg (cAMP-dependent), BDKRB2, Galpha(q)-specific peptide GPCRs, G-protein alpha-q/11, IL8RA, PGE2R3, STAT3, I-kB, GRP-R, Amphiregulin, p70 S6 kinase1, G-protein alpha-s, Calmodulin, CNR1, NTSR1, Bcl-XL, VIP receptor 1, Galpha(i)-specific peptide GPCRs, Cyclin D1, CCR5, VIP receptor 2, Galpha(i)-specific cannabis GPSRs, AKT(PKB), PDK (PDPK1), SDF-1, IL8RB",2.040E-06,2.346E-04,36,"EGF, SSTR2, c-Fos, ERK1/2, PKA-reg (cAMP-dependent), BDKRB2, G-protein alpha-q/11, I-kB, GRP-R, Amphiregulin, CNR1, IKK-alpha, NTSR1, Bcl-XL, Galpha(i)-specific peptide GPCRs, VIP, CCR5, Galpha(i)-specific cannabis GPSRs, AKT(PKB), PDK (PDPK1), SDF-1, IL8RB, G-protein alpha-12 family, G-protein alpha-i family, Galpha(q)-specific peptide GPCRs, IL8RA, PGE2R3, Bradykinin, p70 S6 kinase1, G-protein alpha-s, Calmodulin, Somatostatin, VIP receptor 1, Cyclin D1, VIP receptor 2, SSTR5",
16,IGF family signaling in colorectal cancer,60,9.911E-07,1.235E-04,1.806E-04,3.459E-03,23,"GRB2, c-Fos, E2F1, H-Ras, ERK1/2, Clusterin, c-Raf-1, I-kB, p70 S6 kinase1, PTEN, c-Myb, GSK3 alpha/beta, Bcl-XL, IGF-1 receptor, MNK2(GPRK7), MEK1/2, Cyclin D1, AKT(PKB), IGF-1, ERK1 (MAPK3), IBP, FosB, C/EBPalpha",9.911E-07,1.235E-04,31,"GRB2, c-Fos, IRS-1, H-Ras, eIF4E, ERK1/2, Clusterin, IKK (cat), Rad51, GIPC, I-kB, IKK-alpha, c-Myb, GSK3 alpha/beta, Bcl-XL, IGF-1 receptor, AKT(PKB), ERK1 (MAPK3), IBP, E2F1, c-Jun, 4E-BP1, ZNF143, p70 S6 kinase1, PTEN, MNK2(GPRK7), Cyclin D1, IGF-1, MAT2A, FosB, C/EBPalpha",
17,Regulation of lipid metabolism_Insulin regulation of glycogen metabolism ,57,1.621E-06,2.713E-04,1.621E-06,2.713E-04,26,"MEK1(MAP2K1), IPP-1, GRB2, PHK gamma (liver), Insulin processed, PDE3B, PP1-cat, G6PT, H-Ras, PHK gamma, ERK1/2, PKA-reg (cAMP-dependent), c-Raf-1, p90RSK1, PP1G regulatory subunit, GYS1, Calmodulin, PI3K reg class IA, PHK alpha, Insulin receptor, PPCKM, GSK3 alpha/beta, PYGM, PHK beta, AKT(PKB), PDK (PDPK1)",1.161E-04,2.800E-03,26,"GRB2, PHK gamma (liver), Insulin processed, PDE3B, GYS2, IRS-1, PP1-cat, H-Ras, ERK1/2, PKA-reg (cAMP-dependent), GLUT4, PP1G regulatory subunit, PI3K reg class IA, PHK alpha, Insulin receptor, PPCKM, GSK3 alpha/beta, AKT(PKB), PDK (PDPK1), IPP-1, PHK gamma, GYS1, Calmodulin, AKT2, PYGM, PHK beta",
18,Putative role of Estrogen receptor and Androgen receptor signaling in progression of lung cancer,58,2.435E-06,3.191E-04,2.435E-06,3.191E-04,26,"MEK1(MAP2K1), E-cadherin, Tuberin, EGF, GRB2, ESR1 (nuclear), NCOA3 (pCIP/SRC3), G-protein alpha-i family, H-Ras, ERK1/2, ESR1 (membrane), c-Raf-1, Cytochrome c, ESR2 (nuclear), ESR2 (mitochondrial), ESR2 (membrane), Kallikrein 3 (PSA), Androgen receptor, ID2, p70 S6 kinase1, MAPKAPK2, Bcl-2, Bcl-XL, Cyclin D1, p38 MAPK, ERK1 (MAPK3)",1.756E-05,9.225E-04,28,"Tuberin, EGF, GRB2, ESR1 (nuclear), H-Ras, ERK1/2, 14-3-3, ESR1 (membrane), Cytochrome c, ESR2 (nuclear), Kallikrein 3 (PSA), BAD, Androgen receptor, ID2, MAPKAPK2, CYP19, Bcl-XL, ERK1 (MAPK3), E-cadherin, NCOA3 (pCIP/SRC3), G-protein alpha-i family, TAS2R50, ESR2 (mitochondrial), ESR2 (membrane), p70 S6 kinase1, Bcl-2, Cyclin D1, p38 MAPK",
19,Apoptosis and survival_BAD phosphorylation,42,2.598E-06,3.191E-04,2.598E-06,3.191E-04,21,"MEK1(MAP2K1), Calcineurin A (catalytic), GRB2, H-Ras, ERK1/2, PKA-reg (cAMP-dependent), c-Raf-1, Adenylate cyclase type I, PP2C, Cytochrome c, p90Rsk, p70 S6 kinase1, G-protein alpha-s, PI3K reg class IA, PP1-cat alpha, Bcl-2, Bcl-XL, IGF-1 receptor, AKT(PKB), PDK (PDPK1), p70 S6 kinase2",2.795E-05,1.129E-03,22,"Calcineurin A (catalytic), GRB2, IRS-1, H-Ras, ERK1/2, 14-3-3, PKA-reg (cAMP-dependent), PP2C, Cytochrome c, BAD, PI3K reg class IA, PP1-cat alpha, Bcl-XL, IGF-1 receptor, AKT(PKB), PDK (PDPK1), Adenylate cyclase type I, p70 S6 kinase1, G-protein alpha-s, Bcl-2, Beclin 1, p70 S6 kinase2",
20,Translation _Regulation of EIF2 activity,39,2.709E-06,3.191E-04,2.709E-06,3.191E-04,20,"MEK1(MAP2K1), EGF, GRB2, eIF2B5, GAB1, eIF2AK3, Insulin processed, PP1-cat, H-Ras, ERK1/2, c-Raf-1, PI3K reg class IA, Insulin receptor, PP1-cat alpha, GSK3 alpha/beta, Casein kinase I, eIF2S1, AKT(PKB), PDK (PDPK1), eIF2AK1",3.361E-04,5.367E-03,19,"EGF, GRB2, eIF2B5, GAB1, Insulin processed, IRS-1, PP1-cat, H-Ras, ERK1/2, PI3K reg class IA, Insulin receptor, PP1-cat alpha, GSK3 alpha/beta, eIF2S1, AKT(PKB), PDK (PDPK1), eIF2AK3, Casein kinase I, eIF2AK1",
21,Signal transduction_mTORC2 downstream signaling,68,2.761E-06,2.929E-04,1.405E-03,1.242E-02,23,"Tuberin, cPKC (conventional), ACACA, AKT1, SREBP1 (nuclear), SCD, G6PT, PKA-reg (cAMP-dependent), p21, FASN, Adenylate cyclase type IX, RAG2, FBX29, SLC12A1, PKC, Insulin receptor, MDM2, GSK3 alpha/beta, IGF-1 receptor, Cyclin D1, AKT(PKB), p27KIP1, PREX1",2.761E-06,2.929E-04,33,"Tuberin, AKT1, SREBP1 (nuclear), SCD, IRS-1, PKC-zeta, PRAS40, PKA-reg (cAMP-dependent), GLUT4, p21, FASN, FBX29, Rac1, BAD, Insulin receptor, MDM2, GSK3 alpha/beta, IGF-1 receptor, AKT(PKB), p27KIP1, c-Myc, cPKC (conventional), PKC-delta, Adenylate cyclase type IX, Paxillin, SLC12A1, PKC, Rab-10, FOXO3A, AKT2, Cyclin D1, ENaC, PREX1",
22,Development_Fetal brown fat cell differentiation,55,2.777E-06,3.191E-04,2.777E-06,3.191E-04,25,"MEK1(MAP2K1), SREBP1 (nuclear), GRB2, Insulin processed, H-Ras, ERK1/2, PKA-reg (cAMP-dependent), c-Raf-1, USF1, FASN, TR-beta, Prolactin receptor, SREBP1 precursor, PI3K reg class IA (p85), p70 S6 kinase1, G-protein alpha-s, Insulin receptor, Adenylate cyclase, IGF-1 receptor, AKT(PKB), IGF-1, PDK (PDPK1), p70 S6 kinase2, Leptin, C/EBPalpha",1.681E-05,9.225E-04,27,"SREBP1 (nuclear), GRB2, Insulin processed, IRS-1, H-Ras, ERK1/2, PKC-zeta, PKA-reg (cAMP-dependent), GLUT4, USF1, FASN, TR-beta, Prolactin receptor, SREBP1 precursor, PI3K reg class IA (p85), Insulin receptor, Adenylate cyclase, IGF-1 receptor, AKT(PKB), PDK (PDPK1), c-Myc, p70 S6 kinase1, G-protein alpha-s, IGF-1, p70 S6 kinase2, Leptin, C/EBPalpha",
23,Possible regulation of HSF-1/ chaperone pathway in Huntington's disease,21,2.939E-06,2.929E-04,7.093E-05,1.879E-03,12,"Huntingtin, HSP90 alpha, E2I, Calmodulin, HSP27, GSK3 alpha/beta, JNK(MAPK8-10), HSP90, PLA2, HSP70, ERK1 (MAPK3), p23 co-chaperone",2.939E-06,2.929E-04,15,"Huntingtin, HSP90 alpha, E2I, GSK3 alpha/beta, HSP40, HSP90, HSP70, ERK1 (MAPK3), HSF1, Calmodulin, SUMO-2, HSP27, JNK(MAPK8-10), PLA2, p23 co-chaperone",
24,Transcription_CREB signaling pathway,49,3.509E-06,3.668E-04,3.509E-06,3.668E-04,23,"MEK1(MAP2K1), cPKC (conventional), Galpha(s)-specific amine GPCRs, GRB2, PP1-cat, H-Ras, ERK1/2, CACNA1C, MSK1/2 (RPS6KA5/4), PKA-reg (cAMP-dependent), c-Raf-1, Adenylate cyclase type I, p90Rsk, G-protein alpha-s, Calmodulin, PI3K reg class IA, MEK6(MAP2K6), IGF-1 receptor, Cyclin D1, AKT(PKB), PDK (PDPK1), HPD, p38 MAPK",5.023E-04,7.017E-03,22,"GRB2, IRS-1, PP1-cat, H-Ras, ERK1/2, MSK1/2 (RPS6KA5/4), PKA-reg (cAMP-dependent), Rac1, PI3K reg class IA, MEK6(MAP2K6), IGF-1 receptor, AKT(PKB), PDK (PDPK1), cPKC (conventional), Galpha(s)-specific amine GPCRs, CACNA1C, Adenylate cyclase type I, G-protein alpha-s, Calmodulin, Cyclin D1, HPD, p38 MAPK",
25,Main pathways of Schwann cells transformation in neurofibromatosis type 1 ,80,3.713E-06,3.668E-04,3.713E-06,3.668E-04,32,"MEK1(MAP2K1), Tuberin, EGF, PDGF-B, c-Fos, K-RAS, Neuregulin 1, H-Ras, TPT1, ERK1/2, ErbB3, c-Raf-1, PAK1, IP3 receptor, PI3K reg class IA (p85), AP-1, Amphiregulin, p70 S6 kinase1, ErbB2, Calmodulin, PTEN, Bcl-2, FAK1, Bcl-XL, IGF-1 receptor, MEK1/2, Cyclin D1, B-FABP, AKT(PKB), PDK (PDPK1), p38 MAPK, SDF-1",9.467E-04,1.097E-02,31,"Tuberin, EGF, PDGF-B, c-Fos, H-Ras, ERK1/2, ErbB3, c-Jun/c-Fos, IP3 receptor, BAD, PI3K reg class IA (p85), Amphiregulin, ErbB2, Bcl-XL, IGF-1 receptor, B-FABP, AKT(PKB), PDK (PDPK1), SDF-1, K-RAS, TPT1, PAK1, miR-106b-5p, AP-1, p70 S6 kinase1, Calmodulin, PTEN, Bcl-2, FAK1, Cyclin D1, p38 MAPK",
26,Mitogenic action of ErbB2 in breast cancer,56,4.157E-06,3.668E-04,4.157E-06,3.668E-04,25,"Tuberin, EGF, GRB2, c-Fos, Neuregulin 1, H-Ras, ERK1/2, ErbB3, JAB1, c-Raf-1, PAK1, p21, I-kB, PI3K reg class IA (p85), p70 S6 kinase1, BRK, ErbB2, MEK1/2, Cyclin D1, MSK1, AKT(PKB), Cullin 3, PDK (PDPK1), p70 S6 kinase2, p27KIP1",7.522E-06,6.248E-04,28,"Tuberin, EGF, GRB2, c-Fos, H-Ras, ERK1/2, ErbB3, Cyclin G2, IKK (cat), p21, Rac1, I-kB, PI3K reg class IA (p85), BRK, ErbB2, IKK-alpha, MSK1, AKT(PKB), Cullin 3, PDK (PDPK1), p27KIP1, c-Myc, JAB1, PAK1, p70 S6 kinase1, FOXO3A, Cyclin D1, p70 S6 kinase2",
27,Androgen receptor activation and downstream signaling in Prostate cancer,110,4.174E-06,3.668E-04,4.174E-06,3.668E-04,40,"MEK1(MAP2K1), E-cadherin, SLC45A3, EGF, gp130, GRB2, GAB1, K-RAS, NCOA3 (pCIP/SRC3), H-Ras, Kallikrein 4, Clusterin, c-Raf-1, FRS2, p21, ESR2 (nuclear), FGFR1, IL6RA, Kallikrein 3 (PSA), VIL2 (ezrin), STAT3, Androgen receptor, Rb protein, ErbB2, PI3K reg class IA (p85-beta), PTEN, Kallikrein 2, MDM2, SCAP, Bcl-XL, IGF-1 receptor, Cyclin D1, Relaxin 1, PSCA, AKT(PKB), IGF-1, PDK (PDPK1), HNF3-alpha, ERK1 (MAPK3), IL-6 receptor",8.612E-05,2.429E-03,43,"EGF, gp130, GRB2, GAB1, IRS-1, H-Ras, Clusterin, FRS2, p21, Bak, ESR2 (nuclear), FGFR1, Kallikrein 3 (PSA), VIL2 (ezrin), Androgen receptor, Rb protein, ErbB2, PI3K reg class IA (p85-beta), MDM2, Bcl-XL, IGF-1 receptor, Relaxin 1, AKT(PKB), PDK (PDPK1), c-Myc, ERK1 (MAPK3), E-cadherin, SLC45A3, K-RAS, NCOA3 (pCIP/SRC3), PKC-delta, FOLH1 (GCP2), IL6RA, PTEN, SHP-2, Kallikrein 2, SCAP, Cyclin D1, microRNA 125b, PSCA, IGF-1, HNF3-alpha, IL-6 receptor",
28,Development_FGF signaling in pancreatic and hepatic differentiation of embryonic stem cells,40,4.498E-06,3.733E-04,4.498E-06,3.733E-04,20,"MEK1(MAP2K1), PTF1-p48, GRB2, FGFR4, H-Ras, ERK1/2, GATA-4, c-Raf-1, FRS2, GSC, FGFR1, FGF4, Alpha 1-antitrypsin, Keratin 18, FGF10, Neurogenin 3, AFP, Keratin 8, HNF6, Albumin",1.546E-03,1.531E-02,18,"GRB2, WNT3A, FGFR4, H-Ras, ERK1/2, GATA-4, FRS2, GSC, FGFR1, FGF4, Alpha 1-antitrypsin, Keratin 18, FGF10, Neurogenin 3, Albumin, SHP-2, Keratin 8, HNF6",
29,Development_Thromboxane A2 signaling pathway,50,5.389E-06,4.078E-04,5.389E-06,4.078E-04,23,"EGF, cPKC (conventional), G-protein alpha-12 family, G-protein alpha-i family, H-Ras, ERK1/2, MSK1/2 (RPS6KA5/4), PKA-reg (cAMP-dependent), c-Raf-1, IP3 receptor, G-protein alpha-13, PI3K reg class IA (p85), p70 S6 kinase1, G-protein alpha-s, PKC, PI3K reg class IA, PLC-beta, Adenylate cyclase, GSK3 alpha/beta, MEK1/2, Cyclin D1, AKT(PKB), p38 MAPK",2.431E-04,4.178E-03,23,"EGF, H-Ras, ERK1/2, MSK1/2 (RPS6KA5/4), PKA-reg (cAMP-dependent), IP3 receptor, G-protein alpha-13, PI3K reg class IA (p85), PI3K reg class IA, PLC-beta, Adenylate cyclase, GSK3 alpha/beta, AKT(PKB), cPKC (conventional), G-protein alpha-12 family, Tcf(Lef), G-protein alpha-i family, p70 S6 kinase1, G-protein alpha-s, PKC, G-protein alpha-q, Cyclin D1, p38 MAPK",
