Enrichment analysis report,,,,,,,,,,,,,
Enrichment by Pathway Maps,,,,,transformed_FC,,,,rna_all_FC,,,,
#,Maps,Total,min(pValue),Min FDR,p-value,FDR,In Data,"Network Objects from
Active Data",p-value,FDR,In Data,"Network Objects from
Active Data",
300,Immune response_Oncostatin M signaling via MAPK,37,3.054E-06,1.920E-05,3.054E-06,1.920E-05,27,"JAK1, CCL2, ERK1/2, EGR1, OSMR, STAT1, Rac1, Shc, LDLR, MEK2(MAP2K2), ERK2 (MAPK1), Stromelysin-1, PPAR-gamma, MMP-13, C/EBPbeta, MEK3(MAP2K3), c-Jun, SOS, TIMP1, MEK4(MAP2K4), AP-1, MEKK1(MAP3K1), SHP-2, LIFR, Oncostatin M, JNK(MAPK8-10), p38 MAPK",1.350E-04,4.608E-04,23,"JAK1, CCL2, ERK1/2, c-Raf-1, OSMR, STAT1, Shc, LDLR, MEK2(MAP2K2), ERK2 (MAPK1), Stromelysin-1, PPAR-gamma, MEK1(MAP2K1), MMP-13, C/EBPbeta, MEK3(MAP2K3), SOS, TIMP1, MEK4(MAP2K4), LIFR, Oncostatin M, JNK(MAPK8-10), p38 MAPK",
301,IL-17 and IL-17F-induced inflammatory signaling in normal and asthmatic airway epithelium,28,3.237E-06,2.200E-05,4.302E-04,1.120E-03,19,"IP10, ICAM1, ERK1/2, ENA-78, IL-17 receptor, I-kB, GRO-1, IL-17F, GM-CSF, MEK2(MAP2K2), CREB1, IL-6, NF-kB p50/p65, IL-8, p90Rsk, CXCR3, GCP2, p38 MAPK, IL-11",3.237E-06,2.200E-05,21,"IP10, ICAM1, ERK1/2, ENA-78, IL-17, c-Raf-1, IL-17 receptor, I-kB, GRO-1, IL-17F, GM-CSF, MEK2(MAP2K2), CREB1, IL-6, NF-kB p50/p65, MEK1(MAP2K1), IL-8, p90Rsk, GCP2, p38 MAPK, IL-11",
302,Role of CD8+ Tc1 cells in COPD,44,3.342E-06,2.251E-05,3.149E-05,1.260E-04,29,"IL-18R1, IP10, CCL2, Tyk2, Antileukoproteinase 1, Cathepsin S, Perforin, IL-15, STAT4, MHC class I, NF-kB, TNF-R1, TNF-alpha, JAK2, IL-12 receptor, IL-18, T-bet, c-Jun, Leukocyte elastase, CXCL16, Leptin receptor, KLRK1 (NKG2D), CXCR3, CD69, CX3CL1, MICA, CD8, ATF-2, MMP-9",3.342E-06,2.251E-05,29,"MIG, IL-18R1, IP10, CCL2, Tyk2, Antileukoproteinase 1, IFN-gamma, Cathepsin S, IL-15, STAT4, MHC class I, NF-kB, TNF-R1, TNF-alpha, JAK2, IL-12 receptor, IL-18, T-bet, Leukocyte elastase, CXCL16, Leptin receptor, KLRK1 (NKG2D), CD69, STAT3, CX3CL1, MICA, CD8, ATF-2, MMP-9",
303,Release of pro-inflammatory factors and proteases by alveolar macrophages in asthma,44,3.342E-06,2.251E-05,1.007E-03,2.344E-03,26,"GRO-2, IP10, CCL2, IRF1, STAT1, IL-1 beta, GRO-1, Endothelin-1, NF-kB p65/c-Rel, GM-CSF, IL-6, NF-kB, IL-23, NF-kB p50/p65, Stromelysin-1, TNF-alpha, iNOS, IL-8, TRAF6, CXCL16, IFN-gamma receptor, TIMP1, TLR4, ADAM17, MMP-9, TLR2",3.342E-06,2.251E-05,29,"GRO-2, MIG, IP10, CCL2, IFN-gamma, IL-17, IRF1, STAT1, IL-1 beta, GRO-1, Endothelin-1, NF-kB p65/c-Rel, GM-CSF, IL-6, NF-kB, IL-23, NF-kB p50/p65, Stromelysin-1, TNF-alpha, iNOS, IL-8, TRAF6, CXCL16, IFN-gamma receptor, TIMP1, TLR4, ADAM17, MMP-9, TLR2",
304,Role of neurotrophins in activation of p53 in major depressive disorder,39,3.395E-06,2.099E-05,3.395E-06,2.099E-05,28,"NGFR(TNFRSF16), TrkA, Apaf-1, NT-4/5, Rac1, Plasminogen, Shc, Bax, PI3K reg class IA, PLAT (TPA), NRIF, CDC42, NT-3, PI3K cat class IA, TrkC, ASK1 (MAP3K5), Sortilin, Plasmin, SOS, Caspase-9, TrkB, MKK7 (MAP2K7), NGF, MEKK1(MAP3K1), JNK(MAPK8-10), p53, BDNF, PAI1",8.716E-03,1.548E-02,20,"NGFR(TNFRSF16), Apaf-1, NT-4/5, Shc, Bax, PI3K reg class IA, PLAT (TPA), NRIF, CDC42, PI3K cat class IA, ASK1 (MAP3K5), Sortilin, SOS, Caspase-9, TrkB, NGF, JNK(MAPK8-10), p53, BDNF, PAI1",
305,Apoptosis and survival_APRIL and BAFF signaling,39,3.395E-06,2.099E-05,3.395E-06,2.099E-05,28,"Calcineurin A (catalytic), NF-AT1(NFATC2), IL-10, BFL1, NF-kB p50/p50, I-kB, NF-kB2 (p100), IKK-alpha, BCMA(TNFRSF17), Cyclophilin B, NF-kB p50/p65, NF-AT2(NFATC1), BAFF(TNFSF13B), RelA (p65 NF-kB subunit), APRIL(TNFSF13), TRAF3, NF-kB1 (p50), NF-kB2 (p52), BAFF-R, TRAF6, RelB (NF-kB subunit), NIK(MAP3K14), CD21, MEK4(MAP2K4), COX-2 (PTGS2), MEKK1(MAP3K1), TACI(TNFRSF13B), JNK(MAPK8-10)",3.261E-05,1.482E-04,25,"Calcineurin A (catalytic), IL-10, BFL1, NF-kB p50/p50, I-kB, NF-kB2 (p100), BCMA(TNFRSF17), Cyclophilin B, NF-kB p50/p65, NF-AT2(NFATC1), BAFF(TNFSF13B), RelA (p65 NF-kB subunit), APRIL(TNFSF13), TRAF3, NF-kB1 (p50), NF-kB2 (p52), BAFF-R, TRAF6, RelB (NF-kB subunit), NIK(MAP3K14), CD21, MEK4(MAP2K4), COX-2 (PTGS2), TACI(TNFRSF13B), JNK(MAPK8-10)",
306,"Immune response_IL-2 signaling via ERK, PI3K, and PLC-gamma",73,3.462E-06,2.131E-05,3.462E-06,2.131E-05,45,"Cyclin D3, JAK1, IRS-2, STAM1, IRS-1, RPS6, ERK1/2, CrkL, Rac1, CDK1 (p34), Syk, Cyclin D2, Shc, PI3K reg class IA (p85), PKC-theta, CDK4, PLC-gamma 1, DGK-alpha, MEK1/2, Fyn, NF-kB, ERK2 (MAPK1), AKT(PKB), c-Myc, IL-2R alpha chain, IL-2, GAB2, PI3K cat class IA, Lck, c-Cbl, Lyn, c-Jun, SOS1, JAK3, CDK2, 4E-BP1, Cyclin E, SHP-2, FOXO3A, IL-2R gamma chain, Cyclin A, ALPHA-PIX, Bim, Elk-1, mTOR",2.460E-04,7.445E-04,38,"JAK1, IRS-2, STAM1, RPS6, ERK1/2, CrkL, c-Raf-1, CDK1 (p34), Syk, Cyclin D2, Shc, PI3K reg class IA (p85), PKC-theta, CDK4, PLC-gamma 1, DGK-alpha, MEK1/2, Fyn, NF-kB, ERK2 (MAPK1), AKT(PKB), IL-2, GAB2, PI3K cat class IA, Lck, c-Cbl, Lyn, SOS1, JAK3, CDK2, STAT3, Cyclin E, IL-2R gamma chain, Cyclin A, ALPHA-PIX, Bim, Elk-1, mTOR",
307,Development_TGF-beta family mediated differentiation of embryonic stem cells,42,3.516E-06,2.317E-05,3.141E-05,1.260E-04,28,"TGF-beta 1, SOX1, Oct-3/4, Neurogenin 2, BMP4, CRIPTO, GBX2, VEGFR-2, SMAD4, SMAD2, HNF3-beta, PAX6, ActRIIA, Mixl1, Nestin, TAZ, Lefty-2, CXCR4, Activin A, NODAL, TGF-beta receptor type II, SOX17, T brachyury protein, Noggin, ActRIIB, HOXA1, SMAD3, TGF-beta receptor type I",3.516E-06,2.317E-05,28,"TGF-beta 1, SOX1, Oct-3/4, Neurogenin 2, BMP4, CRIPTO, GBX2, VEGFR-2, SMAD4, SMAD2, HNF3-beta, PAX6, ActRIIA, Mixl1, AFP, Nestin, TAZ, Lefty-2, CXCR4, Activin A, NODAL, TGF-beta receptor type II, SOX17, Noggin, ActRIIB, HOXA1, SMAD3, TGF-beta receptor type I",
308,Signal transduction_Angiotensin II/ AGTR1 signaling via TGF-beta 1 and SMADs,42,3.516E-06,2.317E-05,7.921E-06,4.221E-05,29,"COL1A1, TGF-beta 1, NOX4, ERK1/2, SMAD4, Angiotensin II, SPRY1, SMAD2, IL-1 beta, GSK3 beta, NF-kB, AKT(PKB), OSF-2, Caspase-1, TAK1(MAP3K7), SMAD7, TGF-beta receptor type II, SMURF2, TRAF6, Thrombospondin 1, AP-1, JNK(MAPK8-10), SMAD3, CTGF, HNF4-alpha, p38 MAPK, PAI1, TGF-beta receptor type I, NALP3",3.516E-06,2.317E-05,28,"COL1A1, TGF-beta 1, NOX4, ERK1/2, SMAD4, Angiotensin II, SPRY1, SMAD2, IL-1 beta, GSK3 beta, NF-kB, AKT(PKB), OSF-2, Caspase-1, TAK1(MAP3K7), SMAD7, TGF-beta receptor type II, SMURF2, TRAF6, Thrombospondin 1, JNK(MAPK8-10), SMAD3, CTGF, HNF4-alpha, p38 MAPK, PAI1, TGF-beta receptor type I, NALP3",
309,Role of adipose tissue hypoxia in obesity and type 2 diabetes,30,3.518E-06,2.317E-05,1.070E-04,3.526E-04,21,"TGF-beta 1, CCL2, VEGF-A, IBP3, IL-1 beta, IL-6, MIF, MCT1 (SLC16A1), PBEF, DEC1 (Stra13), PPAR-gamma, TNF-alpha, Heme oxygenase 1, RelA (p65 NF-kB subunit), Lysyl oxidase, HIF1A, Angiopoietin 1, FATP1, EPAS1, MMP-9, PAI1",3.518E-06,2.317E-05,22,"PDK1, TGF-beta 1, CCL2, VEGF-A, IBP3, IL-1 beta, IL-6, MIF, MCT1 (SLC16A1), PBEF, DEC1 (Stra13), PPAR-gamma, TNF-alpha, Heme oxygenase 1, RelA (p65 NF-kB subunit), Lysyl oxidase, HIF1A, Angiopoietin 1, FATP1, EPAS1, MMP-9, PAI1",
310,Immune response _CCR3 signaling in eosinophils,77,3.584E-06,2.340E-05,2.486E-05,1.097E-04,45,"gp91-phox, PKC-zeta, Rac2, PI3K cat class IB (p110-gamma), p47-phox, Rac1, IP3 receptor, MLCP (reg), Profilin, DIA1, CCL8, cPLA2, MEK2(MAP2K2), G-protein beta/gamma, Actin cytoskeletal, ERK2 (MAPK1), Eotaxin, c-Src, MLCK, MLCP (cat), Profilin I, RhoA, Tiam1, iNOS, Eotaxin-2, ROCK2, Cytochrome b-558, p22-phox, G-protein alpha-i family, FGR, Eotaxin-3, Myosin II, MyHC, MEK4(MAP2K4), CCL7, ROCK, Calmodulin, MEKK1(MAP3K1), PKC-alpha, MRLC, MELC, PI3K reg class IB (p101), p38 MAPK, Cofilin, PLC-beta2",3.584E-06,2.340E-05,44,"gp91-phox, c-Raf-1, Rac2, PI3K cat class IB (p110-gamma), p47-phox, IP3 receptor, MLCP (reg), Profilin, DIA1, CCL8, cPLA2, MEK2(MAP2K2), G-protein beta/gamma, Actin cytoskeletal, ERK2 (MAPK1), Eotaxin, c-Src, MLCK, MLCP (cat), Profilin I, MEK1(MAP2K1), RhoA, Tiam1, iNOS, Eotaxin-2, ROCK2, Cytochrome b-558, p22-phox, G-protein alpha-i family, FGR, Eotaxin-3, Myosin II, p67-phox, MyHC, MEK4(MAP2K4), CCL7, ROCK, Calmodulin, PKC-alpha, MRLC, MELC, p38 MAPK, Cofilin, PLC-beta2",
311,Development_Stimulation of differentiation of mouse embryonic fibroblasts into adipocytes by extracellular factors,71,3.622E-06,2.203E-05,3.622E-06,2.203E-05,44,"CBP, BMP receptor 2, IRS-2, IRS-1, NGAL, ATF-1, ERK1/2, p90RSK2(RPS6KA3), PKA-reg (cAMP-dependent), SMAD4, GLUT4, Shc, EGR2 (Krox20), PI3K reg class IA (p85), HIVEP2, Prostacyclin receptor, FKHR, KLF15, Resistin, Adenylate cyclase, MEK2(MAP2K2), LIF, CREB1, ERK2 (MAPK1), PPAR-gamma, Lysyl oxidase, C/EBPbeta, XIAP, SOS, PPCKC, PI3K cat class IA (p110-alpha), ATF-2, SHP-2, TAB1, BMPR1A, AKT2, SMAD1, p38 MAPK, Elk-1, PKA-cat (cAMP-dependent), BMP2, LPL, mTOR, C/EBPdelta",1.149E-04,4.024E-04,38,"CBP, BMP receptor 2, IRS-2, NGAL, ATF-1, ERK1/2, p90RSK2(RPS6KA3), c-Raf-1, SMAD4, Shc, EGR2 (Krox20), PI3K reg class IA (p85), HIVEP2, FKHR, KLF15, Adenylate cyclase, MEK2(MAP2K2), LIF, CREB1, ERK2 (MAPK1), PPAR-gamma, MEK1(MAP2K1), A-FABP, Lysyl oxidase, C/EBPbeta, XIAP, SOS, PPCKC, PI3K cat class IA (p110-alpha), ATF-2, BMPR1A, p38 MAPK, Elk-1, PKA-cat (cAMP-dependent), BMP2, LPL, mTOR, C/EBPdelta",
312,Blood coagulation_GPCRs in platelet aggregation,71,3.622E-06,2.203E-05,3.622E-06,2.203E-05,44,"PREL1, PI3K cat class IA (p110-beta), LARG, HTR2A, ARHGEF1 (p115RhoGEF), PKA-reg (cAMP-dependent), LIMK1, G-protein alpha-i2, PI3K cat class IB (p110-gamma), IP3 receptor, Talin, RAP-1A, MLCP (reg), Prostacyclin receptor, Thrombin, alpha-IIb/beta-3 integrin, Adenylate cyclase, G-protein beta/gamma, Actin cytoskeletal, Syntaxin 4, MLCP (cat), RhoA, VAMP3, CALDAG-GEFI, ITGA2B, ITGB3, RAP-1B, G-protein alpha-i family, Myosin II, TBXA2R, NRIF3, ROCK, PKC-alpha, MRLC, P2Y1, G-protein alpha-q, PAR1, MELC, Fibrinogen (fibrin), PI3K reg class IB (p101), PLC-beta3, PKA-cat (cAMP-dependent), Cofilin, PLC-beta2",1.527E-03,3.429E-03,35,"PREL1, PI3K cat class IA (p110-beta), HTR2A, ARHGEF1 (p115RhoGEF), LIMK1, G-protein alpha-i2, PI3K cat class IB (p110-gamma), IP3 receptor, Talin, RAP-1A, MLCP (reg), alpha-IIb/beta-3 integrin, Adenylate cyclase, G-protein beta/gamma, Actin cytoskeletal, MLCP (cat), RhoA, VAMP3, ITGA2B, ITGB3, RAP-1B, G-protein alpha-i family, Myosin II, TBXA2R, NRIF3, ROCK, PKC-alpha, MRLC, P2Y1, PAR1, MELC, PLC-beta3, PKA-cat (cAMP-dependent), Cofilin, PLC-beta2",
313,Memory CD8+ T cells in allergic contact dermatitis,40,3.660E-06,2.346E-05,3.099E-05,1.260E-04,27,"IL-7 receptor, IL-7, alpha-4/beta-1 integrin, NF-AT1(NFATC2), ICAM1, IL-15, IL-1 beta, Eomesodermin, FKHR, PSGL-1, MHC class I, NF-kB, NF-kB p50/p65, TNF-R1, P-selectin, NF-AT2(NFATC1), IL-2, TNF-alpha, IL7RA, VCAM1, T-bet, CCL19, CCL27, AP-1, CD8, CCR10, CCR4",3.660E-06,2.346E-05,27,"IL-7 receptor, IL-7, CCL21, alpha-4/beta-1 integrin, ICAM1, IFN-gamma, IL-15, IL-1 beta, Eomesodermin, FKHR, PSGL-1, MHC class I, NF-kB, NF-kB p50/p65, TNF-R1, P-selectin, NF-AT2(NFATC1), IL-2, TNF-alpha, IL7RA, VCAM1, T-bet, CCL19, CCL27, CD8, CCR10, CCR4",
314,Pro-tumoral TNF-alpha signaling in melanoma,41,3.693E-06,2.228E-05,3.693E-06,2.228E-05,29,"Rictor, TNF-R2, alpha-4/beta-1 integrin, Fibronectin, TYRO, MMP-2, VEGF-B, MHC class I, NF-kB, AKT(PKB), NF-kB p50/p65, TNF-R1, TNF-alpha, ITGB1, PI3K cat class IA, VCAM1, IL-8, c-Jun, alpha-5/beta-1 integrin, Angiopoietin 2, MEK4(MAP2K4), RhoGDI beta, ITGA4, ITGA3, MEKK1(MAP3K1), Filamin-A (CTF), AKT2, JNK(MAPK8-10), MMP-9",1.089E-04,3.895E-04,25,"Rictor, TNF-R2, alpha-4/beta-1 integrin, Fibronectin, TYRO, MMP-2, VEGF-B, MHC class I, NF-kB, AKT(PKB), NF-kB p50/p65, TNF-R1, TNF-alpha, ITGB1, PI3K cat class IA, VCAM1, IL-8, alpha-5/beta-1 integrin, Angiopoietin 2, MEK4(MAP2K4), ITGA4, ITGA3, Filamin-A (CTF), JNK(MAPK8-10), MMP-9",
315,Cytoskeleton remodeling_Role of PKA in cytoskeleton reorganisation,41,3.693E-06,2.228E-05,3.693E-06,2.228E-05,29,"LBC, alpha-4/beta-1 integrin, PKA-reg (cAMP-dependent), LIMK1, Rac1, IP3 receptor, MLCP (reg), VASP, Adenylate cyclase, G-protein beta/gamma, CDC42, Actin cytoskeletal, Beta adducin, Fodrin (spectrin), MLCK, MLCP (cat), BETA-PIX, RhoA, F-Actin cytoskeleton, Alpha adducin, Paxillin, 14-3-3 beta/alpha, ROCK, Calmodulin, c-Abl, MELC, PLC-beta3, PKA-cat (cAMP-dependent), Cofilin",3.592E-04,1.017E-03,24,"LBC, alpha-4/beta-1 integrin, LIMK1, IP3 receptor, MLCP (reg), VASP, Adenylate cyclase, G-protein beta/gamma, CDC42, Actin cytoskeletal, Beta adducin, Fodrin (spectrin), MLCK, MLCP (cat), RhoA, F-Actin cytoskeleton, Alpha adducin, ROCK, Calmodulin, c-Abl, MELC, PLC-beta3, PKA-cat (cAMP-dependent), Cofilin",
316,Immunological synapse between dendritic and CD8+ T cells in allergic contact dermatitis,32,3.703E-06,2.346E-05,4.951E-06,2.827E-05,24,"OX40L(TNFSF4), PD-L2, NF-AT1(NFATC2), ICAM1, RANKL(TNFSF11), CD28, OX40(TNFRSF4), MHC class I, CTLA-4, NF-kB, ICOS, NF-AT2(NFATC1), IL-12 receptor, Lck, CD70(TNFSF7), CD137(TNFRSF9), LFA-3, RANK(TNFRSF11A), AP-1, CD8, PD-1, CD137 ligand(TNFSF9), CD86, PD-L1",3.703E-06,2.346E-05,23,"OX40L(TNFSF4), PD-L2, ICAM1, RANKL(TNFSF11), CD28, OX40(TNFRSF4), MHC class I, CTLA-4, NF-kB, NF-AT2(NFATC1), CD80, IL-12 receptor, Lck, CD70(TNFSF7), CD137(TNFRSF9), LFA-3, RANK(TNFRSF11A), CD8, CD2, PD-1, CD137 ligand(TNFSF9), CD86, PD-L1",
317,TNF-alpha-induced inflammatory signaling in normal and asthmatic airway epithelium,38,3.764E-06,2.364E-05,1.160E-04,3.688E-04,25,"IP10, ICAM1, CCL2, ERK1/2, IRF1, TSLP, FN14(TNFRSF12A), I-kB, GRO-1, GM-CSF, IL-13, IL-6, NF-kB, Eotaxin, NF-kB p50/p65, TNF-R1, TNF-alpha, IL-8, IL-5, c-Jun, PP2A catalytic, JNK1(MAPK8), MEKK1(MAP3K1), TWEAK(TNFSF12), p38 MAPK",3.764E-06,2.364E-05,26,"IP10, ICAM1, CCL2, IFN-gamma, ERK1/2, IL-17, c-Raf-1, IRF1, TSLP, FN14(TNFRSF12A), I-kB, GRO-1, GM-CSF, IL-6, NF-kB, Eotaxin, NF-kB p50/p65, TNF-R1, TNF-alpha, MEK1(MAP2K1), IL-8, IL-5, PP2A catalytic, JNK1(MAPK8), TWEAK(TNFSF12), p38 MAPK",
318,Transcription_Negative regulation of HIF1A function,69,3.778E-06,2.270E-05,3.778E-06,2.270E-05,43,"FHL3, p14ARF, Casein kinase I delta, MCM5, RUNX3, VHL, COMMD1 (MURR1), SART1, SKP1, UBXD7, Ubiquitin, GSK3 beta, MCM7, LAMP2, HSP40, MCM2, HSP90, Calpain 1(mu), HSP70, HSPA4, SAT2, EGLN1, RACK1, PLK3 (CNK), MCM3, DEC2, HSC70, PRDX2, HIF1A, ARD1, Sirtuin2, HSP90 beta, Cul1/Rbx1 E3 ligase, AML1 (RUNX1), HIF3A, FHL1 (SLIM1), FHL2, SSAT, Elongin C, HIF-prolyl hydroxylase, PRDX4, p53, CITED4",3.350E-04,9.521E-04,36,"FHL3, p14ARF, MCM5, RUNX3, VHL, SART1, SKP1, UBXD7, Ubiquitin, GSK3 beta, MCM7, LAMP2, MCM2, HSP90, Calpain 1(mu), HSP70, SAT2, EGLN1, RACK1, PLK3 (CNK), MCM3, DEC2, HIF1A, ARD1, Sirtuin2, HSP90 beta, Cul1/Rbx1 E3 ligase, AML1 (RUNX1), HIF3A, FHL1 (SLIM1), FHL2, SSAT, HIF-prolyl hydroxylase, PRDX4, p53, CITED4",
319,Immune response_IL-12-induced IFN-gamma production,36,3.814E-06,2.366E-05,1.161E-04,3.688E-04,24,"IL-18R1, Tyk2, GADD45 beta, I-kB, STAT4, NF-kB, MEKK4(MAP3K4), JAK2, IL-12 receptor, iNOS, IL-18, T-bet, TRAF6, MEK3(MAP2K3), c-Jun, NIK(MAP3K14), MEK4(MAP2K4), CD3, ATF-2, IRAK1, JNK(MAPK8-10), IL-12RB1, IL-12RB2, ERM",3.814E-06,2.366E-05,25,"p38alpha (MAPK14), IL-18R1, Tyk2, IFN-gamma, GADD45 beta, I-kB, STAT4, NF-kB, JAK2, IL-12 receptor, iNOS, IL-18, T-bet, TRAF6, MEK3(MAP2K3), NIK(MAP3K14), MEK4(MAP2K4), STAT3, CD3, ATF-2, IRAK1, JNK(MAPK8-10), IL-12RB1, IL-12RB2, ERM",
320,Role of cell adhesion in vaso-occlusion in Sickle cell disease,43,3.945E-06,2.342E-05,3.945E-06,2.342E-05,30,"GLG1, IL-1 alpha, alpha-4/beta-1 integrin, ICAM1, CD44, PKA-reg (cAMP-dependent), Fibronectin, PKC-epsilon, IL-1 beta, CD14, alpha-IIb/beta-3 integrin, PSGL-1, alpha-V/beta-3 integrin, GLPA, NF-kB p50/p65, JMJD6, P-selectin, TNF-alpha, ICAM4, VCAM1, CD45, ITGB2, IL-8, Fc gamma RII alpha, Thrombospondin 1, TfR1, CD3, iC3b, Fibrinogen (fibrin), PKA-cat (cAMP-dependent)",2.739E-05,1.272E-04,27,"GLG1, IL-1 alpha, alpha-4/beta-1 integrin, ICAM1, CD44, Fibronectin, PKC-epsilon, IL-1 beta, CD14, alpha-IIb/beta-3 integrin, PSGL-1, alpha-V/beta-3 integrin, GLPA, NF-kB p50/p65, JMJD6, P-selectin, TNF-alpha, VCAM1, CD45, ITGB2, IL-8, Fc gamma RII alpha, Thrombospondin 1, TfR1, CD3, iC3b, PKA-cat (cAMP-dependent)",
321,Development_Notch Signaling Pathway,43,3.945E-06,2.342E-05,3.945E-06,2.342E-05,30,"Core histone deacetylase I complex, NOTCH1 receptor, c-Rel (NF-kB subunit), CIR, SMRT, Jagged2, TLE, Ubiquitin, p63, p73, HDAC2, Radical fringe, PCAF, N-CoR, RBP-J kappa (CBF1), NOTCH1 (NICD), HEY1, MAML1, Manic fringe glycosyltransferase, p300, DLL4, SKIP (Ski-interacting protein), HES1, NOTCH1 precursor, HDAC1, SAP30, NOTCH1 (NEXT), Furin, Jagged1, ADAM17",9.718E-05,3.506E-04,26,"Core histone deacetylase I complex, NOTCH1 receptor, c-Rel (NF-kB subunit), CIR, SMRT, Jagged2, TLE, Ubiquitin, p63, p73, HDAC2, PCAF, N-CoR, RBP-J kappa (CBF1), NOTCH1 (NICD), Manic fringe glycosyltransferase, p300, SKIP (Ski-interacting protein), HES1, NOTCH1 precursor, HDAC1, SAP30, NOTCH1 (NEXT), Furin, Jagged1, ADAM17",
322,Development_NODAL signaling in early mesendoderm formation,23,4.103E-06,2.417E-05,4.103E-06,2.417E-05,19,"BMP4, CRIPTO, HDAC3, SMAD4, SMAD2, HNF3-beta, ActRIIA, Mixl1, CFC1, Lefty-2, PACE4, Cerberus, Lefty-1, NODAL, T brachyury protein, WNT3, ActRIIB, HDAC1, Furin",4.036E-05,1.744E-04,17,"BMP4, CRIPTO, HDAC3, SMAD4, SMAD2, HNF3-beta, ActRIIA, Mixl1, CFC1, Lefty-2, PACE4, Cerberus, NODAL, WNT3, ActRIIB, HDAC1, Furin",
323,DNA damage_Role of Brca1 and Brca2 in DNA repair,30,4.133E-06,2.425E-05,4.133E-06,2.425E-05,23,"NFBD1, Brca2, ATF-1, XPC, FANCL, Rad51, MSH6, p53BP1, MRN complex, FANCD2, Bard1, Nibrin, Brca1, MSH3, Rad50, DNA polymerase beta, ATR, PCNA, MRE11, MSH2, ATM, Brca1/Bard1, p53",1.315E-03,3.001E-03,18,"NFBD1, Brca2, ATF-1, FANCL, MSH6, p53BP1, FANCD2, Bard1, Chk2, Brca1, DNA polymerase beta, ATR, PCNA, MRE11, MSH2, ATM, Brca1/Bard1, p53",
324,Mechanisms of drug resistance in multiple myeloma,49,4.414E-06,2.550E-05,4.414E-06,2.550E-05,33,"NOTCH1 receptor, CD44, WNT3A, TCF7L2 (TCF4), ERK1/2, PKC-zeta, Beta-catenin, FZD4, MDR1, BAD, ABCC1, Bax, CKS1, FANCD2, IKK-alpha, GSK3 alpha/beta, IL-6, MEK1/2, NF-kB p50/p65, RBP-J kappa (CBF1), c-Src, c-Myc, Mcl-1, FANCE, IL-8, NF-kB p50/RelB, RHAMM, HAS1, HES1, NOXA, GCR Alpha, Jagged1, Frizzled",2.093E-04,6.600E-04,28,"NOTCH1 receptor, CD44, TCF7L2 (TCF4), ERK1/2, Beta-catenin, MDR1, ABCC1, Bax, CKS1, FANCD2, GSK3 alpha/beta, IL-6, MEK1/2, NF-kB p50/p65, RBP-J kappa (CBF1), c-Src, Mcl-1, FANCE, IL-8, NF-kB p50/RelB, STAT3, RHAMM, HAS1, HES1, NOXA, GCR Alpha, Jagged1, Frizzled",
325,Some pathways of EMT in cancer cells,51,4.481E-06,2.578E-05,4.481E-06,2.578E-05,34,"TGF-beta 1, JAK1, Lef-1, Beta-catenin, PDGF-R-alpha, STAT1, I-kB, Shc, GSK3 beta, PI3K reg class IA, Endothelin-1, IKK-alpha, TWIST1, AKT(PKB), PDGF receptor, TNF-R1, c-Src, Axin, TAK1(MAP3K7), PDGF-D, TNF-alpha, JAK2, PI3K cat class IA, RelA (p65 NF-kB subunit), EGFR, PDGF-A, SOS, 4E-BP1, TAB1, c-Abl, SNAIL1, EDNRA, mTOR, PDGF-R-beta",1.815E-05,9.198E-05,31,"TGF-beta 1, JAK1, Beta-catenin, PDGF-R-alpha, STAT1, I-kB, Shc, GSK3 beta, PI3K reg class IA, Endothelin-1, TWIST1, AKT(PKB), PDGF receptor, TNF-R1, c-Src, Axin, TAK1(MAP3K7), PDGF-D, TNF-alpha, JAK2, PI3K cat class IA, RelA (p65 NF-kB subunit), EGFR, PDGF-A, SOS, STAT3, c-Abl, SNAIL1, EDNRA, mTOR, PDGF-R-beta",
326,Regulation of VEGF expression in lung cancer,53,4.642E-06,2.832E-05,4.357E-04,1.120E-03,31,"IL-7 receptor, IL-7, JAK1, VHL, ERK1/2, PGE2R1, PTP4A3, VEGF-A, RhoC, IL-17 receptor, c-Kit, IL-1 beta, PI3K reg class IA (p85), PI3K reg class IA, alpha-V/beta-3 integrin, MMP-2, IL-6, NF-kB, AKT(PKB), HSP90, c-Src, RhoA, JAK2, PI3K cat class IA, HIF1A, c-Jun, COX-2 (PTGS2), ROCK, VEGF-C, EPAS1, mTOR",4.642E-06,2.832E-05,33,"IL-7 receptor, IL-7, JAK1, VHL, ERK1/2, PGE2R1, PTP4A3, VEGF-A, IL-17, IL-17 receptor, c-Kit, IL-1 beta, microRNA 126, PI3K reg class IA (p85), PI3K reg class IA, alpha-V/beta-3 integrin, MMP-2, IL-6, NF-kB, AKT(PKB), HSP90, c-Src, RhoA, JAK2, PI3K cat class IA, HIF1A, miR-126-3p, STAT3, COX-2 (PTGS2), ROCK, VEGF-C, EPAS1, mTOR",
