Enrichment analysis report,,,,,,,,,
Enrichment by Pathway Maps,,,,,down_genes_070120_genelist,,,,
#,Maps,Total,pValue,Min FDR,p-value,FDR,In Data,"Network Objects from
Active Data",
11,Vascular endothelial cell damage in SLE,63,3.825E-10,4.892E-08,3.825E-10,4.892E-08,24,"HGF, IL-1 beta, IL-1 alpha, PD-L2, VCAM1, iNOS, alpha-4/beta-1 integrin, IL-18, ICAM1, CCL2, IFN-alpha, IL-8, GM-CSF, IL-6, PD-1, alpha-5/beta-1 integrin, CSF1, Tissue factor, Caspase-1, Fibronectin, C3a, P-selectin, PD-L1, TNF-alpha",
12,TGF-beta 1-mediated induction of EMT in normal and asthmatic airway epithelium,44,2.150E-09,2.521E-07,2.150E-09,2.521E-07,19,"IL-1 beta, N-cadherin, CD44, Tenascin-C, ITGB3, ETS1, TGF-beta receptor type II, BMP4, SLUG, MMP-2, ACTA2, HMGA2, CTGF, TWIST1, Fibronectin, Jagged1, Vimentin, MMP-9, TNF-alpha",
13,Development_Positive regulation of WNT/Beta-catenin signaling at the receptor level,64,3.380E-09,3.658E-07,3.380E-09,3.658E-07,23,"Biglycan, R-spondin 1, TrkA, RECK, CD44, LGR6, Tenascin-C, Glypican-3, Tcf(Lef), WNT7A, SFRP2, WNT, EGFR, CRIPTO, FZD5, R-spondins, WLS, LGR5, SFRP1, Caveolin-1, GPR124, WNT5B, Frizzled",
14,TNF-alpha and IL-1 beta-mediated regulation of contraction and secretion of inflammatory factors in normal and asthmatic airway smooth muscle,65,4.787E-09,4.810E-07,4.787E-09,4.810E-07,23,"COX-2 (PTGS2), GRO-2, IL-1 beta, VCAM1, GRO-1, TRPC3, CCL2, PKC-alpha, CD38, IL-8, EGFR, GM-CSF, IL-6, PA24A, Eotaxin, AKT(PKB), PLA2, c-Src, GRO-3, MMP-9, PDGF-R-beta, CCL7, TNF-alpha",
15,Expression targets of Tissue factor signaling in cancer,22,6.111E-09,5.732E-07,6.111E-09,5.732E-07,13,"PTX3, ITGB1, GRO-1, GFPT2, IL-8, GM-CSF, Cyr61, PLAUR (uPAR), PAR1, CTGF, CSF1, Tissue factor, PLAU (UPA)",
16,Canonical WNT signaling pathway in colorectal cancer,66,6.722E-09,5.911E-07,6.722E-09,5.911E-07,23,"PI3K cat class IA, iNOS, I-FABP, CD44, FZD10, SFRP2, WNT, BMP4, SLUG, WNT2, Axin2, Matrilysin (MMP-7), SFRP1, Carbonic anhydrase II, HGF receptor (Met), FZD7, DACT3, Axin, SFRP5, TCF7 (TCF1), Frizzled, WNT1, WNT6",
17,TGF-beta signaling via SMADs in breast cancer,47,8.165E-09,6.757E-07,8.165E-09,6.757E-07,19,"TGF-beta 2, Cyclin A1, MMP-13, RUNX2, CD44, IL-8, ETS1, TGF-beta receptor type II, SLUG, CD44 soluble, Fascin, MMP-14, PTHrP, HMGA2, CTGF, TWIST1, FOXQ1 (HFH1), MMP-9, GLI-2",
18,Inter-cellular relations in COPD (general schema),30,9.031E-09,6.936E-07,9.031E-09,6.936E-07,15,"IL-1 beta, GRO-1, IP10, CCL2, I-TAC, IL-8, EGFR, GM-CSF, IL-6, TGF-beta, TGF-alpha, CTGF, MMP-9, Perforin, TNF-alpha",
19,Inflammatory mechanisms of pancreatic cancerogenesis,67,9.366E-09,6.936E-07,9.366E-09,6.936E-07,23,"COX-2 (PTGS2), IL-1 beta, TNF-R2, CCL20, IL-1 alpha, GRO-1, iNOS, ICAM1, CCL2, IL-8, EGFR, G-protein alpha-i family, TLR4, ENA-78, MMP-2, IL-32 (NK4), IL-6, Mucin 4, TGF-alpha, Angiotensin II, MMP-9, PLAU (UPA), TNF-alpha",
20,Development_TGF-beta-dependent induction of EMT via SMADs ,35,1.486E-08,9.956E-07,1.486E-08,9.956E-07,16,"HEY1, N-cadherin, TGF-beta 2, ETS1, TGF-beta receptor type II, SLUG, SIP1 (ZFHX1B), MMP-2, TGF-beta, HMGA2, TWIST1, Fibronectin, Jagged1, Vimentin, TCF8, Claudin-1",
21,Role of adhesion of SCLC cells in tumor progression,35,1.486E-08,9.956E-07,1.486E-08,9.956E-07,16,"N-cadherin, ITGB1, VCAM1, NCAM1, alpha-4/beta-1 integrin, ICAM1, Tenascin-C, MMP-14, MMP-2, alpha-5/beta-1 integrin, PTHrP, Caveolin-1, Collagen IV, Fibronectin, P-selectin, ACM3",
22,Immune response_CCL2 signaling,54,1.969E-08,1.246E-06,1.969E-08,1.246E-06,20,"IL-1 beta, IL-1 alpha, iNOS, alpha-4/beta-1 integrin, ICAM1, CCL2, PKC-alpha, ITGB3, ETS1, G-protein alpha-i family, MMP-14, MMP-2, IL-6, alpha-5/beta-1 integrin, Actin cytoskeletal, Caveolin-1, DARC, CDH19, PI3K cat class IA (p110-delta), TNF-alpha",
23,WNT signaling in HCC,40,2.037E-08,1.246E-06,2.037E-08,1.246E-06,17,"NOTUM, Prickle-1, p14ARF, Glypican-3, Tcf(Lef), SFRP2, WNT, EGFR, WNT3, LGR5, SFRP1, FZD7, Axin, SFRP5, Frizzled, WNT1, DACT1",
24,Beta-catenin-dependent transcription regulation in colorectal cancer,36,2.450E-08,1.379E-06,2.450E-08,1.379E-06,16,"COX-2 (PTGS2), LAMC2, LAMC2 (80kDa), CD44, Tenascin-C, IL-8, CDX2, CD44 soluble, Fascin, MMP-14, CD44 (EXT), PLAUR (uPAR), LAMC2 (100kDa), Claudin-1, PLAU (UPA), MDR1",
25,WNT signaling in gastric cancer,36,2.450E-08,1.379E-06,2.450E-08,1.379E-06,16,"CD44, DKK3, Tcf(Lef), WNT7A, SFRP2, WNT, WNT 8A, WNT2, WNT3, Matrilysin (MMP-7), WNT10A, SFRP1, Axin, Frizzled, WNT1, TNF-alpha",
26,Basophil migration in asthma,55,2.832E-08,1.487E-06,2.832E-08,1.487E-06,20,"FPRL1, Secretoneurin, VCAM1, Eotaxin-2, alpha-4/beta-1 integrin, ICAM1, CCL2, IL-8, G-protein alpha-i family, GM-CSF, IL-33, Eotaxin-3, PLAUR (uPAR), Eotaxin, Fibronectin, PI3K reg class IB (p101), P-selectin, MMP-9, PLAU (UPA), CCL7",
27,Release of pro-inflammatory mediators and elastolytic enzymes by alveolar macrophages in COPD,28,2.854E-08,1.487E-06,2.854E-08,1.487E-06,14,"CHI3L1, IL-1 beta, IP10, CCL2, IL-8, TLR4, GM-CSF, MMP-2, IL-6, Matrilysin (MMP-7), Cathepsin S, MMP-9, TLR2, TNF-alpha",
28,Immune response_IL-1 signaling pathway,82,3.298E-08,1.657E-06,3.298E-08,1.657E-06,25,"COX-2 (PTGS2), IL-1 beta, c-IAP2, PI3K cat class IA, IL-1 alpha, GRO-1, MMP-13, iNOS, RUNX2, IP10, ICAM1, CD44, CCL2, RANKL(TNFSF11), IL-8, GM-CSF, IL-6, FGF2, AKT(PKB), MYLK1, IFN-beta, MMP-9, PLAU (UPA), CCL7, TNF-alpha",
29,Multiple sclerosis (general schema),21,4.033E-08,1.957E-06,4.033E-08,1.957E-06,12,"NGF, VCAM1, ICAM1, LIF, CTLA-4, FGF2, FasL(TNFSF6), Apo-2L(TNFSF10), Fibronectin, Jagged1, IFN-beta, TNF-alpha",
30,Stromal-epithelial interaction in Prostate Cancer,42,4.905E-08,2.156E-06,4.905E-08,2.156E-06,17,"HGF, Keratin 17, TGF-beta 2, Tenascin-C, TGF-beta receptor type II, MMP-2, Versican, IL-6, ACTA2, FGF2, PDGF-R-alpha, HIC5, HGF receptor (Met), Fibronectin, Vimentin, MMP-9, PDGF-R-beta",
31,IL-1 signaling in melanoma,42,4.905E-08,2.156E-06,4.905E-08,2.156E-06,17,"COX-2 (PTGS2), GRO-2, IL-1 beta, IL-1 alpha, PD-L2, VCAM1, GRO-1, iNOS, alpha-4/beta-1 integrin, IL-18, ICAM1, CCL2, IL-8, IL-6, GRO-3, MMP-9, PD-L1",
32,Hedgehog signaling in gastric cancer,29,5.057E-08,2.156E-06,5.057E-08,2.156E-06,14,"N-cadherin, PTCH1, CDX2, BMP4, SLUG, SIP1 (ZFHX1B), MEF2C, GLI-1, SFRP1, HNF3-beta, EDNRA, TWIST2, GLI-2, PDGF-R-beta",
33,Bone metastases in Prostate Cancer,29,5.057E-08,2.156E-06,5.057E-08,2.156E-06,14,"Osteopontin, RUNX2, CCL2, RANKL(TNFSF11), WNT, G-protein alpha-i family, PTHrP, Osteoprotegerin, c-Src, MMP-9, Frizzled, EDNRA, RANK(TNFRSF11A), IBP3",
34,"Chemokines in inflammation in adipose tissue and liver in obesity, type 2 diabetes and metabolic syndrome X",48,8.069E-08,3.339E-06,8.069E-08,3.339E-06,18,"IL-1 beta, MHC class II, VCAM1, ITGA4, ICAM1, CD44, CCL2, CMKLR1, CD3, IL-8, TLR4, IL-6, PLAUR (uPAR), TIG2, EMR1, P-selectin, TLR2, TNF-alpha",
35,Stellate cells activation and liver fibrosis,70,1.199E-07,4.820E-06,1.199E-07,4.820E-06,22,"GRO-2, IL-1 beta, Biglycan, TNF-R2, PI3K cat class IA, PTCH1, ICAM1, CCL2, Tcf(Lef), TGF-beta receptor type II, MMP-2, ACTA2, IRAK1/2, COL1A2, GLI-1, PDGF-R-alpha, AKT(PKB), PDGF receptor, Frizzled, TLR2, PDGF-R-beta, TNF-alpha",
36,TGF-beta 1-induced transactivation of membrane receptors signaling in HCC,50,1.671E-07,6.532E-06,1.671E-07,6.532E-06,18,"ITGB1, PI3K cat class IA, Cyclin E, TGF-beta receptor type II, SLUG, Cyclin A, alpha-5/beta-1 integrin, TGF-beta, PDGF-R-alpha, AKT(PKB), PDGF receptor, ITGA5, Fibronectin, c-Src, Actin, Axin, Cofilin, PDGF-R-beta",
37,"Development_Hedgehog, BMP and Parathyroid hormone in osteogenesis",51,2.366E-07,8.996E-06,2.366E-07,8.996E-06,18,"EGR2 (Krox20), Osteopontin, B-Raf, RUNX2, PTCH1, BMP6, RANKL(TNFSF11), Adenylate cyclase, ALPL, SMAD9 (SMAD8), TAZ, PTHrP, GLI-1, Osteoprotegerin, G-protein alpha-q/11, DLX5, BMP2, GLI-2",
38,Signal transduction_WNT/Beta-catenin signaling in tissue homeostasis,42,3.302E-07,1.195E-05,3.302E-07,1.195E-05,16,"COX-2 (PTGS2), PPCKC, FGF18, iNOS, Tcf(Lef), IL-8, WNT, SLUG, MMP-2, Versican, NeuroD1, ACADL, MMP-9, TCF7 (TCF1), CDX1, Frizzled",
39,Influence of bone marrow cell environment on progression of multiple myeloma,52,3.313E-07,1.195E-05,3.313E-07,1.195E-05,18,"HGF, IL-1 beta, ITGB1, PI3K cat class IA, VCAM1, HAS1, alpha-4/beta-1 integrin, PTCH1, CD44, PKC-alpha, IL-6, alpha-5/beta-1 integrin, FGF2, CD21, HGF receptor (Met), Fibronectin, PI3K reg class IB (p101), TNF-alpha",
40,Development_Schema: FGF signaling in embryonic stem cell self-renewal and differentiation,47,3.404E-07,1.197E-05,3.404E-07,1.197E-05,17,"SOX1, NCAM1, PTCH1, Activin A, Gremlin, BMP4, SOX17, FGF1, Mixl1, WNT3, Nestin, FGF2, SPRY2, HNF4-alpha, HNF3-beta, BMP2, PAX6",
41,Cell adhesion_Tight junctions,38,4.480E-07,1.501E-05,4.480E-07,1.501E-05,15,"ITGB1, Claudin-18, Claudin-11, Actomyosin, F-Actin, Tcf(Lef), CDX2, Claudin-16, Myosin II, Claudin-14, Caveolin-1, Claudin-8, Claudin-1, Actin, CDX1",
42,Development_Neural stem cell lineage commitment (schema),38,4.480E-07,1.501E-05,4.480E-07,1.501E-05,15,"Myelin basic protein, MAP-1B, PTCH1, WNT7A, BMP4, S100B, MAP2, LIF, Nestin, MCT1 (SLC16A1), FZD9, PDGF-R-alpha, Vimentin, GLAST1/EAAT1, BMP2",
43,Immune response_HMGB1/RAGE signaling pathway,53,4.595E-07,1.504E-05,4.595E-07,1.504E-05,18,"IL-1 beta, Secretogranin 1, PI3K cat class IA, IL-1 alpha, VCAM1, iNOS, ICAM1, PLAT (TPA), IL-8, TLR4, MEF2C, IL-6, AKT(PKB), Tissue factor, c-Src, Secretogranin II, TLR2, TNF-alpha",
44,Development_WNT/Beta-catenin signaling in embryogenesis,43,4.818E-07,1.510E-05,4.818E-07,1.510E-05,16,"p14ARF, Oct-3/4, SP5, Tcf(Lef), WNT, CDX2, SOX17, LBH, p15, Mixl1, FGF8, p16INK4, En1, TCF7 (TCF1), CDX1, Frizzled",
45,Stimulation of TGF-beta signaling in lung cancer,48,4.829E-07,1.510E-05,4.829E-07,1.510E-05,17,"COX-2 (PTGS2), IL-1 beta, N-cadherin, TGF-beta 2, ITGB1, TGF-beta receptor type II, SLUG, IRAKM, MMP-2, ACTA2, TGF-beta, Fyn, AKT(PKB), Fibronectin, Vimentin, MMP-9, Tropomyosin-2",
46,TGF-beta-induced fibroblast/ myofibroblast migration and extracellular matrix production in asthmatic airways,64,4.970E-07,1.520E-05,4.970E-07,1.520E-05,20,"ITGA1, Biglycan, TGF-beta 2, ITGB1, PI3K cat class IA, COL4A1, MMP-13, Decorin, HAS1, Tenascin-C, TGF-beta receptor type II, MMP-2, COL1A2, AKT(PKB), COL5A1, Collagen IV, ITGA5, Fibronectin, MMP-9, Collagen III",
47,Disruption of epithelial layer restitution in asthma,34,5.876E-07,1.759E-05,5.876E-07,1.759E-05,14,"HGF, IL-1 beta, TGF-beta 2, ITGB1, IL-1 alpha, EGFR, PLAUR (uPAR), alpha-5/beta-1 integrin, HGF receptor (Met), Fibronectin, MMP-9, PLAU (UPA), EDNRA, TNF-alpha",
48,Renal tubulointerstitial injury in Lupus Nephritis ,65,6.572E-07,1.926E-05,6.572E-07,1.926E-05,20,"IL-1 beta, TNF-R2, MHC class II, VCAM1, alpha-4/beta-1 integrin, ICAM1, CD44, CCL2, CMKLR1, IFN-alpha, IL-8, GM-CSF, IL-6, CSF1, TIG2, Fibronectin, Vimentin, PLAU (UPA), TNF-alpha, Collagen III",
49,Development_WNT/Beta-catenin signaling in organogenesis,30,7.356E-07,1.990E-05,7.356E-07,1.990E-05,13,"PROX1, Oct-3/4, Tcf(Lef), IL-8, WNT, Neuropilin-1, FOXC2, LBH, PLA2G7, FGF8, En1, BMP2, Frizzled",
50,Cell adhesion_Gap junctions,30,7.356E-07,1.990E-05,7.356E-07,1.990E-05,13,"Tubulin beta, Connexin 37, PKC, Connexin 26, Connexin 32, Connexin 50, Connexin 36, Connexin 45, Caveolin-1, Connexin 46, c-Src, Actin, Connexin 31",
51,Regulation of IGF family activity in colorectal cancer,30,7.356E-07,1.990E-05,7.356E-07,1.990E-05,13,"COX-2 (PTGS2), IL-1 beta, Cystatin SN, IL-6, Matrilysin (MMP-7), PLAUR (uPAR), PCSK5, IBP6, c-Src, MMP-9, IBP, PLAU (UPA), IBP3",
52,Development_WNT/Beta-catenin signaling in cell differentiation,30,7.356E-07,1.990E-05,7.356E-07,1.990E-05,13,"BMP3, PROX1, FGF18, PAX8, Tcf(Lef), WNT, EMX2, SLUG, NeuroD1, TCF7 (TCF1), CDX1, BMP2, Frizzled",
53,Immune response_IL-17 signaling pathways,60,7.611E-07,2.021E-05,7.611E-07,2.021E-05,19,"COX-2 (PTGS2), IL-1 beta, PI3K cat class IA, CCL20, GRO-1, iNOS, GCP2, ICAM1, CCL2, RANKL(TNFSF11), IL-8, NGAL, IL-17F, GM-CSF, ENA-78, IL-6, AKT(PKB), MMP-9, CCL7",
54,Muscle contraction_GPCRs in the regulation of smooth muscle tone,83,7.833E-07,2.041E-05,7.833E-07,2.041E-05,23,"PGE2R2, Histamine H1 receptor, TRPC5, TRPC3, Adenosine A2b receptor, PKC-alpha, V1a receptor, NCX1, G-protein alpha-i family, Adenylate cyclase, MRLC, HTR2A, Telokin, Myosin II, Beta-2 adrenergic receptor, TRPC6, G-protein alpha-q/11, Angiotensin II, MELC, MyHC, MLCK, EDNRA, ACM3",
55,Interleukins-induced inflammatory response in asthmatic airway fibroblasts,35,8.979E-07,2.210E-05,8.979E-07,2.210E-05,14,"COX-2 (PTGS2), GRO-2, IL-1 beta, NGF, IL-1 alpha, VCAM1, GRO-1, ICAM1, CCL2, IL-8, GM-CSF, IL-33, IL-6, Eotaxin",
56,Development_Extraembryonic differentiation of embryonic stem cells,35,8.979E-07,2.210E-05,8.979E-07,2.210E-05,14,"HEY1, SOX1, NCAM1, HNF4, Transferrin, Gremlin, CGB3, BMP4, MAP2, SMAD9 (SMAD8), Nestin, ID4, BMP2, PAX6",
57,Cell adhesion_Plasmin signaling,35,8.979E-07,2.210E-05,8.979E-07,2.210E-05,14,"TGF-beta 2, PI3K cat class IA, MMP-13, TFPI-2, PLAT (TPA), C1 inhibitor, TGF-beta receptor type II, Neuroserpin, FGF2, Collagen IV, Plasma kallikrein, Fibronectin, PZP, PLAU (UPA)",
58,Role of fibroblasts in the sensitization phase of allergic contact dermatitis,22,9.109E-07,2.210E-05,9.109E-07,2.210E-05,11,"IL-1 beta, IL-1 alpha, Elastin, IL-8, MMP-2, IL-6, Collagen IV, Fibronectin, MMP-9, TNF-alpha, Collagen III",
59,IL-1 beta- and Endothelin-1-induced fibroblast/ myofibroblast migration and extracellular matrix production in asthmatic airways,40,9.785E-07,2.333E-05,9.785E-07,2.333E-05,15,"IL-1 beta, IL-1 alpha, COL4A1, Decorin, HAS1, CCL2, MMP-2, Versican, COL1A2, CTGF, PDGF-R-alpha, Fibronectin, EDNRA, PDGF-R-beta, Collagen III",
60,Airway smooth muscle contraction in asthma,56,1.160E-06,2.721E-05,1.160E-06,2.721E-05,18,"PGE2R2, Histamine H1 receptor, TRPC3, PKC-alpha, G-protein alpha-i family, Adenylate cyclase, MRLC, Telokin, PGF2aR, Myosin II, Beta-2 adrenergic receptor, TRPC6, CPI-17, G-protein alpha-q/11, MELC, MyHC, MLCK, ACM3",
61,Neurophysiological process_Receptor-mediated axon growth repulsion,46,1.386E-06,3.197E-05,1.386E-06,3.197E-05,16,"B-Raf, Plexin A2, Semaphorin 3A, EGFR, F-Actin cytoskeleton, Neuropilin-1, Actin cytoskeletal, Fyn, Ephrin-A receptors, CRMP2, c-Fes, Ephrin-A, c-Src, Pleiotrophin (OSF1), Ephrin-A receptor 2, Cofilin",
62,Eosinophil adhesion and transendothelial migration in asthma,68,1.462E-06,3.317E-05,1.462E-06,3.317E-05,20,"Osteopontin, VCAM1, PKC, Eotaxin-2, alpha-4/beta-1 integrin, ICAM1, CD44, GM-CSF, HTR2A, Eotaxin-3, PLAUR (uPAR), alpha-1/beta-1 integrin, Eotaxin, Collagen IV, Fibronectin, C3a, P-selectin, MMP-9, PLAU (UPA), CCL7",
63,Role of IL-8 in colorectal cancer,19,1.582E-06,3.532E-05,1.582E-06,3.532E-05,10,"HGF, IL-1 beta, PI3K cat class IA, ICAM1, CD44, IL-8, EGFR, MMP-2, HGF receptor (Met), TNF-alpha",
64,Immune response_IL-18 signaling,63,1.753E-06,3.807E-05,1.753E-06,3.807E-05,19,"COX-2 (PTGS2), IL-1 beta, IL-18R1, PI3K cat class IA, IL-1 alpha, VCAM1, iNOS, IL-18, ICAM1, CCL2, IL-8, IL18RAP, IL-6, FasL(TNFSF6), AKT(PKB), Fibronectin, c-Src, MMP-9, TNF-alpha",
65,Th2 cytokine- and TNF-alpha-induced profibrotic response in asthmatic airway fibroblasts/ myofibroblasts,52,1.759E-06,3.807E-05,1.759E-06,3.807E-05,17,"COX-2 (PTGS2), IL-1 beta, NGF, Biglycan, TrkA, Decorin, HAS1, Tenascin-C, ETS1, MMP-2, ACTA2, COL1A2, PDGF-R-alpha, AKT(PKB), MMP-9, TNF-alpha, Collagen III",
66,Development_MAG-dependent inhibition of neurite outgrowth,37,1.987E-06,4.236E-05,1.987E-06,4.236E-05,14,"NGF, NGFR (ICD), NGFR(TNFRSF16), TrkA, NGFR (CTF), MRLC, Myosin II, Actin cytoskeletal, RASGRF1, TrkB, MELC, MyHC, Cofilin, NT-3",
67,Immune response_IFN-alpha/beta signaling via JAK/STAT,64,2.283E-06,4.794E-05,2.283E-06,4.794E-05,19,"IFI17, TAP1 (PSF1), GBP1, IFI27, IP10, ISG15, STAT4, CCL2, I-TAC, IFN-alpha, ISG54, RIG-G, STAT5, RSAD2, Apo-2L(TNFSF10), GBP4, ERAP140, IFN-beta, XAF1",
68,Immune response_Classical complement pathway,53,2.372E-06,4.837E-05,2.372E-06,4.837E-05,17,"C1r, C4a, C1 inhibitor, C6, CRP, C3, Factor I, C3b, C3c, C4b, C7, iC3b, C3dg, CD21, C3a, C4, C1s",
69,Chemotaxis_Inhibitory action of lipoxins on IL-8- and Leukotriene B4-induced neutrophil migration,53,2.372E-06,4.837E-05,2.372E-06,4.837E-05,17,"FPRL1, Actomyosin, ITGB2, ICAM1, IL-8, G-protein alpha-i family, MRLC, Myosin II, Actin cytoskeletal, Rac2, AKT(PKB), MELC, MYLK1, PI3K reg class IB (p101), Actin, MLCK, Cofilin",
70,Endothelin-1- and TNF-alpha-induced inflammatory response in asthmatic airway fibroblasts,20,2.906E-06,5.840E-05,2.906E-06,5.840E-05,10,"COX-2 (PTGS2), IL-1 beta, NGF, TGF-beta 2, ICAM1, IL-33, ADAM33, IL-6, EDNRA, TNF-alpha",
71,NK cells in allergic contact dermatitis,34,4.035E-06,7.885E-05,4.035E-06,7.885E-05,13,"MHC class II, CCL20, NCAM1, IP10, ICAM1, CCL2, FasR(CD95), STAT5, HLA-DRA1, FasL(TNFSF6), KLRK1 (NKG2D), Perforin, TNF-alpha",
72,Development_Role of cell-cell and ECM-cell interactions in oligodendrocyte differentiation and myelination,34,4.035E-06,7.885E-05,4.035E-06,7.885E-05,13,"ITGB1, Myelin basic protein, Claudin-11, NGFR(TNFRSF16), Tetraspanin-2, NCAM1, Tenascin-R, Connexin 26, Connexin 32, Connexin 47, Connexin 30, Fyn, Connexin 45",
73,B-regulatory cells and tumor cells intercellular interaction,67,4.858E-06,9.363E-05,4.858E-06,9.363E-05,19,"FPRL1, IL-1 beta, TNF-R2, MCAM, EBI3, CCL2, TLR4, GM-CSF, IL-33, FasR(CD95), IL-6, PD-1, OX40(TNFRSF4), TLR7, FasL(TNFSF6), CD5, PD-L1, IL-12RB2, TNF-alpha",
74,"Signal transduction_Angiotensin II/ AGTR1 signaling via p38, ERK and PI3K",98,5.015E-06,9.435E-05,5.015E-06,9.435E-05,24,"Syk, COX-2 (PTGS2), Osteopontin, PI3K cat class IA, RECK, CCL2, WISP1, ETS1, cPLA2, EGFR, TLR4, MEF2C, MMP-14, MMP-2, CMYA3, PDGF-C, IL-6, PPARGC1 (PGC1-alpha), Fyn, AKT(PKB), Angiotensin II, OSF-2, c-Src, PDGF-R-beta",
75,Probable BMP4-mediated induction of EMT in airway epithelium,21,5.096E-06,9.435E-05,5.096E-06,9.435E-05,10,"N-cadherin, BMP4, SLUG, SIP1 (ZFHX1B), MMP-2, SMAD9 (SMAD8), TWIST1, COL5A1, TCF8, MMP-9",
