Enrichment analysis report,,,,,,,,,,,,,
Enrichment by Pathway Maps,,,,,up_genes_int_061520_genelist,,,,up_genes_rna_061620_genelist,,,,
#,Maps,Total,min(pValue),Min FDR,p-value,FDR,In Data,"Network Objects from
Active Data",p-value,FDR,In Data,"Network Objects from
Active Data",
37,Androgen receptor activation and downstream signaling in Prostate cancer,110,1.377E-02,3.557E-01,1.377E-02,3.557E-01,7,"Androgen receptor, PTEN, HNF3-alpha, N-Ras, FOLH1 (GCP2), PSCA, Clusterin",9.906E-02,7.672E-01,5,"Androgen receptor, HNF3-alpha, FOLH1 (GCP2), PSCA, Clusterin",
38,Estradiol metabolism,42,1.387E-02,3.655E-01,1.568E-02,3.655E-01,4,"SULT1A1, UGT2B11, UGT2B28, UGT2B17",1.387E-02,4.241E-01,4,"SULT1A1, UGT2B11, UGT2B28, UGT2B17",
39,PXR-mediated direct regulation of xenobiotic metabolizing enzymes / Human version,42,1.387E-02,3.655E-01,1.568E-02,3.655E-01,4,"S14 protein, CYP2A6, CYP2B6, OATP-A",1.387E-02,4.241E-01,4,"S14 protein, CYP2A6, CYP2B6, OATP-A",
40,Cytoskeleton remodeling_ESR1 action on cytoskeleton remodeling and cell migration,23,1.392E-02,3.655E-01,1.535E-02,3.655E-01,3,"ESR1 (nuclear), ESR1 (membrane), EBP50",1.392E-02,4.241E-01,3,"ESR1 (nuclear), ESR1 (membrane), EBP50",
41,Prostaglandins and leukotrienes-mediated induction of expression of mucins in normal and asthmatic epithelium ,43,1.503E-02,3.775E-01,1.698E-02,3.775E-01,4,"Mucin 5B, Mucin 2, Mucin 5AC, Adenylate cyclase",1.503E-02,4.274E-01,4,"Mucin 5B, Mucin 2, Mucin 5AC, Adenylate cyclase",
42,"POMC, alpha-MSH and AGRP in regulation of food intake and energy expenditure in obesity in hypothalamus",43,1.503E-02,3.775E-01,1.698E-02,3.775E-01,4,"PC2, Adenylate cyclase type IV, Adenylate cyclase type II, Thyroliberin",1.503E-02,4.274E-01,4,"PC2, Adenylate cyclase type IV, Adenylate cyclase type II, Thyroliberin",
43,Inhibition of GTPase prenylation by statins in asthma and COPD,42,1.568E-02,3.655E-01,1.568E-02,3.655E-01,4,"PTEN, RhoB, p27KIP1, Mucin 5AC",2.402E-01,8.219E-01,2,"RhoB, Mucin 5AC",
44,G-protein signaling_Regulation of Cyclic AMP levels by ACM,45,1.754E-02,4.024E-01,1.978E-02,4.024E-01,4,"Adenylate cyclase type IV, Adenylate cyclase type V, Adenylate cyclase type II, PDE1B",1.754E-02,4.825E-01,4,"Adenylate cyclase type IV, Adenylate cyclase type V, Adenylate cyclase type II, PDE1B",
45,Development_Ligand-independent activation of ESR1 and ESR2,44,1.835E-02,3.980E-01,1.835E-02,3.980E-01,4,"ESR1 (nuclear), TFF1, Adenylate cyclase type V, ErbB3",7.424E-02,7.539E-01,3,"ESR1 (nuclear), TFF1, Adenylate cyclase type V",
46,Ligand-independent activation of Androgen receptor in Prostate Cancer,67,1.915E-02,3.980E-01,1.915E-02,3.980E-01,5,"Androgen receptor, PP2A regulatory, N-Ras, Prolactin receptor, ErbB3",1.874E-01,8.219E-01,3,"Androgen receptor, PP2A regulatory, Prolactin receptor",
47,"Role of microRNAs in cell migration, survival and angiogenesis in colorectal cancer",67,1.915E-02,3.980E-01,1.915E-02,3.980E-01,5,"PTEN, RhoB, PDCD4, Bcl-2, Clusterin",6.204E-02,7.539E-01,4,"RhoB, PDCD4, Bcl-2, Clusterin",
48,Signal transduction_mTORC2 downstream signaling,68,2.029E-02,4.042E-01,2.029E-02,4.042E-01,5,"FASN, Tuberin, SLC12A1, p27KIP1, PREX1",4.495E-01,8.219E-01,2,"SLC12A1, PREX1",
49,Signal transduction_Adenosine A3 receptor signaling pathway,48,2.175E-02,4.046E-01,2.449E-02,4.046E-01,4,"PI3K reg class IB (p101), Rho GTPase, Adenylate cyclase, Bcl-2",2.175E-02,5.522E-01,4,"PI3K reg class IB (p101), Rho GTPase, Adenylate cyclase, Bcl-2",
50,Mitogenic action of ESR1 (membrane) in breast cancer,47,2.285E-02,4.046E-01,2.285E-02,4.046E-01,4,"ESR1 (nuclear), ESR1 (membrane), p27KIP1, ErbB3",2.817E-01,8.219E-01,2,"ESR1 (nuclear), ESR1 (membrane)",
51,Th1 and Th17 cells in an autoimmune mechanism of emphysema formation in smokers,28,2.374E-02,4.046E-01,2.610E-02,4.046E-01,3,"Alpha 1-antitrypsin, ROR-gamma, CCR5",2.374E-02,5.522E-01,3,"Alpha 1-antitrypsin, ROR-gamma, CCR5",
52,"Mechanism of Pioglitazone/Glimepiride and Rosiglitazone/Glimepiride cooperative action in Diabetes mellitus, Type 2",11,2.381E-02,4.046E-01,2.550E-02,4.046E-01,2,"Kir6.2, SUR1",2.381E-02,5.522E-01,2,"Kir6.2, SUR1",
53,Main genetic and epigenetic alterations in lung cancer,48,2.449E-02,4.046E-01,2.449E-02,4.046E-01,4,"IBP4, PTEN, IBP, Bcl-2",9.100E-02,7.672E-01,3,"IBP4, IBP, Bcl-2",
54,Apoptosis and survival_HTR1A signaling,50,2.488E-02,4.046E-01,2.798E-02,4.046E-01,4,"PI3K reg class IB (p101), PP2A regulatory, Adenylate cyclase, Bcl-2",2.488E-02,5.522E-01,4,"PI3K reg class IB (p101), PP2A regulatory, Adenylate cyclase, Bcl-2",
55,G-protein signaling_Rap1B regulation pathway,11,2.550E-02,4.046E-01,2.550E-02,4.046E-01,2,"Tuberin, Ca-ATPase3",2.196E-01,8.219E-01,1,Ca-ATPase3,
56,"Development_NCAM1-mediated neurite outgrowth, synapse assembly and neuronal survival",75,2.576E-02,4.046E-01,2.954E-02,4.046E-01,5,"Tau (MAPT), GFRalpha1, NR1, CACNA1H, DNAI1",2.576E-02,5.522E-01,5,"Tau (MAPT), GFRalpha1, NR1, CACNA1H, DNAI1",
57,Regulation of Beta-catenin activity  in melanoma,28,2.610E-02,4.046E-01,2.610E-02,4.046E-01,3,"N-Ras, NRCAM, Bcl-2",1.282E-01,7.672E-01,2,"NRCAM, Bcl-2",
58,Signal transduction_PKA signaling,51,2.654E-02,4.046E-01,2.982E-02,4.046E-01,4,"Androgen receptor, PP2A regulatory, PKI, Adenylate cyclase",2.654E-02,5.522E-01,4,"Androgen receptor, PP2A regulatory, PKI, Adenylate cyclase",
59,Inflammatory factors-induced expression of mucins in normal and asthmatic epithelium,51,2.654E-02,4.046E-01,2.982E-02,4.046E-01,4,"Mucin 5B, IL8RA, Mucin 2, Mucin 5AC",2.654E-02,5.522E-01,4,"Mucin 5B, IL8RA, Mucin 2, Mucin 5AC",
60,Nociception_Nociceptin receptor signaling,76,2.709E-02,4.046E-01,3.105E-02,4.046E-01,5,"TY3H, Kir3.1, AP-2, Adenylate cyclase, Adenylate cyclase type II",2.709E-02,5.522E-01,5,"TY3H, Kir3.1, AP-2, Adenylate cyclase, Adenylate cyclase type II",
61,Neurophysiological process_Leptin signaling in neurons,50,2.798E-02,4.046E-01,2.798E-02,4.046E-01,4,"Kir6.2, PTEN, TY3H, MaxiK alpha subunit",9.992E-02,7.672E-01,3,"Kir6.2, TY3H, MaxiK alpha subunit",
62,Survival pathways in Prostate Cancer,50,2.798E-02,4.046E-01,2.798E-02,4.046E-01,4,"Androgen receptor, PTEN, Tuberin, Bcl-2",3.065E-01,8.219E-01,2,"Androgen receptor, Bcl-2",
63,Signal transduction_Adenosine A2A receptor signaling pathway,52,2.826E-02,4.046E-01,3.174E-02,4.046E-01,4,"Kir6.2, ENPP1, SFK, Adenylate cyclase",2.826E-02,5.522E-01,4,"Kir6.2, ENPP1, SFK, Adenylate cyclase",
64,Neurophysiological process_Mu-type opioid receptor-mediated analgesia,30,2.848E-02,4.046E-01,3.128E-02,4.046E-01,3,"Adenylate cyclase type IV, Adenylate cyclase type V, Adenylate cyclase type II",2.848E-02,5.522E-01,3,"Adenylate cyclase type IV, Adenylate cyclase type V, Adenylate cyclase type II",
65,Development_WNT/Beta-catenin signaling in organogenesis,30,2.848E-02,4.046E-01,3.128E-02,4.046E-01,3,"MEPE, PROP1, FoxN1",2.848E-02,5.522E-01,3,"MEPE, PROP1, FoxN1",
66,Protein folding and maturation_POMC processing,30,2.848E-02,4.046E-01,3.128E-02,4.046E-01,3,"PC2, NAT-1, Carboxypeptidase H",2.848E-02,5.522E-01,3,"PC2, NAT-1, Carboxypeptidase H",
67,Development_Role of BMP signaling in embryonic stem cell neural differentiation,30,2.848E-02,4.046E-01,3.128E-02,4.046E-01,3,"SOX2, Chordin, SOX3",2.848E-02,5.522E-01,3,"SOX2, Chordin, SOX3",
68,Adiponectin in pathogenesis of type 2 diabetes,29,2.863E-02,4.046E-01,2.863E-02,4.046E-01,3,"Adiponectin, FASN, ACACB",1.357E-01,7.984E-01,2,"Adiponectin, ACACB",
69,EGFR family signaling in pancreatic cancer,75,2.954E-02,4.046E-01,2.954E-02,4.046E-01,5,"Tuberin, p27KIP1, N-Ras, Bcl-2, ErbB3",8.163E-01,8.471E-01,1,Bcl-2,
70,Anti-apoptotic action of ErbB2 in breast cancer,51,2.982E-02,4.046E-01,2.982E-02,4.046E-01,4,"Tuberin, p27KIP1, Bcl-2, ErbB3",6.838E-01,8.219E-01,1,Bcl-2,
71,Putative pathways of n-3 and n-6 fatty acids in obesity and type 2 diabetes,51,2.982E-02,4.046E-01,2.982E-02,4.046E-01,4,"Adiponectin, FASN, GPR120, Adenylate cyclase",1.045E-01,7.672E-01,3,"Adiponectin, GPR120, Adenylate cyclase",
72,Regulation of angiogenesis in prostate cancer,51,2.982E-02,4.046E-01,2.982E-02,4.046E-01,4,"Androgen receptor, IL8RA, Tuberin, FOLH1 (GCP2)",1.045E-01,7.672E-01,3,"Androgen receptor, IL8RA, FOLH1 (GCP2)",
73,Aryl hydrocarbon receptor signaling,53,3.005E-02,4.243E-01,3.373E-02,4.243E-01,4,"ESR1 (nuclear), TGM3, TY3H, H-cadherin",3.005E-02,5.697E-01,4,"ESR1 (nuclear), TGM3, TY3H, H-cadherin",
74,Role of adipose tissue hypoxia in obesity and type 2 diabetes,30,3.128E-02,4.046E-01,3.128E-02,4.046E-01,3,"Adiponectin, PDK1, C/EBPalpha",1.434E-01,8.057E-01,2,"Adiponectin, C/EBPalpha",
75,Stem cells_mGluR3 signaling in glioblastoma stem cells,52,3.174E-02,4.046E-01,3.174E-02,4.046E-01,4,"PTEN, SLC1A2/EAAT2, PI3K reg class IB (p101), Adenylate cyclase",1.092E-01,7.672E-01,3,"SLC1A2/EAAT2, PI3K reg class IB (p101), Adenylate cyclase",
76,Androstenedione and testosterone biosynthesis and metabolism p.2,32,3.369E-02,4.472E-01,3.696E-02,4.472E-01,3,"UGT2B28, UGT2B17, UGT2B15",3.369E-02,6.115E-01,3,"UGT2B28, UGT2B17, UGT2B15",
77,Role of ER stress in obesity and type 2 diabetes,54,3.579E-02,4.444E-01,3.579E-02,4.444E-01,4,"Adiponectin, FASN, XBP1, C/EBPalpha",1.187E-01,7.672E-01,3,"Adiponectin, XBP1, C/EBPalpha",
78,Prolactin signaling in Prostate Cancer,33,3.647E-02,4.497E-01,3.998E-02,4.497E-01,3,"Androgen receptor, PIP, Prolactin receptor",3.647E-02,6.221E-01,3,"Androgen receptor, PIP, Prolactin receptor",
79,Cytoskeleton remodeling_Thyroliberin in cytoskeleton remodeling,33,3.647E-02,4.497E-01,3.998E-02,4.497E-01,3,"Adenylate cyclase, Tau (MAPT), Thyroliberin",3.647E-02,6.221E-01,3,"Adenylate cyclase, Tau (MAPT), Thyroliberin",
80,Role of GSK3 beta in cardioprotection against myocardial infarction,33,3.647E-02,4.497E-01,3.998E-02,4.497E-01,3,"Kir6.2, RAMP3, BDKRB2",3.647E-02,6.221E-01,3,"Kir6.2, RAMP3, BDKRB2",
81,Development_Fetal brown fat cell differentiation,55,3.792E-02,4.497E-01,3.792E-02,4.497E-01,4,"FASN, Adenylate cyclase, C/EBPalpha, Prolactin receptor",1.236E-01,7.672E-01,3,"Adenylate cyclase, C/EBPalpha, Prolactin receptor",
82,G-protein signaling_G-Protein beta/gamma signaling cascades,34,3.936E-02,4.739E-01,4.312E-02,4.739E-01,3,"PI3K reg class IB (p101), Adenylate cyclase type V, Adenylate cyclase type II",3.936E-02,6.339E-01,3,"PI3K reg class IB (p101), Adenylate cyclase type V, Adenylate cyclase type II",
83,IL-2 as a growth factor for T cells in multiple sclerosis,33,3.998E-02,4.497E-01,3.998E-02,4.497E-01,3,"Tuberin, p27KIP1, Bcl-2",5.250E-01,8.219E-01,1,Bcl-2,
84,Development_EGF-induced proliferation of Type C cells in SVZ of adult brain,33,3.998E-02,4.497E-01,3.998E-02,4.497E-01,3,"SOX2, p27KIP1, Prolactin receptor",1.669E-01,8.180E-01,2,"SOX2, Prolactin receptor",
85,Transcription_Role of VDR in regulation of genes involved in osteoporosis,59,4.218E-02,4.848E-01,4.716E-02,4.848E-01,4,"PTHR1, Androgen receptor, CG alpha, Calcitonin receptor",4.218E-02,6.339E-01,4,"PTHR1, Androgen receptor, CG alpha, Calcitonin receptor",
86,Production and activation of TGF-beta in airway smooth muscle cells,35,4.236E-02,4.820E-01,4.639E-02,4.820E-01,3,"Tryptase, TGF-beta 3, TGF-beta",4.236E-02,6.339E-01,3,"Tryptase, TGF-beta 3, TGF-beta",
87,Th2-cytokines induced expression of Mucin 5AC and maintenance of mucous cell phenotype in normal airway epithelium,35,4.236E-02,4.820E-01,4.639E-02,4.820E-01,3,"HAG-2, Mucin 5AC, PDEF",4.236E-02,6.339E-01,3,"HAG-2, Mucin 5AC, PDEF",
88,Development_Epigenetic and transcriptional regulation of oligodendrocyte precursor cell differentiation and myelination,34,4.312E-02,4.739E-01,4.312E-02,4.739E-01,3,"Nkx2.2, p27KIP1, MYT1",1.748E-01,8.219E-01,2,"Nkx2.2, MYT1",
89,Th17 cytokines in COPD,36,4.548E-02,4.956E-01,4.977E-02,4.956E-01,3,"Mucin 5B, ROR-gamma, Mucin 5AC",4.548E-02,6.688E-01,3,"Mucin 5B, ROR-gamma, Mucin 5AC",
90,HSP22 and BAG-3-dependend macroautophagy in Huntington's disease,15,4.582E-02,4.820E-01,4.582E-02,4.820E-01,2,"HSP22, Beclin 1",2.869E-01,8.219E-01,1,HSP22,
91,G-protein signaling_S1P2 receptor signaling pathway,35,4.639E-02,4.820E-01,4.639E-02,4.820E-01,3,"PTEN, PI3K reg class IB (p101), Adenylate cyclase",1.829E-01,8.219E-01,2,"PI3K reg class IB (p101), Adenylate cyclase",
92,Glucose-excited neurons of arcuate nucleus in obesity (rodent model),35,4.639E-02,4.820E-01,4.639E-02,4.820E-01,3,"Kir6.2, Tuberin, SUR1",1.829E-01,8.219E-01,2,"Kir6.2, SUR1",
93,Immune response_IL-9 signaling pathway,61,4.675E-02,5.146E-01,5.221E-02,5.146E-01,4,"Mucin 2, Mucin 5AC, CISH, Bcl-2",4.675E-02,6.758E-01,4,"Mucin 2, Mucin 5AC, CISH, Bcl-2",
94,Regulation of CFTR activity (normal and CF),62,4.913E-02,5.243E-01,5.484E-02,5.243E-01,4,"PDZK1, EBP50, PP2A regulatory, Adenylate cyclase",4.913E-02,6.870E-01,4,"PDZK1, EBP50, PP2A regulatory, Adenylate cyclase",
95,Regulation of intrinsic membrane properties and excitability of striatonigral medium spiny neurons in Huntington's disease,62,4.913E-02,5.243E-01,5.484E-02,5.243E-01,4,"MaxiK alpha subunit, Adenylate cyclase type V, PDE1B, CACNA1D",4.913E-02,6.870E-01,4,"MaxiK alpha subunit, Adenylate cyclase type V, PDE1B, CACNA1D",
96,Signal transduction_mTORC1 downstream signaling,60,4.965E-02,4.956E-01,4.965E-02,4.956E-01,4,"PDK1, p27KIP1, PDCD4, HMGCS2",3.876E-01,8.219E-01,2,"PDCD4, HMGCS2",
97,IGF family signaling in colorectal cancer,60,4.965E-02,4.956E-01,4.965E-02,4.956E-01,4,"PTEN, IBP, C/EBPalpha, Clusterin",1.492E-01,8.057E-01,3,"IBP, C/EBPalpha, Clusterin",
98,Signal transduction_Cyclic AMP signaling,38,5.204E-02,5.279E-01,5.688E-02,5.279E-01,3,"Adenylate cyclase type IV, Adenylate cyclase type V, Adenylate cyclase type II",5.204E-02,6.935E-01,3,"Adenylate cyclase type IV, Adenylate cyclase type V, Adenylate cyclase type II",
99,Defective efferocytosis in COPD,38,5.204E-02,5.279E-01,5.688E-02,5.279E-01,3,"SP-D, CX3CR1, ELMO1",5.204E-02,6.935E-01,3,"SP-D, CX3CR1, ELMO1",
