"","Ontology","Term","Description","CP_count","CP_p","CP_p_BH","DAVID_count","DAVID_p","DAVID_p_BH","rppa_count_DAVID","rppa_count_CP","rna_count_DAVID","rna_count_CP"
"33","BP","GO:0022407","regulation of cell-cell adhesion",63,1.97173900719146e-09,2.24190920307046e-07,61,8.12391628349461e-08,3.07645415742464e-06,0,2,61,61
"34","BP","GO:0001819","positive regulation of cytokine production",59,4.95683038656175e-06,0.000137250267283865,61,1.08514868505192e-07,3.9612738763628e-06,1,0,60,59
"35","BP","GO:0048608","reproductive structure development",63,2.64171493564422e-08,1.6415493739631e-06,61,1.31453753129156e-06,3.61112773121786e-05,2,0,59,63
"36","BP","GO:0061458","reproductive system development",63,3.49275105865017e-08,2.0972204109468e-06,61,1.97782007409948e-06,5.23785946334732e-05,0,1,61,62
"37","BP","GO:0061564","axon development",62,2.97426643874783e-07,1.29223413403808e-05,61,1.21829712687981e-05,0.000263952860410477,1,3,60,59
"38","BP","GO:0010817","regulation of hormone levels",65,3.8201810265478e-06,0.000111325889322573,60,0.00013375986160932,0.00227485065972854,0,2,60,63
"39","BP","GO:0090066","regulation of anatomical structure size",50,0.00126614749388317,0.0105888766937585,60,0.000267168313961733,0.004092778355272,1,1,59,49
"40","BP","GO:1904951","positive regulation of establishment of protein localization",46,0.00747451427794853,0.0415216260928866,60,0.00135700677547469,0.0166606447363198,0,2,60,44
"41","BP","GO:0050678","regulation of epithelial cell proliferation",61,3.07438118112266e-10,5.13421657247484e-08,59,3.51343099972004e-11,2.51972287479418e-09,1,1,58,60
"42","BP","GO:0007517","muscle organ development",65,7.77306083950468e-10,1.15386769795314e-07,59,1.14958421604091e-07,4.10405810635783e-06,1,1,58,64
"43","BP","GO:0007409","axonogenesis",57,5.10779131323484e-07,2.08366692961275e-05,59,5.78559924317947e-06,0.000138299084472715,0,1,59,56
"44","BP","GO:0010975","regulation of neuron projection development",59,1.51555986381361e-05,0.000338876649046859,59,6.74062093193779e-06,0.000157411748202829,0,2,59,57
"45","BP","GO:0051346","negative regulation of hydrolase activity",52,0.000100350063355937,0.00150215893158019,58,5.10938134553626e-06,0.000124710693473307,0,1,58,51
"46","CC","GO:0098552","side of membrane",53,3.09868934204448e-07,1.41976311671856e-05,58,4.57907429024196e-05,0.00107626608330624,2,3,56,50
"47","BP","GO:0061448","connective tissue development",53,4.05104647430089e-13,3.60813205977732e-10,57,1.36678332493681e-14,1.45616851909836e-12,1,1,56,52
"48","BP","GO:0032496","response to lipopolysaccharide",54,1.33821673668488e-10,2.64867786697925e-08,57,3.12169101656325e-10,1.91652886893934e-08,2,0,55,54
"49","BP","GO:0001667","ameboidal-type cell migration",69,2.55029251593968e-10,4.54292106839388e-08,56,7.4559509896917e-09,3.49265990240433e-07,1,2,55,67
"50","BP","GO:1903706","regulation of hemopoiesis",62,3.79740232752904e-06,0.000111325889322573,56,2.62748978488003e-08,1.09758586508413e-06,4,3,52,59
"51","BP","GO:0009991","response to extracellular stimulus",58,0.000210116575428133,0.00262351163338305,56,0.000139911362695718,0.00234976817686883,2,0,54,58
"52","BP","GO:0048562","embryonic organ morphogenesis",55,8.66815584050172e-12,2.57347915620229e-09,55,6.86923634845161e-10,3.9763064174636e-08,1,1,54,54
"53","BP","GO:0031589","cell-substrate adhesion",58,8.03670584184215e-11,1.81124542241847e-08,55,5.34606265270985e-09,2.56357909567129e-07,0,1,55,57
"54","BP","GO:0060537","muscle tissue development",61,8.33030074801243e-09,6.95580112459038e-07,55,2.80614240779346e-06,7.15100530338519e-05,0,1,55,60
"55","BP","GO:0050708","regulation of protein secretion",61,2.61809002824808e-06,8.18191409997528e-05,55,2.17853673716713e-05,0.000446863519897089,0,1,55,60
"56","BP","GO:0051222","positive regulation of protein transport",44,0.00387302263393027,0.0255208791069339,55,0.00104448104367049,0.0133527456378009,0,4,55,40
"57","BP","GO:0016055","Wnt signaling pathway",62,2.46387231356996e-05,0.000494997505402928,55,0.00193217717617695,0.022556144967668,2,1,53,61
"58","BP","GO:0198738","cell-cell signaling by wnt",62,2.79003588562528e-05,0.000550182722242859,55,0.00203396092342872,0.0235956102036529,0,4,55,58
"59","MF","GO:0005539","glycosaminoglycan binding",49,2.77979029518e-14,7.70439829678582e-12,54,6.83459417131829e-16,1.0458300891969e-12,3,1,51,48
"60","BP","GO:0002697","regulation of immune effector process",60,1.76706888089742e-06,5.97671905032646e-05,54,1.46596586526638e-07,5.12075768355214e-06,3,1,51,59
"61","BP","GO:0045088","regulation of innate immune response",59,2.95415291456129e-06,9.07560343530887e-05,54,2.56843124904614e-06,6.58667976887184e-05,0,1,54,58
"62","BP","GO:0003012","muscle system process",58,9.37761220000598e-06,0.000228830865738959,54,0.000105208183670102,0.00182414145327081,2,1,52,57
"63","BP","GO:0072001","renal system development",53,4.60931407886027e-10,7.46429528406948e-08,53,3.31844750160102e-09,1.62986039553559e-07,2,0,51,53
"64","BP","GO:1903037","regulation of leukocyte cell-cell adhesion",50,1.95174015216122e-08,1.3037624216437e-06,53,5.29613041474823e-08,2.05357884808244e-06,1,3,52,47
"65","BP","GO:0050867","positive regulation of cell activation",52,2.62423861027376e-08,1.6415493739631e-06,53,1.02384561704704e-07,3.75440259314797e-06,0,1,53,51
"66","BP","GO:0009615","response to virus",54,8.18962086184504e-09,6.94687839455554e-07,53,1.02384561704704e-07,3.75440259314797e-06,0,2,53,52
"67","BP","GO:0001654","eye development",56,6.9795215492729e-09,6.01589728376039e-07,53,5.31544078587252e-07,1.6378703731279e-05,2,2,51,54
"68","CC","GO:0098589","membrane region",55,1.40376920661119e-09,7.86110755702267e-08,53,3.31464967816872e-06,8.94916850144867e-05,0,2,53,53
"69","BP","GO:0050769","positive regulation of neurogenesis",62,1.07468273246698e-06,3.82873634820235e-05,53,5.19437748250345e-05,0.000978505333657953,2,0,51,62
"70","BP","GO:0031667","response to nutrient levels",53,0.000647076849990767,0.00645145277304228,52,0.000248981103881998,0.00386581762164562,2,0,50,53
"71","BP","GO:0051051","negative regulation of transport",60,8.06525629460438e-05,0.00130608271631412,52,0.00331110296744255,0.0355751020637274,0,0,52,60
"72","BP","GO:0042063","gliogenesis",58,6.87454520059766e-13,5.24822422171342e-10,51,7.33282482565341e-11,5.12286202347667e-09,0,1,51,57
"73","BP","GO:1901342","regulation of vasculature development",67,1.40015154659495e-10,2.67228923750122e-08,51,1.8782726059429e-10,1.23752236236285e-08,1,3,50,64
"74","BP","GO:0032103","positive regulation of response to external stimulus",54,1.57410876011276e-09,1.95628772419595e-07,51,2.89056522694396e-09,1.44599623275177e-07,3,3,48,51
"75","BP","GO:0008544","epidermis development",60,3.73908379180233e-06,0.000110395932504926,51,1.40750570365611e-07,5.00280635862271e-06,0,1,51,59
"76","BP","GO:0002696","positive regulation of leukocyte activation",50,4.81231685529278e-08,2.70705487101944e-06,51,2.42703017342508e-07,8.09406391488743e-06,0,2,51,48
"77","BP","GO:0003002","regionalization",49,4.24969665710052e-07,1.76049449112753e-05,51,2.14030768522945e-06,5.59502800238088e-05,2,3,49,46
"78","BP","GO:0014706","striated muscle tissue development",56,1.63514289797906e-07,7.73292358123903e-06,51,1.54698030344458e-05,0.000328135297134158,0,3,51,53
"79","BP","GO:0042326","negative regulation of phosphorylation",51,0.000996648341575861,0.00880345245848165,51,0.0020109295734643,0.0233982298530576,1,1,50,50
"80","BP","GO:1901652","response to peptide",57,0.000333642274614077,0.00378552933235165,51,0.00407561088952014,0.0422325234383778,4,0,47,57
"81","BP","GO:0001822","kidney development",50,1.89475581555227e-09,2.24190920307046e-07,50,1.07502143408076e-08,4.89436609685256e-07,3,1,47,49
"82","BP","GO:0050863","regulation of T cell activation",49,1.89470060022469e-07,8.7286896617248e-06,50,2.06509455710585e-07,7.03170974070133e-06,0,0,50,49
"83","BP","GO:0045861","negative regulation of proteolysis",42,0.000138147816270587,0.00191876427732604,50,2.11901560692247e-06,5.55729563243013e-05,3,2,47,40
"84","BP","GO:0030900","forebrain development",46,0.000192020131846683,0.00242274572739132,50,5.43553264159715e-05,0.0010215371267287,0,3,50,43
"85","MF","GO:0004857","enzyme inhibitor activity",38,0.00443710763941228,0.0452354480121901,50,0.000166821211956402,0.0066936802116152,3,0,47,38
"86","CC","GO:0030055","cell-substrate junction",53,1.83091635601121e-05,0.00043941992544269,50,0.000629238349769909,0.0114059319193006,0,1,50,52
"87","CC","GO:0045121","membrane raft",54,9.14756591460242e-10,5.76296652619952e-08,49,7.28197632923012e-08,2.65427694745579e-06,0,3,49,51
"88","CC","GO:0098857","membrane microdomain",55,3.58671635835599e-10,2.58243577801631e-08,49,8.18120011589276e-08,2.84004126682724e-06,2,0,47,55
"89","BP","GO:0070661","leukocyte proliferation",45,1.75237665125748e-07,8.2146498458947e-06,49,1.10700496120313e-07,4.00497800723265e-06,0,0,49,45
"90","CC","GO:0005925","focal adhesion",52,2.26353212819918e-05,0.000496008779396689,49,0.000708982593712204,0.0116819484747591,1,0,48,52
"91","CC","GO:0005924","cell-substrate adherens junction",52,2.60554359395886e-05,0.000547164154731361,49,0.000841495697156244,0.0129727491260581,0,1,49,51
"92","BP","GO:0051251","positive regulation of lymphocyte activation",42,7.52686621553354e-07,2.90924992086868e-05,48,3.54986718266032e-07,1.14158589467062e-05,2,0,46,42
"93","BP","GO:0030098","lymphocyte differentiation",43,0.000120469718759045,0.0017076662521176,48,6.88951374507885e-06,0.000159966607188644,1,2,47,41
"94","BP","GO:0018212","peptidyl-tyrosine modification",51,8.78201070967182e-07,3.21445652277303e-05,48,0.000138202827348673,0.00232592516545471,1,1,47,50
"95","BP","GO:0050817","coagulation",43,0.000209706395413073,0.00262351163338305,48,0.000194936086128391,0.00312365780818402,0,2,48,41
"96","BP","GO:0007599","hemostasis",43,0.000224287167825517,0.00276172955036766,48,0.000208598317290213,0.00329020326143703,2,0,46,43
"97","BP","GO:0043900","regulation of multi-organism process",49,0.000337421846151263,0.00382030158015329,48,0.000611824667316361,0.00835700712155829,2,0,46,49
"98","BP","GO:0001933","negative regulation of protein phosphorylation",48,0.000765162960701187,0.00722443615192074,48,0.00178246599032208,0.0211914868010528,1,0,47,48
"99","CC","GO:0044420","extracellular matrix component",23,2.27873096697307e-14,2.64439937369273e-12,47,6.08379357931398e-20,5.54385689914987e-18,0,1,47,22
"100","BP","GO:0051216","cartilage development",43,4.03597016388951e-12,1.65909419660197e-09,47,2.69240870445118e-13,2.39761543952e-11,2,0,45,43
"101","MF","GO:1901681","sulfur compound binding",41,2.03246563951483e-08,1.22729655924549e-06,47,5.56955417253919e-10,1.24917125421398e-07,0,2,47,39
"102","BP","GO:0060326","cell chemotaxis",45,6.35311732179397e-09,5.69085255684278e-07,47,8.08867090813014e-09,3.74574728012611e-07,1,1,46,44
"103","BP","GO:0018108","peptidyl-tyrosine phosphorylation",50,1.55026553356332e-06,5.31065321241177e-05,47,0.000234150561007625,0.00365696171389307,3,1,44,49
"104","CC","GO:0045177","apical part of cell",44,0.000539885582096128,0.00788757749540036,47,0.000342819224931305,0.00655625709656071,0,2,47,42
"105","BP","GO:0001649","osteoblast differentiation",47,2.08825814321872e-11,5.57982575868042e-09,46,2.26615249214512e-11,1.65449653977134e-09,1,1,45,46
"106","BP","GO:0045765","regulation of angiogenesis",59,4.34155827877414e-09,4.29653471143871e-07,46,1.82636764246128e-09,9.61096262575012e-08,1,0,45,59
"107","BP","GO:0010951","negative regulation of endopeptidase activity",35,2.27777421940103e-06,7.24549132647566e-05,46,1.04409850856083e-08,4.78043634344338e-07,3,0,43,35
"108","BP","GO:0045165","cell fate commitment",41,1.27095931605642e-07,6.34766970561264e-06,46,2.06324834585846e-08,8.84685576907351e-07,0,0,46,41
"109","BP","GO:0010466","negative regulation of peptidase activity",37,1.24595726825643e-06,4.35189257618455e-05,46,4.52218453577685e-08,1.77901707409944e-06,0,2,46,35
"110","BP","GO:0007178","transmembrane receptor protein serine/threonine kinase signaling pathway",46,7.82227752460962e-06,0.000200972361016893,46,5.69796548569379e-05,0.00105855923645992,2,1,44,45
"111","BP","GO:0006936","muscle contraction",47,2.31280407750439e-05,0.000468167613264525,46,0.000141021280809903,0.00236349043471706,1,1,45,46
"112","BP","GO:0048705","skeletal system morphogenesis",41,3.59807511108378e-09,3.69771411415995e-07,45,1.24544916774953e-09,6.81967560201002e-08,0,2,45,39
"113","BP","GO:0090130","tissue migration",56,1.20385007203103e-08,9.32373157236787e-07,45,2.03788680950465e-08,8.78458918163183e-07,1,0,44,56
"114","BP","GO:1902105","regulation of leukocyte differentiation",42,2.13458174936514e-06,6.87181016181165e-05,45,8.61122892822137e-08,3.23080044084545e-06,0,3,45,39
"115","BP","GO:0070372","regulation of ERK1 and ERK2 cascade",44,2.96134023362828e-07,1.29223413403808e-05,45,1.41307976930583e-07,5.00068586117841e-06,2,2,43,42
"116","BP","GO:0090596","sensory organ morphogenesis",47,1.78964999501041e-09,2.17361126666719e-07,45,1.8003165446716e-07,6.18208537883636e-06,1,0,44,47
"117","BP","GO:0032102","negative regulation of response to external stimulus",47,9.63986733755715e-06,0.00023000385072613,45,9.92988422136832e-07,2.82353282826664e-05,0,2,45,45
"118","BP","GO:0043010","camera-type eye development",48,8.82132204619225e-08,4.53280240527417e-06,45,5.5709567138332e-06,0.000134357517760142,0,0,45,48
"119","BP","GO:0045089","positive regulation of innate immune response",51,7.92328041798695e-06,0.000201628621684392,45,9.78895196703638e-06,0.000217915964460635,0,0,45,51
"120","BP","GO:0060562","epithelial tube morphogenesis",46,3.89283889613205e-06,0.000112450438167187,45,4.99667123131738e-05,0.000947888533831875,0,2,45,44
"121","BP","GO:0048545","response to steroid hormone",46,0.000318343209373164,0.00364288246443295,45,0.00363181199504587,0.0384009880792852,0,3,45,43
"122","BP","GO:0010631","epithelial cell migration",55,1.31390804613871e-08,9.58253286153907e-07,44,1.99599749150293e-08,8.65003038530432e-07,2,2,42,53
"123","BP","GO:0090132","epithelium migration",55,1.63108664600751e-08,1.11750346618771e-06,44,2.63310501075804e-08,1.094290852377e-06,2,1,42,54
"124","BP","GO:0032943","mononuclear cell proliferation",38,9.59632115474861e-06,0.00023000385072613,44,2.21001176127475e-06,5.72186667958663e-05,4,0,40,38
"125","BP","GO:0070482","response to oxygen levels",44,0.0021518730798696,0.0161738533598075,44,0.000129636978659602,0.00220944227138897,1,0,43,44
"126","BP","GO:0030111","regulation of Wnt signaling pathway",51,8.01506717002443e-07,2.99528104591682e-05,44,0.00020106564207878,0.00320273388722681,1,0,43,51
"127","BP","GO:0007596","blood coagulation",43,0.000159536891018143,0.00213141286400239,44,0.000918356444727237,0.0119566679996695,4,1,40,42
"128","BP","GO:0051090","regulation of DNA-binding transcription factor activity",52,0.00016433913807252,0.00217383255905828,44,0.00451794406821696,0.0461884331885385,2,3,42,49
"129","BP","GO:0022409","positive regulation of cell-cell adhesion",41,1.01871837439119e-06,3.6537120756688e-05,43,6.24280076129694e-07,1.90192451307025e-05,0,0,43,41
"130","BP","GO:0046651","lymphocyte proliferation",37,1.90189097215928e-05,0.00040818093796061,43,4.36449995455483e-06,0.000107176028414591,0,4,43,33
"131","BP","GO:0036293","response to decreased oxygen levels",43,0.00110889401007366,0.00947693143662189,43,7.14106132154952e-05,0.0012823971438729,0,2,43,41
"132","BP","GO:0010721","negative regulation of cell development",49,3.48545791924241e-07,1.49010296963452e-05,43,0.000176760175840976,0.00287832667651111,1,4,42,45
"133","BP","GO:0051047","positive regulation of secretion",47,0.00134569984520103,0.0111668011999291,43,0.0037548477712851,0.039421655819039,1,0,42,47
"134","BP","GO:0032963","collagen metabolic process",30,5.99552515839997e-12,2.18924285483162e-09,42,1.49170704436695e-18,2.62799867120646e-16,0,1,42,29
"135","MF","GO:0008201","heparin binding",37,1.87198717603359e-11,2.93901986637273e-09,42,8.3825070074966e-13,2.63200572447886e-10,2,2,40,35
"136","BP","GO:0001763","morphogenesis of a branching structure",42,7.25042925261898e-11,1.81124542241847e-08,42,2.10975037723246e-09,1.08900739648199e-07,0,0,42,42
"137","BP","GO:0044706","multi-multicellular organism process",42,1.00706927687207e-08,8.15420941758233e-07,42,3.31043644966148e-08,1.34812860952405e-06,0,1,42,41
"138","BP","GO:0098742","cell-cell adhesion via plasma-membrane adhesion molecules",42,3.88511896746711e-08,2.28154678704882e-06,42,2.15668377444235e-07,7.31284656496634e-06,0,0,42,42
"139","MF","GO:0030246","carbohydrate binding",41,1.48252961215824e-06,6.46547636413453e-05,42,4.23424096690425e-06,0.000302125823166799,2,2,40,39
"140","BP","GO:0071496","cellular response to external stimulus",46,1.00706105194184e-05,0.000239188189403432,42,6.98917619605675e-06,0.000161816854319929,0,2,42,44
"141","MF","GO:0008236","serine-type peptidase activity",29,2.34744234865664e-06,9.21371121847733e-05,42,1.92873374095703e-05,0.00104364163919812,0,1,42,28
"142","MF","GO:0017171","serine hydrolase activity",29,4.64487102509481e-06,0.00016082255722219,42,2.51375650165078e-05,0.00127230197291928,2,0,40,29
"143","BP","GO:0001101","response to acid chemical",51,2.10513971046494e-07,9.61527060916635e-06,42,4.05148787572345e-05,0.000785192122587874,0,1,42,50
"144","BP","GO:0001666","response to hypoxia",42,0.00107679169358608,0.00923655667820873,42,7.92817067929197e-05,0.00141425103484472,1,1,41,41
"145","BP","GO:0060070","canonical Wnt signaling pathway",47,1.83223281649981e-06,6.15814601973271e-05,42,8.59493092316848e-05,0.00151972425958247,1,0,41,47
"146","BP","GO:0045666","positive regulation of neuron differentiation",46,9.17956243014181e-05,0.00141779137649358,42,0.000468462055805989,0.00660515056906985,0,2,42,44
"147","MF","GO:0001228","DNA-binding transcription activator activity, RNA polymerase II-specific",46,0.000704985263490098,0.0108512437615633,42,0.000521080267756021,0.0180203067437427,0,1,42,45
"148","BP","GO:0030099","myeloid cell differentiation",51,0.000139311091145692,0.00192870070228646,42,0.00276776397463737,0.0307143407857682,3,1,39,50
"149","CC","GO:0005788","endoplasmic reticulum lumen",64,4.1821726884897e-15,7.02605011666269e-13,41,2.32191524179492e-08,9.40375240121583e-07,0,0,41,64
"150","MF","GO:0061134","peptidase regulator activity",34,1.83747798125293e-06,7.59168534359764e-05,41,8.68969519930873e-08,1.24024885900242e-05,0,0,41,34
"151","BP","GO:1903039","positive regulation of leukocyte cell-cell adhesion",38,2.7477330775166e-07,1.23393996355031e-05,41,1.12358468621194e-07,4.02898781726169e-06,1,1,40,37
"152","BP","GO:0060485","mesenchyme development",48,1.3375490497482e-09,1.72123327934535e-07,41,1.34560284893157e-06,3.68397701301371e-05,1,1,40,47
"153","MF","GO:0004252","serine-type endopeptidase activity",28,2.14341460904655e-07,1.1217203120677e-05,41,4.15353707808219e-06,0.00031047877983259,3,1,38,27
"154","CC","GO:0043235","receptor complex",42,1.60866643337193e-05,0.000405383941209727,41,0.00233114173106282,0.0310159732330643,0,0,41,42
"155","BP","GO:1903532","positive regulation of secretion by cell",45,0.000935779721241746,0.00837656085480049,41,0.00248617602687467,0.0280909214744774,1,1,40,44
"156","MF","GO:0005125","cytokine activity",30,4.76347806956049e-07,2.19960604976764e-05,40,2.84766646036914e-07,3.72562807960941e-05,0,3,40,27
"157","BP","GO:0001818","negative regulation of cytokine production",47,1.0692219982599e-07,5.39049279122725e-06,40,6.82496855701425e-07,2.03341918090238e-05,0,0,40,47
"158","BP","GO:0043588","skin development",56,4.09064455775079e-06,0.000116934397803606,40,5.29532906283938e-06,0.000128475160567465,2,2,38,54
"159","BP","GO:0070371","ERK1 and ERK2 cascade",45,7.79768312811266e-07,2.93456469272071e-05,40,8.02665008835605e-06,0.000183735190306233,0,1,40,44
"160","BP","GO:2000027","regulation of animal organ morphogenesis",40,2.11036984225062e-06,6.87181016181165e-05,40,2.14585557587794e-05,0.000441278246981369,2,2,38,38
"161","MF","GO:0005126","cytokine receptor binding",30,0.000286402046665314,0.00558796156886744,40,5.6907857999419e-05,0.00262442895441839,0,2,40,28
"162","BP","GO:0002460","adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains",36,0.00156889291558772,0.0125699606310357,40,0.000311694359394874,0.00466752648357072,1,2,39,34
"163","CC","GO:0016324","apical plasma membrane",37,0.00103416379638299,0.0140869879291088,40,0.000421081890690067,0.00784174175059871,1,0,39,37
"164","BP","GO:0030278","regulation of ossification",40,2.54614125784646e-09,2.77046156119337e-07,39,1.11140735346763e-08,5.03175585975235e-07,1,0,38,40
"165","BP","GO:0009612","response to mechanical stimulus",39,2.06627545210863e-08,1.36323160692204e-06,39,2.4635538692802e-07,8.18219727150016e-06,2,2,37,37
"166","BP","GO:0070663","regulation of leukocyte proliferation",36,2.12296419678676e-06,6.87181016181165e-05,39,4.17411702023144e-07,1.31111742758261e-05,1,0,38,36
"167","BP","GO:0090287","regulation of cellular response to growth factor stimulus",41,7.60163981627849e-06,0.00019624716511204,39,1.05243171187183e-05,0.000233004311309459,0,1,39,40
"168","BP","GO:1903522","regulation of blood circulation",34,0.00396041097344998,0.0260325169029726,39,0.00173848266485159,0.0207648959280512,1,1,38,33
"169","BP","GO:0050663","cytokine secretion",43,6.55700589578608e-09,5.74436713230833e-07,38,2.07222209530559e-09,1.07649273717314e-07,1,1,37,42
"170","BP","GO:0010001","glial cell differentiation",45,8.13433572942428e-11,1.81124542241847e-08,38,4.24065281781286e-08,1.6846187361752e-06,2,1,36,44
"171","BP","GO:0007565","female pregnancy",39,3.33352280997092e-09,3.4930089993107e-07,38,5.74966112699179e-08,2.20830349040302e-06,0,0,38,39
"172","BP","GO:0050870","positive regulation of T cell activation",33,7.39225189497827e-06,0.000191876774152944,38,9.04769404541601e-07,2.59086911171824e-05,0,3,38,30
"173","CC","GO:0009897","external side of plasma membrane",35,8.05612585713697e-07,3.1232980246131e-05,38,4.24366844042767e-05,0.00103070177389719,0,1,38,34
"174","BP","GO:0034330","cell junction organization",40,2.11273488380164e-05,0.000441033406993591,38,6.97470147111668e-05,0.00125532146773055,0,0,38,40
"175","MF","GO:0001664","G protein-coupled receptor binding",27,0.00206335967479552,0.0257101165827696,38,8.39117753846204e-05,0.00365295098689999,0,0,38,27
"176","CC","GO:0030139","endocytic vesicle",41,1.5359620541726e-05,0.000405383941209727,38,0.000102794970298536,0.00226837440852412,0,0,38,41
"177","BP","GO:0007548","sex differentiation",34,0.000732062719813163,0.00699846721767718,38,0.000284876893149987,0.00433890472800125,0,0,38,34
"178","BP","GO:0007568","aging",45,9.64087997055635e-06,0.00023000385072613,38,0.000687868575491695,0.00920514049430876,1,2,37,43
