Enrichment analysis report,,,,,,,,,,,,
Enrichment by Pathway Maps,,,,,untransformed_FC,,,,rna_untransformed_FC,,,
#,Maps,Total,min(pValue),Min FDR,p-value,FDR,In Data,"Network Objects from
Active Data",p-value,FDR,In Data,"Network Objects from
Active Data"
11,TGF-beta signaling via SMADs in breast cancer,47,2.42E-10,3.12E-08,2.42E-10,3.12E-08,21,"TGF-beta 2, MMP-13, RUNX2, CD44, TGF-beta 3, IL-8, ETS1, TGF-beta receptor type II, SLUG, CD44 soluble, Fascin, MMP-14, PTHrP, HMGA2, SNAIL1, SMAD3, CTGF, p53, FOXQ1 (HFH1), MMP-9, GLI-2",5.13E-08,3.67E-06,18,"TGF-beta 2, MMP-13, RUNX2, CD44, TGF-beta 3, IL-8, ETS1, TGF-beta receptor type II, SLUG, CD44 soluble, Fascin, MMP-14, PTHrP, HMGA2, CTGF, FOXQ1 (HFH1), MMP-9, GLI-2"
12,Development_TGF-beta-dependent induction of EMT via SMADs ,35,2.58E-10,3.12E-08,2.58E-10,3.12E-08,18,"N-cadherin, TGF-beta 2, TGF-beta 3, ETS1, TGF-beta receptor type II, SLUG, SIP1 (ZFHX1B), MMP-2, TGF-beta, HMGA2, SNAIL1, SMAD3, MKL1, Fibronectin, Jagged1, Vimentin, TCF8, Claudin-1",1.39E-08,1.66E-06,16,"N-cadherin, TGF-beta 2, TGF-beta 3, ETS1, TGF-beta receptor type II, SLUG, SIP1 (ZFHX1B), MMP-2, TGF-beta, HMGA2, MKL1, Fibronectin, Jagged1, Vimentin, TCF8, Claudin-1"
13,G protein-coupled receptors signaling in lung cancer,76,3.88E-10,4.34E-08,3.88E-10,4.34E-08,27,"STAT3, PGE2R4, GRP-R, Amphiregulin, RelA (p65 NF-kB subunit), EDNRB, LPAR1, CD44, IL-8, EGFR, NT, G-protein alpha-i family, ERK1/2, MMP-2, VIP receptor 1, Galpha(i)-specific peptide GPCRs, BDKRB2, TGF-alpha, CCR5, VIP receptor 2, Galpha(q)-specific peptide GPCRs, AKT(PKB), G-protein alpha-q/11, IL8RA, PDK (PDPK1), PGE2R3, EDNRA",2.65E-08,2.41E-06,24,"PGE2R4, GRP-R, Amphiregulin, RelA (p65 NF-kB subunit), EDNRB, LPAR1, CD44, IL-8, EGFR, NT, G-protein alpha-i family, MMP-2, VIP receptor 1, Galpha(i)-specific peptide GPCRs, BDKRB2, TGF-alpha, CCR5, VIP receptor 2, Galpha(q)-specific peptide GPCRs, AKT(PKB), G-protein alpha-q/11, IL8RA, PGE2R3, EDNRA"
14,Inflammatory mechanisms of pancreatic cancerogenesis,67,5.21E-10,5.41E-08,5.21E-10,5.41E-08,25,"STAT3, COX-2 (PTGS2), IL-1 beta, TNF-R2, CCL20, RelA (p65 NF-kB subunit), GRO-1, iNOS, ICAM1, CCL2, IL-8, EGFR, G-protein alpha-i family, TLR4, Bcl-2, ENA-78, MMP-2, IL-32 (NK4), C/EBP, IL-6, TGF-alpha, NF-kB, IL8RA, MMP-9, PLAU (UPA)",1.52E-09,2.56E-07,24,"COX-2 (PTGS2), IL-1 beta, TNF-R2, CCL20, RelA (p65 NF-kB subunit), GRO-1, iNOS, ICAM1, CCL2, IL-8, EGFR, G-protein alpha-i family, TLR4, Bcl-2, ENA-78, MMP-2, IL-32 (NK4), C/EBP, IL-6, TGF-alpha, NF-kB, IL8RA, MMP-9, PLAU (UPA)"
15,Putative roles of SETDB1 and PLU-1 in melanoma,23,8.46E-10,1.14E-07,1.33E-09,1.14E-07,14,"HOXA6, HOXA4, p14ARF, HOXA10, HOXA2, LMO2, HOXA9, HOXA7, HOXA3, HOXA5, p16INK4, Jagged1, HOXA11, CDK6",8.46E-10,1.73E-07,14,"HOXA6, HOXA4, p14ARF, HOXA10, HOXA2, LMO2, HOXA9, HOXA7, HOXA3, HOXA5, p16INK4, Jagged1, HOXA11, CDK6"
16,"Development_TGF-beta-dependent induction of EMT via RhoA,  PI3K and ILK",46,1.18E-09,1.14E-07,1.18E-09,1.14E-07,20,"TGF-beta 2, PI3K cat class IA, RelA (p65 NF-kB subunit), TGF-beta 3, TGF-beta receptor type II, SLUG, Beta-catenin, Caldesmon, ACTA2, SNAIL1, SMAD3, MKL1, AKT(PKB), HIC5, PDK (PDPK1), Fibronectin, Vimentin, Claudin-1, Actin, ACTB",6.98E-06,1.89E-04,15,"TGF-beta 2, PI3K cat class IA, RelA (p65 NF-kB subunit), TGF-beta 3, TGF-beta receptor type II, SLUG, ACTA2, Caldesmon, MKL1, AKT(PKB), HIC5, Fibronectin, Vimentin, Claudin-1, Actin"
17,Development_WNT/Beta-catenin signaling in organogenesis,30,1.28E-09,1.14E-07,1.28E-09,1.14E-07,16,"FoxN1, MEPE, Oct-3/4, PROP1, Tcf(Lef), IL-8, WNT, TCF7L2 (TCF4), Neuropilin-1, FOXC2, LBH, Beta-catenin, PLA2G7, En1, BMP2, Frizzled",8.48E-09,1.10E-06,15,"FoxN1, MEPE, Oct-3/4, PROP1, Tcf(Lef), IL-8, WNT, TCF7L2 (TCF4), Neuropilin-1, FOXC2, LBH, PLA2G7, En1, BMP2, Frizzled"
18,Stellate cells activation and liver fibrosis,70,1.53E-09,1.23E-07,1.53E-09,1.23E-07,25,"GRO-2, IL-1 beta, Biglycan, TNF-R2, PI3K cat class IA, PTCH1, ICAM1, CCL2, Tcf(Lef), TGF-beta receptor type II, MMP-2, Beta-catenin, ACTA2, SOS, GLI-1, SMAD3, PDGF-R-alpha, ERK2 (MAPK1), AKT(PKB), PDGF receptor, Dsh, ERK1 (MAPK3), Frizzled, TLR2, PDGF-R-beta",2.25E-06,7.86E-05,20,"GRO-2, IL-1 beta, Biglycan, TNF-R2, PI3K cat class IA, PTCH1, ICAM1, CCL2, Tcf(Lef), TGF-beta receptor type II, MMP-2, ACTA2, SOS, GLI-1, PDGF-R-alpha, AKT(PKB), PDGF receptor, Frizzled, TLR2, PDGF-R-beta"
19,Glomerular injury in Lupus Nephritis,92,2.22E-09,1.69E-07,2.22E-09,1.69E-07,29,"GRO-2, IL-1 beta, RelA (p65 NF-kB subunit), GRO-1, iNOS, IP10, ICAM1, CCL2, PKC-alpha, IL-8, NGAL, LIN-28, Bcl-2, ERK1/2, IL-6, TGF-beta, NF-kB, AKT(PKB), CSF1, PDK (PDPK1), TLR3, Fibronectin, C3a, GRO-3, A20, IFN-beta, MMP-9, IFI56, PDGF-R-beta",2.10E-08,2.32E-06,27,"GRO-2, IL-1 beta, RelA (p65 NF-kB subunit), GRO-1, iNOS, IP10, ICAM1, CCL2, PKC-alpha, IL-8, NGAL, LIN-28, Bcl-2, IL-6, TGF-beta, NF-kB, AKT(PKB), CSF1, TLR3, Fibronectin, C3a, GRO-3, A20, IFN-beta, MMP-9, IFI56, PDGF-R-beta"
20,Breast cancer (general schema),41,6.64E-09,4.83E-07,6.64E-09,4.83E-07,18,"Androgen receptor, ESR1 (nuclear), PTCH1, Neuregulin 1, TGF-beta receptor type II, EGFR, ErbB3, PTHR1, ESR1 (membrane), IL-6, NOTCH4, TGF-beta, PTHrP, Jagged1, PR (membrane), GHR, Prolactin receptor, PR (nuclear)",2.98E-08,2.51E-06,17,"Androgen receptor, ESR1 (nuclear), PTCH1, Neuregulin 1, TGF-beta receptor type II, EGFR, PTHR1, ESR1 (membrane), IL-6, NOTCH4, TGF-beta, PTHrP, Jagged1, PR (membrane), GHR, Prolactin receptor, PR (nuclear)"
21,Role of Tissue factor-induced Thrombin signaling in cancerogenesis,65,8.47E-09,5.86E-07,8.47E-09,5.86E-07,23,"PAR3, RelA (p65 NF-kB subunit), GRO-1, MMP-13, PKC-alpha, IL-8, EGFR, G-protein alpha-i family, MRLC, ERK1/2, MMP-2, Angiopoietin 1, Actin cytoskeletal, ERK2 (MAPK1), AKT(PKB), G-protein alpha-q/11, Tissue factor, MELC, PDK (PDPK1), Coagulation factor VII, ERK1 (MAPK3), MLCK, IP3 receptor",1.16E-05,2.73E-04,18,"PAR3, RelA (p65 NF-kB subunit), GRO-1, MMP-13, PKC-alpha, IL-8, EGFR, G-protein alpha-i family, MRLC, MMP-2, Angiopoietin 1, AKT(PKB), G-protein alpha-q/11, Tissue factor, MELC, Coagulation factor VII, MLCK, IP3 receptor"
22,Cell adhesion_Tight junctions,38,1.24E-08,8.07E-07,1.24E-08,8.07E-07,17,"ITGB1, Claudin-18, Claudin-11, Actomyosin, F-Actin, Tcf(Lef), CDX2, Claudin-16, Myosin II, SNAIL1, WNK4, Caveolin-1, Claudin-8, Claudin-3, Claudin-1, Actin, CDX1",1.59E-05,3.56E-04,13,"ITGB1, Claudin-18, Claudin-11, Tcf(Lef), CDX2, Claudin-16, WNK4, Caveolin-1, Claudin-8, Claudin-3, Claudin-1, Actin, CDX1"
23,Immune response_IL-1 signaling pathway,82,1.30E-08,8.07E-07,1.30E-08,8.07E-07,26,"COX-2 (PTGS2), IL-1 beta, c-IAP2, PI3K cat class IA, RelA (p65 NF-kB subunit), GRO-1, MMP-13, iNOS, RUNX2, IP10, ICAM1, CD44, CCL2, IL-8, ERK1/2, IL-6, FGF2, Collagen II, NF-kB, AKT(PKB), PDK (PDPK1), MYLK1, IFN-beta, MMP-9, PLAU (UPA), CCL7",1.35E-07,8.78E-06,24,"COX-2 (PTGS2), IL-1 beta, c-IAP2, PI3K cat class IA, RelA (p65 NF-kB subunit), GRO-1, MMP-13, iNOS, RUNX2, IP10, ICAM1, CD44, CCL2, IL-8, IL-6, FGF2, Collagen II, NF-kB, AKT(PKB), MYLK1, IFN-beta, MMP-9, PLAU (UPA), CCL7"
24,Inhibition of remyelination in multiple sclerosis: role of cell-cell and ECM-cell interactions,47,1.33E-08,8.07E-07,1.33E-08,8.07E-07,19,"NGF, ITGB1, Myelin basic protein, Claudin-11, NGFR(TNFRSF16), Caspr1, Tetraspanin-2, NCAM1, PKC, CD44, Connexin 26, Connexin 32, Connexin 30, Actin cytoskeletal, Fyn, Connexin 45, Fibronectin, MMP-9, TLR2",5.13E-08,3.67E-06,18,"NGF, ITGB1, Myelin basic protein, Claudin-11, NGFR(TNFRSF16), Caspr1, Tetraspanin-2, NCAM1, PKC, CD44, Connexin 26, Connexin 32, Connexin 30, Fyn, Connexin 45, Fibronectin, MMP-9, TLR2"
25,ErbB2-induced breast cancer cell invasion,67,1.65E-08,9.32E-07,1.65E-08,9.32E-07,23,"PI3K cat class IA, MMP-13, ITGA4, PKC-alpha, Neuregulin 1, PDCD4, ETS1, NGAL, EGFR, ERK1/2, MMP-14, MMP-2, ErbB3, PLAUR (uPAR), Actin cytoskeletal, SOS, NF-kB, AKT(PKB), PDK (PDPK1), ER81, MMP-9, PLAU (UPA), IP3 receptor",4.54E-06,1.33E-04,19,"PI3K cat class IA, MMP-13, ITGA4, PKC-alpha, Neuregulin 1, PDCD4, ETS1, NGAL, EGFR, MMP-14, MMP-2, PLAUR (uPAR), SOS, NF-kB, AKT(PKB), ER81, MMP-9, PLAU (UPA), IP3 receptor"
26,Development_WNT/Beta-catenin signaling in embryogenesis,43,1.67E-08,9.32E-07,1.67E-08,9.32E-07,18,"p14ARF, LHX8, Oct-3/4, SOX2, Tcf(Lef), WNT, CDX2, TCF7L2 (TCF4), LBH, p15, Mixl1, Beta-catenin, SNAIL1, p16INK4, En1, TCF7 (TCF1), CDX1, Frizzled",4.53E-07,2.49E-05,16,"p14ARF, LHX8, Oct-3/4, SOX2, Tcf(Lef), WNT, CDX2, TCF7L2 (TCF4), LBH, p15, Mixl1, p16INK4, En1, TCF7 (TCF1), CDX1, Frizzled"
27,Main genetic and epigenetic alterations in lung cancer,48,2.02E-08,1.08E-06,2.02E-08,1.08E-06,19,"GSTP1, HGF, Neuropilin-2, p14ARF, RECK, PTEN, TGF-beta receptor type II, EGFR, Neuropilin-1, Bcl-2, MMP-2, TGF-alpha, IBP4, Caspase-8, p53, HGF receptor (Met), p16INK4, IBP, IBP3",2.49E-06,8.30E-05,16,"GSTP1, HGF, Neuropilin-2, p14ARF, RECK, TGF-beta receptor type II, EGFR, Neuropilin-1, Bcl-2, MMP-2, TGF-alpha, IBP4, HGF receptor (Met), p16INK4, IBP, IBP3"
28,Transcription_HIF-1 targets,95,2.20E-08,1.13E-06,2.20E-08,1.13E-06,28,"PDK1, TGF-beta 2, Ceruloplasmin, Carbonic anhydrase XII, iNOS, Lysyl oxidase, Transferrin, ROR-alpha, PLGF, Oct-3/4, SOX2, TGF-beta 3, CX3CR1, LOXL2, MMP-2, Galectin-1, NOXA, PLAUR (uPAR), 5'-NTD, FGF2, CTGF, Alpha-1B adrenergic receptor, p53, HGF receptor (Met), MMP-9, Carbonic anhydrase IX, MDR1, IBP3",1.81E-07,1.08E-05,26,"TGF-beta 2, Ceruloplasmin, Carbonic anhydrase XII, iNOS, Lysyl oxidase, Transferrin, ROR-alpha, PLGF, Oct-3/4, SOX2, TGF-beta 3, CX3CR1, LOXL2, MMP-2, Galectin-1, NOXA, PLAUR (uPAR), 5'-NTD, FGF2, CTGF, Alpha-1B adrenergic receptor, HGF receptor (Met), MMP-9, Carbonic anhydrase IX, MDR1, IBP3"
29,EGFR signaling pathway in lung cancer,53,2.25E-08,1.13E-06,2.25E-08,1.13E-06,20,"STAT3, HGF, COX-2 (PTGS2), PI3K cat class IA, Amphiregulin, PTEN, Neuregulin 1, EGFR, Bcl-2, ERK1/2, ErbB3, IL-6, TGF-alpha, SOS, NF-kB, AKT(PKB), PDK (PDPK1), HGF receptor (Met), MMP-9, Carbonic anhydrase IX",4.66E-05,6.74E-04,15,"HGF, COX-2 (PTGS2), PI3K cat class IA, Amphiregulin, Neuregulin 1, EGFR, Bcl-2, IL-6, TGF-alpha, SOS, NF-kB, AKT(PKB), HGF receptor (Met), MMP-9, Carbonic anhydrase IX"
30,SHH signaling in colorectal cancer,31,2.40E-08,1.16E-06,2.40E-08,1.16E-06,15,"PTCH1, WNT, IMP1(ZBP1), TCF7L2 (TCF4), Bcl-2, SIP1 (ZFHX1B), FOXC2, Beta-catenin, SNAIL1, GLI-1, PDGF-R-alpha, p53, Vimentin, Frizzled, GLI-2",7.81E-06,2.00E-04,12,"PTCH1, WNT, IMP1(ZBP1), TCF7L2 (TCF4), Bcl-2, SIP1 (ZFHX1B), FOXC2, GLI-1, PDGF-R-alpha, Vimentin, Frizzled, GLI-2"
31,Rheumatoid arthritis (general schema),50,2.54E-08,1.83E-06,4.42E-08,1.83E-06,19,"IL-15, IL-1 beta, TNF-R2, HLA-DRB1, MHC class II, alpha-4/beta-1 integrin, ICAM1, HLA-DRB, TLR4, IL-6, TGF-beta, FGF2, Collagen II, MMP-8, PTPN22, CSF1, MHC class II beta chain, MMP-9, TLR2",2.54E-08,2.41E-06,19,"IL-15, IL-1 beta, TNF-R2, HLA-DRB1, MHC class II, alpha-4/beta-1 integrin, ICAM1, HLA-DRB, TLR4, IL-6, TGF-beta, FGF2, Collagen II, MMP-8, PTPN22, CSF1, MHC class II beta chain, MMP-9, TLR2"
32,TGF-beta 1-mediated induction of EMT in normal and asthmatic airway epithelium,44,2.58E-08,1.21E-06,2.58E-08,1.21E-06,18,"IL-1 beta, N-cadherin, CD44, ITGB3, ETS1, TGF-beta receptor type II, BMP4, SLUG, MMP-2, ACTA2, HMGA2, SNAIL1, SMAD3, CTGF, Fibronectin, Jagged1, Vimentin, MMP-9",6.52E-07,3.22E-05,16,"IL-1 beta, N-cadherin, CD44, ITGB3, ETS1, TGF-beta receptor type II, BMP4, SLUG, MMP-2, ACTA2, HMGA2, CTGF, Fibronectin, Jagged1, Vimentin, MMP-9"
33,Release of pro-inflammatory mediators and elastolytic enzymes by alveolar macrophages in COPD,28,2.69E-08,1.78E-06,4.17E-08,1.78E-06,14,"CHI3L1, IL-1 beta, RelA (p65 NF-kB subunit), IP10, CCL2, IL-8, TLR4, MMP-2, MMP-12, IL-6, Matrilysin (MMP-7), Cathepsin S, MMP-9, TLR2",2.69E-08,2.41E-06,14,"CHI3L1, IL-1 beta, RelA (p65 NF-kB subunit), IP10, CCL2, IL-8, TLR4, MMP-2, MMP-12, IL-6, Matrilysin (MMP-7), Cathepsin S, MMP-9, TLR2"
34,Immune response_CCL2 signaling,54,3.26E-08,1.48E-06,3.26E-08,1.48E-06,20,"IL-1 beta, iNOS, alpha-4/beta-1 integrin, ICAM1, CCL2, PKC-alpha, ITGB3, ETS1, G-protein alpha-i family, ERK1/2, MMP-14, MMP-2, IL-6, alpha-5/beta-1 integrin, Actin cytoskeletal, NF-kB, Caveolin-1, p53, CDH19, PI3K cat class IA (p110-delta)",2.98E-06,9.08E-05,17,"IL-1 beta, iNOS, alpha-4/beta-1 integrin, ICAM1, CCL2, PKC-alpha, ITGB3, ETS1, G-protein alpha-i family, MMP-14, MMP-2, IL-6, alpha-5/beta-1 integrin, NF-kB, Caveolin-1, CDH19, PI3K cat class IA (p110-delta)"
35,Th17 cytokines in COPD,36,3.74E-08,1.65E-06,3.74E-08,1.65E-06,16,"STAT3, IL-1 beta, MHC class II, CCL20, GRO-1, IP10, ROR-alpha, CCL2, IL-8, ROR-gamma, Mucin 5AC, MMP-12, Mucin 5B, IL-6, NF-kB, MMP-9",1.81E-07,1.08E-05,15,"IL-1 beta, MHC class II, CCL20, GRO-1, IP10, ROR-alpha, CCL2, IL-8, ROR-gamma, Mucin 5AC, MMP-12, Mucin 5B, IL-6, NF-kB, MMP-9"
36,Ovarian cancer (main signaling cascades),65,4.52E-08,1.83E-06,4.52E-08,1.83E-06,22,"HGF, Androgen receptor, PI3K cat class IA, ESR1 (nuclear), LPAR1, PTEN, Tcf(Lef), EGFR, G-protein alpha-i family, ERK1/2, MMP-2, IL-6, Beta-catenin, SNAIL1, SOS, NF-kB, AKT(PKB), HGF receptor (Met), PI3K reg class IB (p101), MMP-9, PLAU (UPA), EDNRA",1.16E-05,2.73E-04,18,"HGF, Androgen receptor, PI3K cat class IA, ESR1 (nuclear), LPAR1, Tcf(Lef), EGFR, G-protein alpha-i family, MMP-2, IL-6, SOS, NF-kB, AKT(PKB), HGF receptor (Met), PI3K reg class IB (p101), MMP-9, PLAU (UPA), EDNRA"
37,Hedgehog signaling in gastric cancer,29,4.77E-08,2.68E-06,7.37E-08,2.68E-06,14,"N-cadherin, MSX-2, PTCH1, CDX2, BMP4, SLUG, SIP1 (ZFHX1B), MEF2C, GLI-1, SFRP1, EDNRA, TWIST2, GLI-2, PDGF-R-beta",4.77E-08,3.67E-06,14,"N-cadherin, MSX-2, PTCH1, CDX2, BMP4, SLUG, SIP1 (ZFHX1B), MEF2C, GLI-1, SFRP1, EDNRA, TWIST2, GLI-2, PDGF-R-beta"
38,EGFR signaling in Prostate Cancer,46,5.88E-08,2.31E-06,5.88E-08,2.31E-06,18,"STAT3, Androgen receptor, Tuberin, PI3K cat class IA, RelA (p65 NF-kB subunit), Neuregulin 1, EGFR, N-Ras, ERK1/2, ErbB3, TGF-alpha, SOS, ERK2 (MAPK1), AKT(PKB), Caveolin-1, PDK (PDPK1), p27KIP1, ERK1 (MAPK3)",2.03E-02,6.35E-02,9,"Androgen receptor, PI3K cat class IA, RelA (p65 NF-kB subunit), Neuregulin 1, EGFR, TGF-alpha, SOS, AKT(PKB), Caveolin-1"
