Enrichment analysis report,,,,,,,,,,,,,
Enrichment by Pathway Maps,,,,,down_genes_int_061520_genelist,,,,down_genes_rna_061620_genelist,,,,
#,Maps,Total,min(pValue),Min FDR,p-value,FDR,In Data,"Network Objects from
Active Data",p-value,FDR,In Data,"Network Objects from
Active Data",
21,WNT signaling in HCC,40,8.655E-09,5.683E-07,8.655E-09,5.683E-07,15,"WNT3, Beta-catenin, Prickle-1, p14ARF, LGR5, DVL-3, SFRP1, p53, Tcf(Lef), FZD7, Dsh, WNT, EGFR, Frizzled, DACT1",1.947E-05,3.156E-04,11,"WNT3, Prickle-1, p14ARF, LGR5, SFRP1, Tcf(Lef), FZD7, WNT, EGFR, Frizzled, DACT1",
22,Glomerular injury in Lupus Nephritis,92,8.963E-09,5.683E-07,8.963E-09,5.683E-07,23,"GRO-2, IL-1 beta, IL-6, TGF-beta, GRO-1, iNOS, AKT(PKB), CSF1, ICAM1, CCL2, PKC-alpha, TLR3, Fibronectin, C3a, IL-8, NGAL, GRO-3, A20, IFN-beta, MMP-9, IFI56, ERK1/2, PDGF-R-beta",2.484E-08,1.990E-06,22,"GRO-2, IL-1 beta, IL-6, TGF-beta, GRO-1, iNOS, AKT(PKB), CSF1, ICAM1, CCL2, PKC-alpha, TLR3, Fibronectin, C3a, IL-8, NGAL, GRO-3, A20, IFN-beta, MMP-9, IFI56, PDGF-R-beta",
23,"Development_TGF-beta-dependent induction of EMT via RhoA,  PI3K and ILK",46,9.799E-09,5.944E-07,9.799E-09,5.944E-07,16,"TGF-beta 2, Beta-catenin, Caldesmon, ACTA2, PI3K cat class IA, SNAIL1, SMAD3, AKT(PKB), HIC5, Fibronectin, Vimentin, Claudin-1, Actin, TGF-beta receptor type II, SLUG, ACTB",1.477E-05,2.646E-04,12,"TGF-beta 2, ACTA2, Caldesmon, PI3K cat class IA, AKT(PKB), HIC5, Fibronectin, Vimentin, Claudin-1, Actin, TGF-beta receptor type II, SLUG",
24,TNF-alpha and IL-1 beta-mediated regulation of contraction and secretion of inflammatory factors in normal and asthmatic airway smooth muscle,65,1.098E-08,6.384E-07,1.098E-08,6.384E-07,19,"COX-2 (PTGS2), GRO-2, IL-1 beta, IL-6, PA24A, GRO-1, TRPC3, AKT(PKB), PLA2, CCL2, PKC-alpha, CD38, IL-8, GRO-3, EGFR, MMP-9, ERK1/2, PDGF-R-beta, CCL7",4.073E-08,3.082E-06,18,"COX-2 (PTGS2), GRO-2, IL-1 beta, IL-6, PA24A, GRO-1, TRPC3, AKT(PKB), PLA2, CCL2, PKC-alpha, CD38, IL-8, GRO-3, EGFR, MMP-9, PDGF-R-beta, CCL7",
25,SHH signaling in colorectal cancer,31,1.747E-08,9.731E-07,1.747E-08,9.731E-07,13,"FOXC2, Beta-catenin, SNAIL1, GLI-1, PDGF-R-alpha, PTCH1, p53, Vimentin, WNT, IMP1(ZBP1), Frizzled, GLI-2, SIP1 (ZFHX1B)",9.777E-06,1.902E-04,10,"FOXC2, GLI-1, PDGF-R-alpha, PTCH1, Vimentin, WNT, IMP1(ZBP1), Frizzled, GLI-2, SIP1 (ZFHX1B)",
26,IL-1 signaling in melanoma,42,1.883E-08,9.731E-07,1.883E-08,9.731E-07,15,"COX-2 (PTGS2), GRO-2, IL-1 beta, IL-6, PD-L2, GRO-1, iNOS, alpha-4/beta-1 integrin, ICAM1, CCL2, p53, IL-8, GRO-3, MMP-9, PD-L1",1.014E-07,6.280E-06,14,"COX-2 (PTGS2), GRO-2, IL-1 beta, IL-6, PD-L2, GRO-1, iNOS, alpha-4/beta-1 integrin, ICAM1, CCL2, IL-8, GRO-3, MMP-9, PD-L1",
27,Signal transduction_WNT/Beta-catenin signaling in tissue homeostasis,42,1.883E-08,9.731E-07,1.883E-08,9.731E-07,15,"COX-2 (PTGS2), Beta-catenin, SNAIL1, iNOS, Tcf(Lef), IL-8, WNT, SLUG, ACADL, MMP-9, TCF7 (TCF1), CDX1, Frizzled, MMP-2, Versican",7.712E-07,2.452E-05,13,"COX-2 (PTGS2), iNOS, Tcf(Lef), IL-8, WNT, SLUG, ACADL, MMP-9, TCF7 (TCF1), CDX1, Frizzled, MMP-2, Versican",
28,Main genetic and epigenetic alterations in lung cancer,48,1.976E-08,9.846E-07,1.976E-08,9.846E-07,16,"GSTP1, HGF, Neuropilin-2, p14ARF, RECK, TGF-alpha, Caspase-8, p53, HGF receptor (Met), p16INK4, TGF-beta receptor type II, EGFR, IBP, Neuropilin-1, IBP3, MMP-2",6.553E-07,2.262E-05,14,"GSTP1, HGF, Neuropilin-2, p14ARF, RECK, TGF-alpha, HGF receptor (Met), p16INK4, TGF-beta receptor type II, EGFR, IBP, Neuropilin-1, IBP3, MMP-2",
29,Immune response_IL-1 signaling pathway,82,2.506E-08,1.206E-06,2.506E-08,1.206E-06,21,"COX-2 (PTGS2), IL-1 beta, IL-6, c-IAP2, PI3K cat class IA, FGF2, GRO-1, MMP-13, iNOS, RUNX2, AKT(PKB), ICAM1, CD44, CCL2, MYLK1, IL-8, IFN-beta, MMP-9, PLAU (UPA), ERK1/2, CCL7",7.526E-08,5.125E-06,20,"COX-2 (PTGS2), IL-1 beta, IL-6, c-IAP2, PI3K cat class IA, FGF2, GRO-1, MMP-13, iNOS, RUNX2, AKT(PKB), ICAM1, CD44, CCL2, MYLK1, IL-8, IFN-beta, MMP-9, PLAU (UPA), CCL7",
30,Development_WNT/Beta-catenin signaling in embryogenesis,43,2.724E-08,1.267E-06,2.724E-08,1.267E-06,15,"LBH, p15, Mixl1, Beta-catenin, p14ARF, SNAIL1, Oct-3/4, p16INK4, Tcf(Lef), En1, WNT, CDX2, TCF7 (TCF1), CDX1, Frizzled",1.044E-06,3.001E-05,13,"LBH, p15, Mixl1, p14ARF, Oct-3/4, p16INK4, Tcf(Lef), En1, WNT, CDX2, TCF7 (TCF1), CDX1, Frizzled",
31,Vascular endothelial cell damage in SLE,63,3.969E-08,1.786E-06,3.969E-08,1.786E-06,18,"HGF, IL-1 beta, IL-6, alpha-5/beta-1 integrin, PD-L2, iNOS, CSF1, alpha-4/beta-1 integrin, Tissue factor, ICAM1, CCL2, Caspase-1, Fibronectin, C3a, MSR1, IL-8, ERK1/2, PD-L1",1.470E-07,8.343E-06,17,"HGF, IL-1 beta, IL-6, alpha-5/beta-1 integrin, PD-L2, iNOS, CSF1, alpha-4/beta-1 integrin, Tissue factor, ICAM1, CCL2, Caspase-1, Fibronectin, C3a, MSR1, IL-8, PD-L1",
32,Signal transduction_PDGF signaling via PI3K/AKT and NFkB pathways,70,4.183E-08,1.824E-06,4.183E-08,1.824E-06,19,"PDGF-C, Transgelin, Beta-catenin, YB-1, ACTA2, SGK1, PDGFR-ab, PDGF-R-alpha, AKT(PKB), MYH11, PDGF receptor, CCL2, p53, ETS1, MMP-9, Phox1 (PRRX1), ERK1/2, PDGF-R-beta, MMP-2",7.439E-05,9.046E-04,14,"PDGF-C, Transgelin, ACTA2, SGK1, PDGFR-ab, PDGF-R-alpha, AKT(PKB), PDGF receptor, CCL2, ETS1, MMP-9, Phox1 (PRRX1), PDGF-R-beta, MMP-2",
33,TGF-beta-induced fibroblast/ myofibroblast migration and extracellular matrix production in asthmatic airways,64,5.199E-08,2.133E-06,5.199E-08,2.133E-06,18,"ITGA1, Biglycan, TGF-beta 2, ITGB1, PI3K cat class IA, COL4A1, MMP-13, SMAD3, AKT(PKB), COL5A1, Collagen IV, ITGA5, Fibronectin, TGF-beta receptor type II, MMP-9, ERK1/2, MMP-2, Collagen III",1.058E-06,3.001E-05,16,"ITGA1, Biglycan, TGF-beta 2, ITGB1, PI3K cat class IA, COL4A1, MMP-13, AKT(PKB), COL5A1, Collagen IV, ITGA5, Fibronectin, TGF-beta receptor type II, MMP-9, MMP-2, Collagen III",
34,Development_Positive regulation of WNT/Beta-catenin signaling at the receptor level,64,5.199E-08,2.133E-06,5.199E-08,2.133E-06,18,"R-spondins, WLS, Biglycan, RECK, LGR5, SFRP1, Caveolin-1, CD44, LGR6, GPR124, Tcf(Lef), WNT7A, WNT5B, Dsh, WNT, EGFR, Frizzled, ERK1/2",1.058E-06,3.001E-05,16,"R-spondins, WLS, Biglycan, RECK, LGR5, SFRP1, Caveolin-1, CD44, LGR6, GPR124, Tcf(Lef), WNT7A, WNT5B, WNT, EGFR, Frizzled",
35,Role of IL-8 in colorectal cancer,19,5.496E-08,2.190E-06,5.496E-08,2.190E-06,10,"HGF, IL-1 beta, PI3K cat class IA, ICAM1, CD44, HGF receptor (Met), IL-8, EGFR, ERK1/2, MMP-2",6.265E-07,2.262E-05,9,"HGF, IL-1 beta, PI3K cat class IA, ICAM1, CD44, HGF receptor (Met), IL-8, EGFR, MMP-2",
36,Disruption of epithelial layer restitution in asthma,34,6.575E-08,2.548E-06,6.575E-08,2.548E-06,13,"HGF, IL-1 beta, TGF-beta 2, ITGB1, PLAUR (uPAR), alpha-5/beta-1 integrin, SMAD3, HGF receptor (Met), Fibronectin, EGFR, MMP-9, PLAU (UPA), EDNRA",4.121E-07,1.701E-05,12,"HGF, IL-1 beta, TGF-beta 2, ITGB1, PLAUR (uPAR), alpha-5/beta-1 integrin, HGF receptor (Met), Fibronectin, EGFR, MMP-9, PLAU (UPA), EDNRA",
37,Role of adhesion of SCLC cells in tumor progression,35,6.665E-08,3.437E-06,9.856E-08,3.437E-06,13,"N-cadherin, ITGB1, alpha-5/beta-1 integrin, PTHrP, NCAM1, Caveolin-1, Collagen IV, alpha-4/beta-1 integrin, ICAM1, Fibronectin, ACM3, MMP-14, MMP-2",6.665E-08,4.778E-06,13,"N-cadherin, ITGB1, alpha-5/beta-1 integrin, PTHrP, NCAM1, Caveolin-1, Collagen IV, alpha-4/beta-1 integrin, ICAM1, Fibronectin, ACM3, MMP-14, MMP-2",
38,Role of Tissue factor-induced Thrombin signaling in cancerogenesis,65,6.770E-08,2.552E-06,6.770E-08,2.552E-06,18,"Angiopoietin 1, PAR3, Actin cytoskeletal, GRO-1, MMP-13, ERK2 (MAPK1), AKT(PKB), G-protein alpha-q/11, Tissue factor, MELC, PKC-alpha, IL-8, EGFR, G-protein alpha-i family, MLCK, MRLC, ERK1/2, MMP-2",6.705E-06,1.379E-04,15,"Angiopoietin 1, PAR3, GRO-1, MMP-13, AKT(PKB), G-protein alpha-q/11, Tissue factor, MELC, PKC-alpha, IL-8, EGFR, G-protein alpha-i family, MLCK, MRLC, MMP-2",
39,Transcription_HIF-1 targets,95,8.361E-08,3.069E-06,8.361E-08,3.069E-06,22,"Galectin-1, TGF-beta 2, NOXA, PLAUR (uPAR), 5'-NTD, FGF2, Ceruloplasmin, iNOS, CTGF, Lysyl oxidase, Transferrin, Alpha-1B adrenergic receptor, PLGF, Oct-3/4, p53, HGF receptor (Met), MMP-9, Carbonic anhydrase IX, MDR1, LOXL2, IBP3, MMP-2",2.187E-07,1.103E-05,21,"Galectin-1, TGF-beta 2, NOXA, PLAUR (uPAR), 5'-NTD, FGF2, Ceruloplasmin, iNOS, CTGF, Lysyl oxidase, Transferrin, Alpha-1B adrenergic receptor, PLGF, Oct-3/4, HGF receptor (Met), MMP-9, Carbonic anhydrase IX, MDR1, LOXL2, IBP3, MMP-2",
40,Role of growth factor receptors transactivation by Hyaluronic acid / CD44 signaling in tumor progression,35,9.856E-08,3.437E-06,9.856E-08,3.437E-06,13,"HGF, Ankyrin 1, PI3K cat class IA, PTHrP, SMAD3, CD44, PKC-alpha, HGF receptor (Met), EGFR, MMP-9, MDR1, ERK1/2, MMP-2",4.661E-06,1.024E-04,11,"HGF, Ankyrin 1, PI3K cat class IA, PTHrP, CD44, PKC-alpha, HGF receptor (Met), EGFR, MMP-9, MDR1, MMP-2",
41,Immune response_IL-17 signaling pathways,60,1.084E-07,3.688E-06,1.084E-07,3.688E-06,17,"COX-2 (PTGS2), IL-1 beta, IL-6, PI3K cat class IA, CCL20, GRO-1, iNOS, AKT(PKB), GCP2, ICAM1, CCL2, IL-8, NGAL, MMP-9, ERK1/2, ENA-78, CCL7",4.082E-07,1.701E-05,16,"COX-2 (PTGS2), IL-1 beta, IL-6, PI3K cat class IA, CCL20, GRO-1, iNOS, AKT(PKB), GCP2, ICAM1, CCL2, IL-8, NGAL, MMP-9, ENA-78, CCL7",
42,Development_WNT/Beta-catenin signaling in organogenesis,30,1.177E-07,3.820E-06,1.177E-07,3.820E-06,12,"FOXC2, LBH, Beta-catenin, PLA2G7, Oct-3/4, Tcf(Lef), IL-8, En1, WNT, BMP2, Frizzled, Neuropilin-1",8.101E-07,2.452E-05,11,"FOXC2, LBH, PLA2G7, Oct-3/4, Tcf(Lef), IL-8, En1, WNT, BMP2, Frizzled, Neuropilin-1",
43,Regulation of IGF family activity in colorectal cancer,30,1.177E-07,3.820E-06,1.177E-07,3.820E-06,12,"COX-2 (PTGS2), IL-1 beta, IL-6, Matrilysin (MMP-7), PLAUR (uPAR), PCSK5, IBP6, p53, MMP-9, IBP, PLAU (UPA), IBP3",8.101E-07,2.452E-05,11,"COX-2 (PTGS2), IL-1 beta, IL-6, Matrilysin (MMP-7), PLAUR (uPAR), PCSK5, IBP6, MMP-9, IBP, PLAU (UPA), IBP3",
44,E-cadherin signaling and its regulation in gastric cancer,36,1.454E-07,4.609E-06,1.454E-07,4.609E-06,13,"HGF, Beta-catenin, SNAIL1, HGF receptor (Met), TCF8, Dsh, WNT, Actin, SLUG, EGFR, BMP2, Frizzled, SIP1 (ZFHX1B)",4.233E-05,5.709E-04,10,"HGF, HGF receptor (Met), TCF8, WNT, Actin, SLUG, EGFR, BMP2, Frizzled, SIP1 (ZFHX1B)",
