gene	log2FC
ERLNC1	3.57950168469381
AL512306.3	2.6711470905142
LEMD1-AS1	-2.72501537353807
LEMD1	-4.60212519168633
LEMD1-DT	-5.12642089014916
RPL22P4	-2.58553531275978
IL19	5.74038098298915
IL20	2.90822343270661
AC098935.1	2.62057227697846
MIR29B2CHG	3.02418195764481
PLXNA2	-2.7578485496021
LAMB3	-2.54113376770943
HSD11B1-AS1	-3.703269239851
G0S2	-5.01920354782798
BATF3	-3.22928187348317
TGFB2-AS1	-3.3675714701103
TGFB2	-3.78600417345789
LINC02869	-2.95973264464598
LINC02474	-3.31582733429354
CAPN8	3.26490870689634
AKR1B1P1	-2.78983530876817
LINC02765	-4.01188696323506
AC099066.2	-4.8946126558477
MIXL1	-2.83554816185613
PGBD5	-2.84316010333722
CAPN9	3.24529785528345
AL512328.1	3.11462203400771
DISC1	-2.57365986183112
DISC1-IT1	-3.13899701221149
LINC01354	-4.78752858261814
AL391832.3	-5.20656406438384
AL139161.1	-2.90821281173822
LINC02768	-4.27208513726834
NID1	-6.51023345819004
EDARADD	2.78511632317184
CHRM3	-5.59897894812136
GREM2	3.85243378093061
MAP1LC3C	-2.21057735108245
AL360271.1	-2.25939205066328
AKT3	-3.959016539048
LINC02774	-3.74143298517883
KIF26B	-3.41252839847475
AL591848.2	3.14867506512365
ALKAL2	-2.26364431296955
LINC01875	4.79711725505473
TPO	4.5961874351221
AC141930.1	4.81689491711573
AC105450.1	3.54891811110679
AC144450.1	4.85906665076474
SILC1	5.76933954743696
NRIR	-3.65454319242418
CMPK2	-2.73062582000189
RSAD2	-3.48376829097786
RNF144A-AS1	-2.85476458616023
LINC01814	2.2430273149024
SNRPEP5	2.27596564944412
CYS1	-2.91720961291771
ODC1-DT	-2.89008790828949
KCNF1	5.2622311479579
AC062028.1	3.55078985388996
RPL6P4	3.37616497116113
C2orf50	2.69126342490996
GREB1	5.98446820908821
RN7SL674P	4.27785827136046
NTSR2	3.04349463674504
MIR3681HG	-4.23570272210647
AC009486.1	-3.59672874029579
TRIB2	-2.9589943307205
AC064875.1	-4.33807316404909
LINC00276	2.63955629352362
GACAT3	4.30791153078682
RAD51AP2	-3.95467442607593
VSNL1	-4.37446223470902
RHOB	3.54156496154934
AC023137.2	5.51639490868958
KLHL29	-3.30403186692141
POMC	-3.50216369943867
GAREM2	-2.66330315663827
CIB4	4.4092910105428
SLC30A3	-2.14818908417685
FNDC4	-3.93609403366615
GCKR	-2.75903402493162
LINC01460	-3.51458489252026
PCARE	-5.53888050171091
CLIP4	-2.31445904239827
LBH	-4.98389518808468
XDH	-2.26623559540376
RASGRP3	-3.07285713375356
CRIM1-DT	-2.49370117258657
PRKD3	-2.37314625295708
AC007391.1	-3.48938297095372
QPCT	-4.22914919923028
RMDN2-AS1	-2.70927677966323
AC009229.2	-2.34435758221219
AC009229.3	-4.06860281205138
AC009229.1	-3.93374766784813
AC019171.1	-4.0816555815768
SLC8A1	-2.27949657007354
HNRNPA1P57	2.5955534304884
LINC01913	-4.64223609474539
C2orf91	-3.86243606929585
HAAO	-2.71352440638275
LINC01819	-4.48060840552179
LINC01119	-3.02773421829645
STPG4	-2.11911037432563
MSH2-OT1	2.71071914761259
AC010967.1	-4.13287510256943
CCDC88A	-4.18777906196697
AC015982.2	-2.08694674958431
EFEMP1	-2.104334018243
AC007743.1	5.06560398934307
CCDC85A	3.53682581066376
BCL11A	-3.38038318373516
RPS4XP5	-2.02102822752225
PELI1	-2.00829485591052
AC012368.1	-2.37235401690516
AC007389.1	-2.22547250830522
AC007389.4	-2.12976556497236
APLF	-2.14376630496615
ARHGAP25	-4.50108887103499
ANTXR1	-3.25536365029717
TGFA	-2.13035151882465
ADD2	-2.01543712081868
CD207	-2.31564197078843
DYSF	-2.93089067533775
NAT8	2.92245421139304
C2orf78	-2.23756755234032
AC005041.2	3.82980264684567
DQX1	2.84887032095234
EVA1A	-3.92544335507198
AC007099.1	-4.43264008346567
TRABD2A	-2.36023430108676
TCF7L1-IT1	-2.16561818864527
VAMP5	2.3328978248632
ST3GAL5	2.4104335204678
ST3GAL5-AS1	2.02094436127648
AC068279.1	5.57917401155185
SMYD1	-3.71678135232307
CYP4F32P	3.12812007921013
ANKRD20A8P	2.4443501471903
MAL	-4.87131101889323
KCNIP3	-2.1813275843867
AC009237.9	-5.47006503923132
AC008268.1	6.56190502785199
ASTL	2.57037870300081
ITPRIPL1	-3.78064038909721
AC092675.1	-4.83050098287073
LINC02611	-5.5354127799314
AFF3	2.93163732284611
AC092667.1	4.83600913535969
LONRF2	5.7692854746925
RFX8	-4.01944691756117
MAP4K4	-2.5083747042417
IL1RL1	-2.5431790040329
IL18R1	-2.92863207383713
IL18RAP	-3.02142963981479
SLC9A2	3.8411268048499
POU3F3	-3.3283866957094
LINC01918	3.53784713768707
EDAR	-3.70835146360952
SH3RF3-AS1	-5.25479303089953
SH3RF3	-5.04234805483649
AC140479.3	-2.85663864783562
AC108463.2	-2.91449320967224
AC108463.1	-2.54728302111165
AC108463.3	-2.66695567008632
FBLN7	-2.0132042140752
IL1B	-3.32617621720372
PGM5P4-AS1	-3.6984684739075
DPP10	5.19188601938993
DPP10-AS1	5.47678312028419
LINC01956	-6.30162432009809
EN1	-7.168982147982
MARCO	-5.2418358840591
C1QL2	-4.14656297895885
AC012363.3	-4.048118782168
AC073257.2	3.89402637708894
GLI2	-4.52877806466862
TFCP2L1	-2.93616212461824
CYP27C1	-6.88650426856741
PROC	-2.19840294957561
AC010976.2	-4.28400701012111
LIMS2	-4.97842108905828
GPR17	-4.68374730041415
PLAC9P1	4.27191733289377
LINC01856	5.10665882899151
RAB6C-AS1	5.65537443054939
RAB6C	3.97030422778326
ARHGAP42P2	4.95488589446503
RPL19P4	2.19407225331672
FAR2P2	3.83757529102571
POTEI	2.37263305403466
AC133785.1	-2.93256057136574
NF1P8	-2.82237058375261
POTEKP	5.21534648992213
LINC01087	5.80107017126187
GRAMD4P8	3.86836334158501
LYPD1	-3.03240004341406
RNF14P1	2.151709056434
AC092620.1	2.52821812826197
AC092620.2	2.62794793872392
LINC02631	2.61738745857697
ZEB2	-2.9424802091637
RPS29P8	2.17759084649302
LINC01931	-3.33250759432462
NMI	-2.55401944227781
TNFAIP6	-7.04513814848959
FMNL2	-2.45061863305568
KCNJ3	3.75555954745524
ACVR1C	-2.02369129736005
CD302	-2.28274250090019
LY75	-3.06466635664859
DPP4	-4.49946709027916
DPP4-DT	-3.98197046664889
AC008063.1	-5.29609796143307
AC007750.1	-3.51038544884735
FAP	-5.50260352592856
KCNH7	5.35199543082272
FIGN	-2.14686913057773
SCN3A	-3.72533748639079
SCN2A	-3.16933432271044
CSRNP3	-4.18649710478158
XIRP2	-2.99578030564759
CERS6-AS1	2.12636767291902
DHRS9	-2.53443136944359
LRP2	5.42309020459042
PTCHD3P2	-2.54595189881782
CYB5AP2	-2.57390194803265
GAD1	-3.1475842424222
AC007405.3	-3.61610603408747
DLX1	-2.05706966918158
DLX2	-2.75345546966934
DLX2-DT	-2.05820333047569
ITGA6-AS1	-2.32318022948588
RAPGEF4-AS1	-2.3872316524953
LINC01960	-2.44792824224753
LINC01305	-4.17792687737847
HOXD13	-3.57740812964185
HOXD11	-4.7327833292274
HOXD10	-5.36941201954037
HOXD9	-3.4073686046992
CHROMR	-2.10758416383946
FKBP7	-2.10379685581222
AC009478.1	-3.92931510498641
ITGA4	-4.75775475579018
CERKL	-3.3634590151763
PDE1A	-2.3150033842297
FRZB	-7.58663532550984
ZSWIM2	-5.52423016215486
CALCRL	-3.28819848939558
COL3A1	-2.97470726761821
COL5A2	-2.72817465690374
AC013439.1	2.920387740283
SLC40A1	3.12421753871786
INPP1	-2.44309486542699
AC093388.1	-2.11306708992733
AC108047.1	-2.72585274488242
STAT4	-3.01863738846302
CAVIN2	-3.96106538129113
AOX3P	2.2156733407333
AOX2P	2.57430989570313
CASP10	-4.67538183659785
MTND5P25	-3.59502951681139
C2CD6	-3.94251439576065
MTCO2P16	-4.90018858207549
MTATP6P16	-6.12647287126845
CDK15	-5.16287211704573
FZD7	-2.08066732300343
NRP2	-5.16125073314014
AC007362.1	-3.83305305985135
GPR1	-5.04773494087716
ADAM23	-2.34668180312292
AC008269.2	2.98576575488964
MYOSLID	-5.12743932490199
AC009226.1	-2.33257624413116
ARPC1BP1	-4.4834711077883
MAP2	-2.58672960998894
ACADL	-3.44760721376728
ABCA12	2.16616245873804
FN1	-4.65883671558038
AC012668.3	-2.03008334616704
LINC00607	-2.17370874023995
TMEM169	-2.46742575862088
IGFBP2	2.67752907003397
IGFBP5	2.37432598768494
AC007563.2	4.87003644075603
RPL31P14	4.38130208794129
AC007563.1	5.00548011280198
AC007557.3	3.66997706954023
CXCR1	2.6093619974828
RPL19P5	2.58343292681966
CYP27A1	-2.46613600738076
PRKAG3	-2.89216309380924
WNT6	-2.42004815079413
LINC01494	-2.85958908243057
SPEG	-2.36648611662051
AC009955.1	-2.52852771789801
KCNE4	2.36369697345626
SCG2	-3.18197948583928
MLXP1	3.04587849503098
SERPINE2	-2.7611395276044
AC010735.2	2.78872249653935
COL4A4	-2.74008274059326
CCL20	-4.40083101057947
DAW1	-4.02544578411078
DNER	-3.18900477676109
ITM2C	-3.73434373485816
GPR55	-8.55445952491993
ALPP	-3.56275910805848
ECEL1P2	-2.5885501832946
ALPG	-3.35165221119694
RN7SL359P	2.19893571874918
AC013726.2	3.19290030405662
UGT1A1	-2.49825989187252
UGT1A6	-3.60523121231471
MROH2A	-2.52028181246982
ARL4C	-2.54550622087115
AC010148.1	3.84941273206125
IQCA1-AS1	-3.59011268806758
AC112715.1	-3.49799226567036
COL6A3	-2.84463305973856
MLPH	3.24364362547725
PRLH	4.27940692811935
ERFE	-2.6325834031018
TWIST2	-5.0382536272786
AC110619.1	4.73173884094504
AGXT	6.48005089378718
CROCC2	3.01776333204201
AC005237.1	2.67047230964683
GAL3ST2	3.31643329728342
AC131097.2	3.92269900560093
NEU4	5.09136044864163
CNTN4	4.7512163349533
AC018816.1	2.74132036874544
CAMK1	-2.12778387817311
PRRT3	2.02196471639776
ATP2B2	-3.78468714819122
SLC6A1	-2.27709251520335
HRH1	-2.02083491301722
SYN2	-2.22618002130015
TIMP4	-2.1412480347692
WNT7A	-6.5359871246777
FGD5	4.17589677517041
GALNT15	-3.64542481820006
PLCL2	-3.48145600973079
KCNH8	-2.95460515916955
UBE2E1-AS1	-3.79746131739003
RBMS3-AS3	-7.27917379683867
RBMS3	-6.13997962332957
TGFBR2	-2.995707682618
AC096921.2	-2.80530942645454
AC094019.2	2.21767208462699
CMTM7	-2.91265311034093
SUSD5	-4.23705797874186
AC123023.1	4.27334889701623
STAC	-4.34525168197292
HSPD1P6	3.23108844220959
ITGA9	-2.73854371805152
SCN5A	-3.52280309050599
XIRP1	-2.60176123425529
CX3CR1	3.07072822836319
CCR8	5.18720796167953
HNRNPA1P21	2.89311095075357
MYRIP	3.87319154253819
VIPR1	2.68342738242263
VIPR1-AS1	3.21654899135631
AC006059.1	-2.47651765379868
ZNF660	-2.66074475087575
TGM4	-2.43021018383119
CLEC3B	3.17229981505099
TMEM158	-2.62052661337334
CCR5	5.02509384139224
PTH1R	2.62684251783712
CAMP	3.85077131219906
SPINK8	3.00547360713562
INKA1	-2.28907411558597
CAMKV	-2.26546013251661
CACNA2D2	2.69514706238258
CISH	3.32571078741652
TNNC1	-2.19956442112337
CACNA1D	2.52066263739356
ESRG	-2.40436419323912
SPATA12	-2.60384513662874
ACOX2	3.19313162453321
C3orf14	2.47266222910865
SNTN	5.11965424680536
AC092040.2	2.93711138369982
LINC00994	4.24200258507468
ADAMTS9	-4.54643145072773
GXYLT2	-2.93358658250767
AKR1B1P2	-3.63116343594665
FRG2C	-4.39409029613297
CADM2	4.57723388586061
VGLL3	-5.65021371525381
PROS1	-2.47693648245746
STX19	-2.34949115302132
ST3GAL6-AS1	-4.44732515746801
ST3GAL6	-2.83914504269661
PDLIM1P4	-3.80373804765018
DCBLD2	-2.20345250840815
AC091212.1	-4.34138920860224
LINC00973	-5.3407566084103
COL8A1	-6.54845436272068
TMEM45A	-2.04386736533769
AC106712.2	-4.09844990602308
CCDC54	-2.35894522460645
NECTIN3-AS1	-3.04770049648259
NECTIN3	-3.01652919615768
ZBED2	-3.10126850414895
TAGLN3	-2.88756687558895
CCDC80	-4.26410006127694
CFAP44-AS1	2.15621754610082
SIDT1	3.39122947674101
SIDT1-AS1	4.33346887144154
UPK1B	-4.6047673612771
ARHGAP31	-3.48154012791351
RPS26P21	-2.9900582189862
ARHGAP31-AS1	-2.82305832008355
ADPRH	-2.04713138434606
MAATS1	2.87593994300788
FSTL1	-3.9764488221274
STXBP5L	2.74761249713263
SEMA5B	-5.28785947572244
ADCY5	4.70565067509183
MYLK	-2.92983897817229
ROPN1	-4.86932748137172
ITGB5-AS1	2.51549411778196
MUC13	-2.51778290611609
ALG1L	5.75669905020307
AC016924.1	-4.58679265820465
CHST13	-2.21739717095749
PRR20G	-2.28125038689227
KBTBD12	-4.39426228556323
EFCC1	2.07428086074875
AC083906.3	4.27720263498253
TRH	6.25261575586697
COL6A4P2	4.57293630130926
CPNE4	3.93613208739727
BFSP2	4.89555512914991
BFSP2-AS1	2.77544126130424
TF	-4.63383327155457
LINC02004	-2.66013616096587
EPHB1	-2.50397840010025
CLDN18	-3.24722887062604
DZIP1L	-3.57576831113448
LINC01391	-2.75082906533762
FOXL2	-2.77914345570442
FOXL2NB	-3.67484845837742
CLSTN2	4.59414818190703
AC133435.1	2.43602513002204
PCOLCE2	-4.77224834234743
SLC9A9	-3.61694081436783
PLSCR4	-4.08373032402242
PLSCR2	-2.72371262170545
PLSCR1	-2.43206145064153
CPA3	-4.10065050153711
CP	-3.72362859502455
TM4SF1	-2.49639674399586
WWTR1	-2.27277992965206
AC117395.1	-2.47020310879066
MED12L	2.07896913064976
GPR87	-2.87172291818823
IGSF10	-3.8990848875089
AADACP1	-2.87837967358291
AC117394.2	-2.23275214553424
MME	-4.61750230975674
PLCH1-AS1	2.96014606821341
AC104472.1	2.84231073811729
LINC00880	-2.79474232553628
LINC02029	-3.11694407684747
LINC00881	-2.59213007162558
AC092944.1	-2.47836200873708
PTX3	-5.00368968866846
SLC66A1L	-2.40958152206544
SHOX2	-3.34043559208713
RARRES1	-6.3939191837926
AC080013.1	-2.64702973400904
AC080013.2	-2.53931088568113
AC092943.1	-2.42838939963486
SCHIP1	-3.68582528544523
ARL14	-2.02777145594296
EEF1GP4	2.72965994553888
SPTSSB	3.63146306479628
LINC02067	4.04948720602371
PSAT1P4	-2.83881139211721
GOLIM4	-2.19973985766162
MECOM	-2.1769110534663
LRRC34	-3.07811068815022
LRRC31	4.40368384941004
GPR160	2.87900428014669
CLDN11	-2.34439311796609
AC007953.1	-3.14334068312167
SOX2	3.79123818002567
LAMP3	-3.33373390380694
B3GNT5	-3.2210468847006
MAP6D1	2.0087627445245
CHRD	3.12716730670463
IGF2BP2	-4.30296391499218
IGF2BP2-AS1	-2.84884318290649
NMRAL2P	-4.05249356022627
ETV5	-2.63519364499004
DGKG	-3.39855983045144
HRG	-4.62656045828903
PSMD10P2	-2.11725604065795
ADIPOQ	4.82908961201084
RTP4	-4.42182808846131
P3H2	-4.00279071593613
MTAPP2	-2.20917504845666
CLDN1	-2.85812609498405
CLDN16	-3.9786298914766
OSTN	-2.67919641174969
OSTN-AS1	-3.2648285419892
UTS2B	-2.94044134763015
FGF12	3.11894505603192
AC080129.1	-5.96428461488116
LINC02036	2.0312776271064
LINC02048	-2.34902150427762
FAM43A	-2.18743069788768
AC090505.1	-3.94088896908355
AC069213.1	-2.17717606880002
APOD	5.98811546637142
TNK2-AS1	2.20364932733275
NRROS	-5.16638111550977
MELTF	-3.28575831035939
AC132008.1	3.74494357340059
ANKRD18DP	-4.18716797031136
PDE6B-AS1	2.65328791420245
SLC49A3	2.93282528419312
CPLX1	2.47841915845746
RNF212	-4.33557953672339
AC092535.3	-4.39890450221884
AC092535.4	-3.06764455742203
AC092535.2	-2.63527231657258
SPON2	-2.80467974202355
CFAP99	3.56696780051199
OTOP1	-3.19086114651373
NSG1	-3.88506814291401
STK32B	2.69204251949311
EVC2	-6.93061584964623
AC113615.1	2.55278834683118
PPP2R2C	2.38530585322924
AFAP1-AS1	-5.85713941900022
AC105345.1	2.54988476882146
GPR78	2.42862474713297
SNRPCP16	3.62282657391577
ENPP7P10	2.55521455671062
ENPP7P11	5.33308726446416
HS3ST1	-2.5722238257396
AC025539.1	-2.89173202560481
LINC01096	-5.83343994644607
LINC00504	4.87416084407879
CD38	-2.91582850853689
FGFBP1	-3.60581069496699
FAM184B	3.9285980270102
PPARGC1A	-2.07194538125326
AC133963.1	-3.04546511986144
MTND4P9	-3.11670500937898
SEL1L3	-2.85022741831909
AC133961.1	-2.51923109309353
LINC02261	4.20643639650878
TBC1D1	-2.24759545916054
TLR10	-2.23898621252489
TLR1	-5.04069289882377
TLR6	-4.28808305618627
TMEM156	-3.6133808057368
KLHL5	-2.11053159042685
AC079921.1	-2.41963912019131
AC079921.2	-2.22754870488255
RHOH	4.16529875825768
LINC02265	-2.43650598061286
UCHL1	-4.78302263387769
ATP8A1	2.20767401940198
ATP10D	-2.29498612672403
SLC10A4	-3.26403917197525
ZAR1	-3.12673491506334
LRRC66	-2.84893092680052
PDGFRA	-4.51427426248792
THEGL	-2.294244566168
IGFBP7	-4.15090335760438
IGFBP7-AS1	-4.07577180659795
AC105390.1	-3.80379387468384
AC013724.1	-4.09668944274782
EPHA5	-5.20762175597472
EPHA5-AS1	-3.81274657621685
AC104137.1	-4.65144332557983
UGT2B17	5.15193636281
UGT2B15	7.010173303697
AC021146.12	5.42122271781533
UGT2B11	3.60418644888558
UGT2B28	3.32762925054578
SULT1B1	-2.18802176033649
MUC7	-2.66530340491227
AMTN	3.62988942515615
AMBN	-3.16483720556967
SLC4A4	-2.71443036715813
ADAMTS3	-2.99725041458658
CXCL8	-4.60982091653709
CXCL6	-6.09348851954747
CXCL1	-4.65350573351528
CXCL5	-5.51451957425137
CXCL3	-3.96468945818506
CXCL2	-5.3930932977491
EREG	-3.8514299678024
PARM1	2.58434854704684
ART3	-5.04517937416282
CXCL11	-6.45055720197042
FRAS1	-2.44017027287378
ANXA3	-2.12986277210985
LINC01094	-2.62670514652305
ANTXR2	-2.60773562293254
PRDM8	-3.19243398652654
RASGEF1B	-2.72914056008386
TMEM150C	3.23408409302202
RPL7AP26	2.23883711156254
HPSE	-2.77514857986855
AC079160.1	5.1740062189763
MAPK10-AS1	-2.88762130218972
MEPE	4.69524307631113
HERC5	-3.05540280941999
SNCA	-4.411027992086
UNC5C	-4.97928567819829
AC106881.1	-5.94220439265805
AP002026.1	-2.29606206361694
DDIT4L	-3.16678745145985
BANK1	3.66872755441136
AC105460.1	-2.85597245340228
CXXC4	2.98837121472026
AC004069.1	-2.14901324886352
AC105391.1	2.02352512052748
COL25A1	-4.09793712416739
CFI	-8.90301108676224
AC093663.2	2.34900241784069
NDST4	4.23885165186933
PRSS12	-6.43889700659101
TNIP3	-5.77518059845806
QRFPR	-7.05873525449434
TMEM155	-5.96017832742085
TRPC3	-2.85661550204337
